Protein Virus,Protein Người,Protein Chung
nsp11,AP3B1,AP3B1
nsp13,ETFA,ETFA
nsp14,STOM,STOM
nsp5,PSMD8,PSMD8
,PMPCA,PMPCA
,PITRM1,PITRM1
,ADCK4,ADCK4
,BZW2,BZW2
,LARP1,LARP1
,DDX21,DDX21
,TBCA,nsp11
,CIT,TBCA
,HSBP1,nsp13
,PCNT,CIT
,FGFR1OP,HSBP1
,PRKACA,PCNT
,RDX,FGFR1OP
,CENPF,PRKACA
,TLE3,RDX
,AES,CENPF
,GOLGB1,TLE3
,PDE4DIP,AES
,CEP135,GOLGB1
,CEP68,PDE4DIP
,CNTRL,CEP135
,ERC1,CEP68
,CLIP4,CNTRL
,NIN,ERC1
,CEP112,CLIP4
,MIPOL1,NIN
,USP13,CEP112
,GCC1,MIPOL1
,JAKMIP1,USP13
,GORASP1,GCC1
,FYCO1,JAKMIP1
,C1orf50,GORASP1
,CEP250,FYCO1
,HOOK1,C1orf50
,NINL,CEP250
,GLA,HOOK1
,SIRT5,NINL
,SLC27A2,nsp14
,EIF4E2,GLA
,IDE,SIRT5
,HDAC2,SLC27A2
,GPX1,EIF4E2
,TRMT1,IDE
,RAB10,nsp5
,TOR1AIP1,HDAC2
,ZNF503,GPX1
,PPT1,TRMT1
,MAP7D1,RAB10
,RAE1,TOR1AIP1
,SDF2,ZNF503
,SIL1,PPT1
,GPAA1,MAP7D1
,ABCC1,RAE1
,GHITM,SDF2
,BSG,SIL1
,IRAK1,GPAA1
,MED24,ABCC1
,FADS2,GHITM
,ATP6V0A2,BSG
,ALDH1A2,IRAK1
,HAX1,MED24
,PC,FADS2
,SDF4,ATP6V0A2
,HAUS6,ALDH1A2
,NME3,HAX1
,PCCB,PC
,SDPR,SDF4
,RNF8,HAUS6
,ZNF250,NME3
,PEG10,PCCB
,FSCN1,SDPR
,HSPA5,RNF8
,SLC39A14,ZNF250
,PIGU,PEG10
,RABL3,FSCN1
,SLC35F6,HSPA5
,ATP5H,SLC39A14
,COTL1,PIGU
,MSN,RABL3
,SETD2,SLC35F6
,SLK,ATP5H
,MET,COTL1
,DLG1,MSN
,KIAA1598,SETD2
,SNX27,SLK
,VPS26A,MET
,NEDD1,DLG1
,GPI,KIAA1598
,EZR,SNX27
,RAB21,VPS26A
,MAPRE1,NEDD1
,CNDP2,GPI
,AKR1B1,EZR
,ITCH,RAB21
,PGM1,MAPRE1
,PTGR1,CNDP2
,GLO1,AKR1B1
,UCHL1,ITCH
,HINT1,PGM1
,SNX2,PTGR1
,NOTCH1,GLO1
,NCEH1,UCHL1
,EEA1,HINT1
,RAB13,SNX2
,SUMF2,NOTCH1
,CAP1,NCEH1
,BTAF1,EEA1
,RNF213,RAB13
,PFKP,SUMF2
,NUP188,CAP1
,NDUFA12,BTAF1
,RFT1,RNF213
,LCLAT1,PFKP
,DAD1,NUP188
,FAM213A,NDUFA12
,TM9SF4,RFT1
,CTNNA1,LCLAT1
,STT3A,DAD1
,SCAMP3,FAM213A
,GOLGA5,TM9SF4
,TMED2,CTNNA1
,OCIAD2,STT3A
,TM9SF2,SCAMP3
,MAVS,GOLGA5
,FGB,TMED2
,ITGA3,OCIAD2
,IRF3,TM9SF2
,NLRP12,MAVS
,DDOST,FGB
,TMEM33,ITGA3
,MAGT1,IRF3
,SPECC1,NLRP12
,HNRNPU,DDOST
,SLC2A1,TMEM33
,PRMT5,MAGT1
,CDIPT,SPECC1
,PGRMC2,HNRNPU
,SEC24B,SLC2A1
,CES1,PRMT5
,SLC27A4,CDIPT
,RAB35,PGRMC2
,ACOT7,SEC24B
,CLTC,CES1
,DYNC1I2,SLC27A4
,EMD,RAB35
,VWA8,ACOT7
,UBXN4,CLTC
,FAF2,DYNC1I2
,TRAM1,EMD
,SLC7A11,VWA8
,SLC25A4,UBXN4
,EIF6,FAF2
,TMEM205,TRAM1
,LBR,SLC7A11
,FADS1,SLC25A4
,ARL1,EIF6
,NPC1,TMEM205
,ATP2B1,LBR
,PAFAH1B1,FADS1
,TMX2,ARL1
