Protein Virus,Protein Người,Protein Chung
,HSD17B12,NPC1
,HSD17B11,ATP2B1
,PTPLAD1,PAFAH1B1
,RAB8B,TMX2
,TMCO1,HSD17B12
,SMU1,HSD17B11
,LSG1,PTPLAD1
,PSMD1,RAB8B
,PSMD4,TMCO1
,SLC39A10,SMU1
,WDR18,LSG1
,RPL7A,PSMD1
,RPL8,PSMD4
,RPL9,SLC39A10
,RPL27,WDR18
,RPL27A,RPL7A
,RPL36AL,RPL8
,RPS6,RPL9
,SCD,RPL27
,SDHA,RPL27A
,SHMT2,RPL36AL
,SNRPD1,RPS6
,SOAT1,SCD
,SRC,SDHA
,STIM1,SHMT2
,YES1,SNRPD1
,HM13,SOAT1
,YIPF5,SRC
,RAB1B,STIM1
,UTP15,YES1
,MYADM,HM13
,BUB3,YIPF5
,COPB2,RAB1B
,TRIP11,UTP15
,ABCG2,MYADM
,MPDU1,BUB3
,TP53I11,COPB2
,WDR1,TRIP11
,ARPC4,ABCG2
,TOMM40,MPDU1
,SEC23A,TP53I11
,WDR4,WDR1
,PGRMC1,ARPC4
,SUGT1,TOMM40
,IMMT,SEC23A
,WDR5,WDR4
,SUPT16H,PGRMC1
,CYBA,SUGT1
,DDB2,IMMT
,DHX9,WDR5
,LRWD1,SUPT16H
,BOP1,CYBA
,UBR4,DDB2
,TMEM245,DHX9
,FBXO22,LRWD1
,AP3M1,BOP1
,PRPF19,UBR4
,GOLGA4,TMEM245
,WDR62,FBXO22
,FLVCR1,AP3M1
,SLC25A5,PRPF19
,SLC35B2,GOLGA4
,IMPA1,WDR62
,LTA4H,FLVCR1
,MYO1C,SLC25A5
,EIF3L,SLC35B2
,PFN1,IMPA1
,NLE1,LTA4H
,PPIB,MYO1C
,TMEM160,EIF3L
,CLN6,PFN1
,DARS2,NLE1
,ARL8B,PPIB
,AGPAT5,TMEM160
,AGTRAP,CLN6
,PSMD3,DARS2
,PBXIP1,ARL8B
,RAB3B,AGPAT5
,RAC1,AGTRAP
,RB1,PSMD3
,RPL22,PBXIP1
,RPL35A,RAB3B
,RPL37A,RAC1
,RPS4Y1,RB1
,RPS27,RPL22
,PPAN-P2RY11,RPL35A
,TCP1,RPL37A
,GGCT,RPS4Y1
,DERL1,RPS27
,NOL9,PPAN-P2RY11
,SFXN3,TCP1
,SEH1L,GGCT
,WDR75,DERL1
,CUL1,NOL9
,SERPINH1,SFXN3
,MCU,SEH1L
,SLC16A3,WDR75
,PDIA4,CUL1
,PSMD6,SERPINH1
,PACSIN2,MCU
,CCDC138,SLC16A3
,YTHDF3,PDIA4
,RBM47,PSMD6
,PRRC2A,PACSIN2
,TOP3B,CCDC138
,FXR2,YTHDF3
,ARID2,RBM47
,CDR2,PRRC2A
,PKP3,TOP3B
,CHUK,FXR2
,AMOTL1,ARID2
,SYNPO2,CDR2
,PPP6R1,PKP3
,PHLDB1,CHUK
,MTCL1,AMOTL1
,LATS2,SYNPO2
,CDR2L,PPP6R1
,CHRAC1,PHLDB1
,IPO9,MTCL1
,KIDINS220,LATS2
,BEGAIN,CDR2L
,ARHGAP39,CHRAC1
,CEP78,IPO9
,CARD6,KIDINS220
,PKP4,BEGAIN
,NAV3,ARHGAP39
,NAV2,CEP78
,KIAA0753,CARD6
,CHD1,PKP4
,FLII,NAV3
,PIBF1,NAV2
,RNH1,KIAA0753
,PPFIA1,CHD1
,AIP,FLII
,AKT1,PIBF1
,MCCC1,RNH1
,CAP2,PPFIA1
,LMNA,AIP
,TOMM22,AKT1
,SCYL1,MCCC1
,RINT1,CAP2
,TMPO,LMNA
,ZBTB12,TOMM22
,PIAS4,SCYL1
,RGPD3,RINT1
,PAPSS1,TMPO
,EEF1G,ZBTB12
,ERO1L,PIAS4
,MRPL16,RGPD3
,BLVRB,PAPSS1
,TRAF2,EEF1G
,TUFM,ERO1L
,CAMSAP1,MRPL16
,GNAS,BLVRB
,STRIP2,TRAF2
,PRPF8,TUFM
,DLST,CAMSAP1
,ECHS1,GNAS
,PJA2,STRIP2
,CHAF1A,PRPF8
,MYBBP1A,DLST
,NOP56,ECHS1
,PES1,PJA2
,MKI67,CHAF1A
,ZNF280C,MYBBP1A
,CACTIN,NOP56
,SRP14,PES1
,TOP2A,MKI67
,POLDIP3,ZNF280C
,MDC1,CACTIN
,GPRIN1,SRP14
,TBC1D22A,TOP2A
,MIA3,POLDIP3
,MTMR6,MDC1
,SEC23IP,GPRIN1
,PSMC3,TBC1D22A
,IPO4,MIA3
,PICALM,MTMR6
,ARFGAP2,SEC23IP
,SQSTM1,PSMC3
,AGRN,IPO4
,ASAH1,PICALM
,PLOD1,ARFGAP2
,RCN1,SQSTM1
,RCN2,AGRN
,CHID1,ASAH1
,AARS,PLOD1
,ENO1,RCN1
,PDHB,RCN2
,TRMT61B,CHID1
,PTCD3,AARS
,AARS2,ENO1
,NDUFAF5,PDHB
,YARS,TRMT61B
,DNAJA3,PTCD3
,TIMM50,AARS2
,LONP1,NDUFAF5
,ATP6V0D1,YARS
,SMO,DNAJA3
,ACAA2,TIMM50
,ACAP2,LONP1
,KIAA1524,ATP6V0D1
,DSG2,SMO
,HSPA1B,ACAA2
,LYN,ACAP2
,MAP4K5,KIAA1524
,MARCKS,DSG2
,MPP1,HSPA1B
,PACS1,LYN
,PTPN13,MAP4K5
,RGP1,MARCKS
,SCRIB,MPP1
,SLMAP,PACS1
,SPRED2,PTPN13
,SYNM,RGP1
,EIF3E,SCRIB
,WIBG,SLMAP
,CAMKK1,SPRED2
,CEP192,SYNM
,CRK,EIF3E
,HAUS3,WIBG
,MYO1B,CAMKK1
,PFDN1,CEP192
,RASSF7,CRK
,TRIM27,HAUS3
,ACOT13,MYO1B
,C19orf53,PFDN1
,CCDC137,RASSF7
,CCNB1,TRIM27
,CDC20,ACOT13
,CEP76,C19orf53
,CSNK1D,CCDC137
,DDX6,CCNB1
,EDF1,CDC20
,HIST1H2AC,CEP76
,HMGN2,CSNK1D
,KLF16,DDX6
,MRPL34,EDF1
,MRRF,HIST1H2AC
,MVB12A,HMGN2
,NOP16,KLF16
,PLCB3,MRPL34
,POC1B,MRRF
,PPP1R35,MVB12A
,PSRC1,NOP16
,PTTG1,PLCB3
,RPS28,POC1B
,RRM2B,PPP1R35
,SEPT5,PSRC1
,C9orf114,PTTG1
,THUMPD3,RPS28
,ACOT8,RRM2B
,ANKRD50,SEPT5
,CCDC9,C9orf114
,COG8,THUMPD3
,CRKL,ACOT8
,JUN,ANKRD50
,PIK3C2B,CCDC9
,RIOK1,COG8
,SIRT1,CRKL
,SORBS1,JUN
,TBC1D5,PIK3C2B
,TRAF7,RIOK1
,UTRN,SIRT1
,VCL,SORBS1
,GART,TBC1D5
,CDC37,TRAF7
,PEX5,UTRN
,RASSF8,VCL
,RPAP1,GART
,AGTPBP1,CDC37
,BAG3,PEX5
,PPP6R3,RASSF8
,STAT1,RPAP1
,SYNJ2,AGTPBP1
,DSG1,BAG3
,KATNB1,PPP6R3
,KIF1B,STAT1
,ACTR10,SYNJ2
,ACTR1A,DSG1
,LCMT2,KATNB1
,HOXB9,KIF1B
,PTMS,ACTR10
,DYNLRB1,ACTR1A
,KEAP1,LCMT2
,MYH10,HOXB9
,PML,PTMS
,TACC2,DYNLRB1
,CSTF2,KEAP1
,HAUS7,MYH10
,KDM3B,PML
,WNK1,TACC2
,TPM1,CSTF2
,ESRRA,HAUS7
,SDAD1,KDM3B
,TFAM,WNK1
,ZFP91,TPM1
,ZFYVE16,ESRRA
,CHTF8,SDAD1
,PRDX5,TFAM
,PSMC6,ZFP91
,LRRFIP2,ZFYVE16
,DLG3,CHTF8
,HMGN4,PRDX5
,NUDT16L1,PSMC6
,RPL19,LRRFIP2
,SDF2L1,DLG3
,PPIA,HMGN4
,RAB3GAP2,NUDT16L1
,UMPS,RPL19
,WDR6,SDF2L1
,PSMD12,PPIA
,SNRNP200,RAB3GAP2
,PDLIM5,UMPS
,ANKIB1,WDR6
,UBE4B,PSMD12
,CNOT6L,SNRNP200
,CIAPIN1,PDLIM5
,MBNL1,ANKIB1
,ZC3H4,UBE4B
,SFN,CNOT6L
,ZKSCAN8,CIAPIN1
,BCL9,MBNL1
,BRCA1,ZC3H4
,OAS3,SFN
,H2AFY,ZKSCAN8
,DES,BCL9
,SNAPC1,BRCA1
,ATP5J,OAS3
,RNF20,H2AFY
,KIF5B,DES
,TPR,SNAPC1
,RABEP1,ATP5J
,HGH1,RNF20
,ZFR,KIF5B
,PPP2R2C,TPR
,SERPINB6,RABEP1
,VPRBP,HGH1
,MOV10L1,ZFR
,F2,PPP2R2C
,RBM4,SERPINB6
,SEPT2,VPRBP
,HP,MOV10L1
,DNAJB11,F2
,PPP2R1A,RBM4
,XRCC5,SEPT2
,KRT10,HP
,ALB,DNAJB11
,MSH3,PPP2R1A
,KRT2,XRCC5
,YWHAQ,KRT10
,COX7A2,ALB
,MYL12A,MSH3
,GNB4,KRT2
,PGD,YWHAQ
,TUBB6,COX7A2
,ACTBL2,MYL12A
,SDCBP,GNB4
,ANXA2,PGD
,NAMPT,TUBB6
,EPPK1,ACTBL2
,TUBB2A,SDCBP
,THOC2,ANXA2
,THOC3,NAMPT
,HIST1H2AH,EPPK1
,ACIN1,TUBB2A
,SNRPA,THOC2
,SNRPB,THOC3
,SRM,HIST1H2AH
,TFCP2,ACIN1
,CSRP2,SNRPA
,USP9X,SNRPB
,GRWD1,SRM
,TRIOBP,TFCP2
,SYNJ1,CSRP2
,DCTN3,USP9X
,NCK1,GRWD1
,CBL,TRIOBP
,EEF1B2,SYNJ1
,DIP2A,DCTN3
,CCDC91,NCK1
,TXLNG,CBL
,MGEA5,EEF1B2
,PLS3,DIP2A
,SON,CCDC91
,UBFD1,TXLNG
,SART1,MGEA5
,SNRPB2,PLS3
,EEF1D,SON
,YAP1,UBFD1
,MFAP1,SART1
,UBE2M,SNRPB2
,CCDC174,EEF1D
,PRPF38A,YAP1
,TCF20,MFAP1
,DPYSL4,UBE2M
,HMMR,CCDC174
,BTF3,PRPF38A
,ACTR1B,TCF20
,CASP3,DPYSL4
,YWHAG,HMMR
,RBM6,BTF3
,FOXC1,ACTR1B
,LZIC,CASP3
,OPTN,YWHAG
,ARGLU1,RBM6
,ELP6,FOXC1
,PPP1R7,LZIC
,ELP5,OPTN
,RQCD1,ARGLU1
,ATXN2,ELP6
,C16orf70,PPP1R7
,UNK,ELP5
,BCAS3,RQCD1
,RBM12,ATXN2
,CDC123,C16orf70
,HIST1H2AB,UNK
,H2AFZ,BCAS3
,CBX1,RBM12
,METAP2,CDC123
,CCAR1,HIST1H2AB
,RBM15,H2AFZ
,AIMP1,CBX1
,TIMM13,METAP2
,MYL6,CCAR1
,MPP5,RBM15
,ABCF2,AIMP1
,CDH6,TIMM13
,CDH20,MYL6
,LSM12,MPP5
,PTP4A1,ABCF2
,PRKAB1,CDH6
,KLF15,CDH20
,ITGB3,LSM12
,UBE2D2,PTP4A1
,VWF,PRKAB1
,C3,KLF15
,TIMM23B,ITGB3
,PRPF31,UBE2D2
,KIF5A,VWF
,CPSF6,C3
,THNSL1,TIMM23B
,GTF3C4,PRPF31
,NHP2L1,KIF5A
,TPP1,CPSF6
,LRRFIP1,THNSL1
,PRPF3,GTF3C4
,MACF1,NHP2L1
,KSR1,TPP1
,EHBP1L1,LRRFIP1
,MAP4K2,PRPF3
,SLC17A5,MACF1
,SMC6,KSR1
,ARL15,EHBP1L1
,IGHG1,MAP4K2
,DNAJC5,SLC17A5
,TTR,SMC6
,FAM49A,ARL15
,SH3GLB2,IGHG1
,BAIAP2,DNAJC5
,ACOT1,TTR
,USP5,FAM49A
,HEBP1,SH3GLB2
,LGALS8,BAIAP2
,MAPK3,ACOT1
,ZNF185,USP5
,SOD2,HEBP1
,HSPB1,LGALS8
,AMD1,MAPK3
,C11orf73,ZNF185
,NDUFAF7,SOD2
,ABHD4,HSPB1
,VPS25,AMD1
,CWC25,C11orf73
,ANXA7,NDUFAF7
,MED1,ABHD4
,AURKB,VPS25
,IFI30,CWC25
,MAD1L1,ANXA7
,MYO1E,MED1
,ACAD11,AURKB
,LEO1,IFI30
,ZNF638,MAD1L1
,MLLT11,MYO1E
,SMC3,ACAD11
,SMDT1,LEO1
,CRTC2,ZNF638
,E2F5,MLLT11
,C5orf51,SMC3
,BORA,SMDT1
,CBWD1,CRTC2
,R3HCC1L,E2F5
,GSN,C5orf51
,CIAO1,BORA
,USMG5,CBWD1
,UQCRH,R3HCC1L
,UCK2,GSN
,QRICH1,CIAO1
,TUBB,USMG5
,PSMD9,UQCRH
,DFFA,UCK2
,QKI,QRICH1
,POLE4,TUBB
,POLE3,PSMD9
,MSH2,DFFA
,GTF3C6,QKI
,CD2BP2,POLE4
,CEP170,POLE3
,CHMP2B,MSH2
,ARAF,GTF3C6
,CUL4B,CD2BP2
,MAGEB2,CEP170
,MASTL,CHMP2B
,NCAPG,ARAF
,RNF169,CUL4B
,ZBTB33,MAGEB2
,IRS2,MASTL
,SEPT9,NCAPG
,WDR33,RNF169
,FAF1,ZBTB33
,SUPT6H,IRS2
,TSC22D2,SEPT9
,CLTB,WDR33
,EIF4G1,FAF1
,ATF1,SUPT6H
,KPNA3,TSC22D2
,CREB1,CLTB
,ANKS1A,EIF4G1
,ATXN2L,ATF1
,CALM1,KPNA3
,CDK11B,CREB1
,CLASP1,ANKS1A
,CWC15,ATXN2L
,DDX42,CALM1
,EDC3,CDK11B
,EGLN1,CLASP1
,ITSN1,CWC15
,KANK1,DDX42
,MIOS,EDC3
,NUDT12,EGLN1
,PDZRN3,ITSN1
,PHLDB3,KANK1
,PIP4K2B,MIOS
,PPIP5K2,NUDT12
,PRRC1,PDZRN3
,SHFM1,PHLDB3
,SMNDC1,PIP4K2B
,STRIP1,PPIP5K2
,TFIP11,PRRC1
,TGM2,SHFM1
,TIPRL,SMNDC1
,TJP2,STRIP1
,TRIO,TFIP11
,TRIP4,TGM2
,CHERP,TIPRL
,CTPS1,TJP2
,LIG3,TRIO
,PROP1,TRIP4
,ARAP3,CHERP
,CTBP1-AS2,CTPS1
,KLHL20,LIG3
,VEGFB,PROP1
,C1QTNF6,ARAP3
,C22orf42,CTBP1-AS2
,CCDC57,KLHL20
,KALRN,VEGFB
,LBX1,C1QTNF6
,MTUS2,C22orf42
,NOTO,CCDC57
,REL,KALRN
,ENTHD2,LBX1
,TRIM50,MTUS2
,TRIML2,NOTO
,TCF4,REL
,N4BP2L2,ENTHD2
,MEOX2,TRIM50
,TFDP3,TRIML2
,ZMIZ2,TCF4
,SS18,N4BP2L2
,CNN3,MEOX2
,BPTF,TFDP3
,KMT2A,ZMIZ2
,RAD9A,SS18
,KMT2D,CNN3
,NCOR1,BPTF
,CEBPB,KMT2A
,PRRT2,RAD9A
,PRKAR1B,KMT2D
,GATA2,NCOR1
,EP300,CEBPB
,BRD7,PRRT2
,MDM2,PRKAR1B
,ATRIP,GATA2
,LATS1,EP300
,LIMD1,BRD7
,PLCD3,MDM2
,PLCB2,ATRIP
,CAMK2B,LATS1
,PHLPP2,LIMD1
,CSF1,PLCD3
,SMTN,PLCB2
,DNAJC2,CAMK2B
,IMPDH1,PHLPP2
,TCF25,CSF1
,TAF15,SMTN
,C5orf45,DNAJC2
,MED4,IMPDH1
,MED17,TCF25
,MED14,TAF15
,FAM83D,C5orf45
,AP3D1,MED4
,HRNR,MED17
,FLNB,MED14
,PPL,FAM83D
,IRF2BP2,AP3D1
,APOA1,HRNR
,TF,FLNB
,ARRB2,PPL
,PRSS3,IRF2BP2
,C4B,APOA1
,U2SURP,TF
,SERPINA3,ARRB2
,MIS18A,PRSS3
,FLG2,C4B
,TGM1,U2SURP
,RGS10,SERPINA3
,ACAA1,MIS18A
,CALD1,FLG2
,ERG,TGM1
,EVPL,RGS10
,ACSL1,ACAA1
,G6PD,CALD1
,IARS,ERG
,IGFBP7,EVPL
,KRT6A,ACSL1
,KRT7,G6PD
,KRT15,IARS
,STMN1,IGFBP7
,MLH1,KRT6A
,PAFAH1B2,KRT7
,PRCC,KRT15
,PROX1,STMN1
,RELN,MLH1
,PTPRB,PAFAH1B2
,RPA1,PRCC
,SAFB,PROX1
,SPAST,RELN
,TSN,PTPRB
,VTN,RPA1
,SORBS2,SAFB
,RANBP3,SPAST
,CHD1L,TSN
,SNCAIP,VTN
,RB1CC1,SORBS2
,EPM2AIP1,RANBP3
,MVP,CHD1L
,PLIN3,SNCAIP
,STK25,RB1CC1
,MAP3K2,EPM2AIP1
,POP4,MVP
,EHMT2,PLIN3
,C11orf58,STK25
,DIDO1,MAP3K2
,AAK1,POP4
,MMRN1,EHMT2
,KDM2A,C11orf58
,SMC5,DIDO1
,ADNP,AAK1
,MLYCD,MMRN1
,CARHSP1,KDM2A
,CD2AP,SMC5
,STK39,ADNP
,EHD2,MLYCD
,DBR1,CARHSP1
,KIAA1217,CD2AP
,SCAF4,STK39
,NPEPL1,EHD2
,GSDMD,DBR1
,RABEP2,KIAA1217
,UBA5,SCAF4
,LIMD2,NPEPL1
,FAM172A,GSDMD
,CHMP4B,RABEP2
,SEPT10,UBA5
,FAM115C,LIMD2
,FAM102A,FAM172A
,PALM2-AKAP2,CHMP4B
,KRT4,SEPT10
,STAT3,FAM115C
,ARIH1,FAM102A
,CDKN2AIP,PALM2-AKAP2
,NEURL4,KRT4
,PGBD2,STAT3
,NBPF19,ARIH1
,CCDC33,CDKN2AIP
,KCNH8,NEURL4
,ANKRD34A,PGBD2
,CD300LF,NBPF19
,VWA5B2,CCDC33
,GLI3,KCNH8
,KIAA1551,ANKRD34A
,C9orf173,CD300LF
,ZNF440,VWA5B2
,SHROOM2,GLI3
,PIP4K2C,KIAA1551
,CWC22,C9orf173
,ZMYM4,ZNF440
,CACUL1,SHROOM2
,RBMY1A1,PIP4K2C
,YEATS4,CWC22
,ZBP1,ZMYM4
,RIPK3,CACUL1
,TEAD4,RBMY1A1
,PHKG2,YEATS4
,PIM2,ZBP1
,TSSK3,RIPK3
,IKBKB,TEAD4
,LARS,PHKG2
,PARK2,PIM2
,KLHL24,TSSK3
,KLHL8,IKBKB
,ZFAND4,LARS
,FBXL5,PARK2
,TRIM68,KLHL24
,ASB13,KLHL8
,MESP2,ZFAND4
,KRT79,FBXL5
,MRM1,TRIM68
,CYP11B1,ASB13
,SSR4P1,MESP2
,KIAA0141,KRT79
,SMPX,MRM1
,TMEM204,CYP11B1
,BTNL8,SSR4P1
,DPEP2,KIAA0141
,KIF25-AS1,SMPX
,ZBTB25,TMEM204
,F7,BTNL8
,F12,DPEP2
,,KIF25-AS1
,,ZBTB25
,,F7
,,F12
