Protein Virus,Protein Người,Protein Chung
,MRC2,EEF1A2
,CD44,VAMP2
,NRP2,STXBP3
,ATM,RHOB
,NCAPG2,STX6
,THADA,LRBA
,AGMAT,NDRG1
,FASTKD1,MRC2
,PDS5A,CD44
,INTS5,NRP2
,ATP13A1,ATM
,NUBPL,NCAPG2
,INTS8,THADA
,DOCK5,AGMAT
,TMEM168,FASTKD1
,TUT1,PDS5A
,TBC1D8,INTS5
,SCAI,ATP13A1
,FAM20B,NUBPL
,STK11IP,INTS8
,KLHDC2,DOCK5
,SPNS1,TMEM168
,TMEM254,TUT1
,VAMP4,TBC1D8
,PGAP2,SCAI
,STX2,FAM20B
,TVP23C,STK11IP
,TM9SF1,ORF7b
,CYBRD1,KLHDC2
,ABCB10,SPNS1
,DPY19L3,TMEM254
,BCAP31,VAMP4
,CTNNA2,PGAP2
,METTL16,STX2
,BSCL2,TVP23C
,ERBB2,TM9SF1
,LMAN1,CYBRD1
,GPR56,ABCB10
,ENTPD4,DPY19L3
,SLC38A2,BCAP31
,GALNT12,CTNNA2
,AGPAT3,METTL16
,SCAMP1,BSCL2
,SAMD8,ERBB2
,TMEM106C,LMAN1
,BNIP3L,GPR56
,LAPTM4A,ENTPD4
,GPX8,SLC38A2
,CYP4F8,GALNT12
,TUSC3,AGPAT3
,VTI1A,SCAMP1
,CASC4,SAMD8
,C2orf43,TMEM106C
,NDC1,BNIP3L
,LPAR1,LAPTM4A
,DHRS7,GPX8
,VEZT,CYP4F8
,UNC93B1,TUSC3
,QSOX1,VTI1A
,CYP2S1,CASC4
,MGST1,C2orf43
,TMEM135,NDC1
,TMEM70,LPAR1
,NDUFB11,DHRS7
,ORAI1,VEZT
,HIGD2A,UNC93B1
,GPR126,QSOX1
,ZDHHC18,CYP2S1
,DEGS1,MGST1
,S1PR3,TMEM135
,SCAMP2,TMEM70
,TMEM87A,NDUFB11
,ELOVL6,ORAI1
,PNKD,HIGD2A
,MAN1B1,GPR126
,ACP2,ZDHHC18
,C1QL1,DEGS1
,ELOVL5,S1PR3
,UBE2G2,SCAMP2
,TSPAN14,TMEM87A
,OPA3,ELOVL6
,TMED4,PNKD
,ZDHHC21,MAN1B1
,ZDHHC6,ACP2
,FKRP,C1QL1
,APOOL,ELOVL5
,SLC2A6,UBE2G2
,CELSR2,TSPAN14
,NIPA1,OPA3
,MTFP1,TMED4
,POMGNT1,ZDHHC21
,CTDNEP1,ZDHHC6
,PTGES,FKRP
,CYP1B1,APOOL
,CD70,SLC2A6
,FAM20C,CELSR2
,C15orf61,NIPA1
,TMEM164,MTFP1
,MFSD5,POMGNT1
,MFSD10,CTDNEP1
,ITPRIPL2,PTGES
,SLC30A5,CYP1B1
,TMEM68,CD70
,SLC35A2,FAM20C
,CACNG6,C15orf61
,TNFSF15,TMEM164
,SGPP1,MFSD5
,CHST14,MFSD10
,RHBDD2,ITPRIPL2
,MFSD8,SLC30A5
,ZFPL1,TMEM68
,SLC35F5,SLC35A2
,CLDN1,CACNG6
,LMAN2L,TNFSF15
,SYNGR3,SGPP1
,SLC47A2,CHST14
,CD81,RHBDD2
,TMPPE,MFSD8
,TAMM41,ZFPL1
,TMEM177,SLC35F5
,PEX10,CLDN1
,ARFIP1,LMAN2L
,SCFD1,SYNGR3
,SLC35A1,SLC47A2
,C1orf159,CD81
,B3GALT6,TMPPE
,OSTC,TAMM41
,TRPM4,TMEM177
,DAGLB,PEX10
,FUT8,ARFIP1
,GPR39,SCFD1
,SEC61G,SLC35A1
,LETMD1,C1orf159
,EFNB1,B3GALT6
,TMEM258,OSTC
,TCIRG1,TRPM4
,ABHD5,DAGLB
,SMIM1,FUT8
,ZDHHC13,GPR39
,TIMM17A,SEC61G
,TMEM223,LETMD1
,MUL1,EFNB1
,FAM134A,TMEM258
,C10orf54,TCIRG1
,XXYLT1,ABHD5
,SLC15A4,SMIM1
,WDR83OS,ZDHHC13
,EXOG,TIMM17A
,AGPAT6,TMEM223
,SCARA5,MUL1
,ELOVL7,FAM134A
,TMEM214,C10orf54
,EXTL3,XXYLT1
,KDELR1,SLC15A4
,TIMM17B,WDR83OS
,GJA1,EXOG
,BET1,AGPAT6
,TMEM221,SCARA5
,LPCAT4,ELOVL7
,SYPL1,TMEM214
,STRA6,EXTL3
,PTRH2,KDELR1
,AREG,TIMM17B
,SPTLC2,GJA1
,ALG14,BET1
,TMED9,TMEM221
,B3GAT3,LPCAT4
,TMEM256,SYPL1
,GOSR2,STRA6
,FITM2,PTRH2
,PAQR5,AREG
,ALG13,SPTLC2
,STX16,ALG14
,SLC25A52,TMED9
,LGR4,B3GAT3
,DPY19L2,TMEM256
,PDIA3,GOSR2
,NRP1,FITM2
,RPS2,PAQR5
,RPS3,ALG13
,NR2F2,STX16
,RNF5,SLC25A52
,TMEM43,LGR4
,VKORC1,DPY19L2
,MMGT1,PDIA3
,TIMM21,NRP1
,ZNF581,RPS2
,HERPUD1,RPS3
,GET4,NR2F2
,CDH1,RNF5
