Protein Virus,Protein Người,Protein Chung
,ZDHHC8,STEAP1
,TTF2,TBC1D22B
,YTHDC2,TMEM222
,SUMO2,TPD52L2
,ANKHD1,TUSC2
,MORF4L2,UBQLN2
,ARHGAP35,USP20
,CASP7,WDR20
,CCNB2,ZDBF2
,CEP120,ZDHHC8
,COBL,TTF2
,DCDC2,YTHDC2
,E2F4,SUMO2
,GTSE1,ANKHD1
,LUZP1,MORF4L2
,ATP8,ARHGAP35
,NEK4,CASP7
,PPP1R15A,CCNB2
,RCHY1,CEP120
,SAMD1,COBL
,SNX25,DCDC2
,TTK,E2F4
,USP3,GTSE1
,ZER1,LUZP1
,ZUFSP,ATP8
,AGPAT2,NEK4
,ANKMY2,PPP1R15A
,ANO5,RCHY1
,ARHGAP8,SAMD1
,CAB39,SNX25
,CDKN2A,TTK
,CEPT1,USP3
,CLCN2,ZER1
,DGCR2,ZUFSP
,DNAJC18,AGPAT2
,KIAA1324L,ANKMY2
,ENPP1,ANO5
,ERICH5,ARHGAP8
,FAM169A,CAB39
,FRAS1,CDKN2A
,GLB1L2,CEPT1
,GPR108,CLCN2
,GTF2H2C,DGCR2
,KLHL22,DNAJC18
,LRP2,KIAA1324L
,FAM129A,ENPP1
,NRM,ERICH5
,ORMDL3,FAM169A
,PCID2,FRAS1
,PCYT1A,GLB1L2
,PRKD1,GPR108
,RAB22A,GTF2H2C
,RAB24,KLHL22
,SFT2D2,LRP2
,SLC1A1,FAM129A
,SLC43A1,NRM
,SLCO4C1,ORMDL3
,STX17,PCID2
,SV2A,PCYT1A
,SYNE3,PRKD1
,TMEM184B,RAB22A
,TMEM53,RAB24
,TRAPPC1,SFT2D2
,UBR2,SLC1A1
,ZDHHC14,SLC43A1
,C18orf32,SLCO4C1
,ELMOD2,STX17
,C14orf1,SV2A
,GREB1L,SYNE3
,GXYLT1,TMEM184B
,IPO7,TMEM53
,KHNYN,TRAPPC1
,MTMR14,UBR2
,NDUFA2,ZDHHC14
,NDUFB8,C18orf32
,NDUFS7,ELMOD2
,GBAS,C14orf1
,PEX11B,GREB1L
,PEX14,GXYLT1
,PIGP,IPO7
,PPM1L,KHNYN
,TMEM242,MTMR14
,TOM1,NDUFA2
,TOM1L2,NDUFB8
,BBX,NDUFS7
,C14orf169,GBAS
,ANXA11,PEX11B
,ANP32E,PEX14
,C19orf47,PIGP
,CBX2,PPM1L
,CBX4,TMEM242
,CENPC,TOM1
,CTPS2,TOM1L2
,CTR9,BBX
,DDX28,C14orf169
,DDX49,ANXA11
,FLYWCH1,ANP32E
,GTF3C3,C19orf47
,HOXA5,CBX2
,C4orf27,CBX4
,IDH3A,CENPC
,KDM1B,CTPS2
,MAK16,CTR9
,MAPK1,DDX28
,MPHOSPH6,DDX49
,C17orf85,FLYWCH1
,NDUFB10,GTF3C3
,NFIC,HOXA5
,NKX2-5,C4orf27
,NOC4L,IDH3A
,NPM3,KDM1B
,P2RY1,MAK16
,PIGM,MAPK1
,PPAN,MPHOSPH6
,RAD23B,C17orf85
,RPLP1,NDUFB10
,RPP14,NFIC
,SLC44A5,NKX2-5
,SMARCA1,NOC4L
,SMIM19,NPM3
,SNRPD3,P2RY1
,SRBD1,PIGM
,SUPT4H1,PPAN
,TAF1,RAD23B
,TCOF1,RPLP1
,PAPD5,RPP14
,TEX10,SLC44A5
,TMEM167A,SMARCA1
,TP53RK,SMIM19
,UTP3,SNRPD3
,ZBTB9,SRBD1
,ZNF512B,SUPT4H1
,ZSCAN21,TAF1
,OCRL,TCOF1
,RAB11FIP1,PAPD5
,RAB11FIP2,TEX10
,SCYL2,TMEM167A
,TRAPPC3,TP53RK
,VCP,UTP3
,FYTTD1,ZBTB9
,HIP1,ZNF512B
,LAMTOR1,ZSCAN21
,LAMTOR3,OCRL
,PSMA1,RAB11FIP1
,PSMA5,RAB11FIP2
,WDR13,SCYL2
,PSMC2,TRAPPC3
,ATXN3,VCP
,CD83,FYTTD1
,DNAAF5,HIP1
,DNAJC25,LAMTOR1
,EMB,LAMTOR3
,GLRB,PSMA1
,MAP3K11,PSMA5
,NHLRC3,WDR13
,OCA2,PSMC2
,PIEZO1,ATXN3
,PPAP2A,CD83
,SOGA3,DNAAF5
,SPPL2B,DNAJC25
,TMEM179B,EMB
,TMEM231,GLRB
,XPO6,MAP3K11
,BAI1,NHLRC3
,CADM4,OCA2
,COLEC12,PIEZO1
,CSPG4,PPAP2A
,EDA,SOGA3
,FZD8,SPPL2B
,GDPD1,TMEM179B
,GPM6B,TMEM231
,ITGA7,XPO6
,KCNMB4,BAI1
,LINGO1,CADM4
,MAOA,COLEC12
,OSTF1,CSPG4
,PAPSS2,EDA
,PLSCR1,FZD8
,PSEN1,GDPD1
,PTPRU,GPM6B
,SLC29A2,ITGA7
,SYNDIG1,KCNMB4
,TMEM147,LINGO1
,TMEM63C,MAOA
,RPS25,OSTF1
,ABCB1,PAPSS2
,ALG10,PLSCR1
,AP4E1,PSEN1
,BICD1,PTPRU
,IFT46,SLC29A2
,C17orf75,SYNDIG1
,C19orf25,TMEM147
,SMIM12,TMEM63C
,C9orf72,RPS25
,CADM1,ABCB1
,CAPNS1,ALG10
,CBX5,AP4E1
,CHRNA5,BICD1
,CORO7-PAM16,IFT46
,CPOX,C17orf75
,DCD,C19orf25
,DEPDC1B,SMIM12
,DHRS13,C9orf72
,DSC2,CADM1
,F11R,CAPNS1
,FAM105A,CBX5
,GBA2,CHRNA5
,GPN1,CORO7-PAM16
,GRAMD3,CPOX
,GRAMD4,DCD
,GRB2,DEPDC1B
,HIST1H3F,DHRS13
,HSPBP1,DSC2
,ITGA5,F11R
,JPH1,FAM105A
,KCNG1,GBA2
,KIAA0100,GPN1
,KIAA2013,GRAMD3
,KIF22,GRAMD4
,LRRC8C,GRB2
,LSM1,HIST1H3F
,LYSMD3,HSPBP1
,MBOAT2,ITGA5
,NEDD4,JPH1
,OSBPL10,KCNG1
,PDE3B,KIAA0100
,PDK1,KIAA2013
,PIK3R1,KIF22
,PIK3R2,LRRC8C
,PRKCH,LSM1
,PSMB1,LYSMD3
,RNF185,MBOAT2
,RNFT1,NEDD4
,SBDS,OSBPL10
,SEC11C,PDE3B
,SLC6A9,PDK1
,SLC7A2,PIK3R1
,STX3,PIK3R2
,TBC1D20,PRKCH
,TJAP1,PSMB1
,TMEM161B,RNF185
,TMEM219,RNFT1
,TMTC1,SBDS
,UFSP2,SEC11C
,UGT8,SLC6A9
,UHRF1BP1L,SLC7A2
,VPS53,STX3
,WLS,TBC1D20
,TRIM32,TJAP1
,TMED1,TMEM161B
,NOMO3,TMEM219
,DCTN1,TMTC1
,SUSD2,UFSP2
,MAGED2,UGT8
,CKAP5,UHRF1BP1L
,ISG15,VPS53
,SAMHD1,WLS
,EIF5A2,TRIM32
,KIF9,TMED1
,KLHL36,NOMO3
,AKT3,DCTN1
,XPNPEP3,SUSD2
,SERPINB4,MAGED2
,GNPTAB,CKAP5
,DDHD2,ISG15
,MRS2,SAMHD1
,GNPTG,EIF5A2
,TTC30A,KIF9
,ABHD14A,KLHL36
,RDH12,AKT3
,RNF121,XPNPEP3
,B4GALT3,SERPINB4
,SPG7,GNPTAB
,ACSS1,DDHD2
,FRMD5,MRS2
,FXYD6,GNPTG
,IL18R1,TTC30A
,CD302,ABHD14A
,ERBB4,RDH12
,RTN2,RNF121
,MOB1B,B4GALT3
,KHDC1,SPG7
,PTTG1IP,ACSS1
,ROGDI,FRMD5
,VEZF1,FXYD6
,ZNF768,IL18R1
,SLC5A2,CD302
,LRIT3,ERBB4
,SSRP1,RTN2
,VRK1,MOB1B
,MECP2,KHDC1
,BAZ1A,PTTG1IP
,BIN1,ROGDI
,TMEM8A,VEZF1
,XPO4,ZNF768
,EXOC7,SLC5A2
,TBC1D9,LRIT3
,RAD23A,SSRP1
,PGK2,VRK1
,HSPA7,MECP2
,HTT,BAZ1A
,MAP1LC3C,BIN1
,TPM4,TMEM8A
,TRAFD1,XPO4
,ST13P4,EXOC7
,INA,TBC1D9
,CDC42BPA,RAD23A
,NKAP,PGK2
,MYH14,HSPA7
,TDP1,HTT
,HIST1H2AA,MAP1LC3C
,TUBB2B,TPM4
,RAI14,TRAFD1
,CRYZ,ST13P4
,KRT77,INA
,MAP2K1,CDC42BPA
,TMOD2,NKAP
,XPO7,MYH14
,TNPO3,TDP1
,CCDC142,HIST1H2AA
,RNPS1,TUBB2B
,MRPL53,RAI14
,SARNP,CRYZ
,CMC1,KRT77
,KRT14,MAP2K1
,TLR2,TMOD2
,TRAF3,XPO7
,IKBKE,TNPO3
,MLLT4,CCDC142
,PHF6,RNPS1
,H1FX,MRPL53
,RPLP2,SARNP
,RPL34,CMC1
,HTRA1,KRT14
,MAST2,TLR2
,RADIL,TRAF3
,LGALS1,IKBKE
,RPLP0,MLLT4
,HIST2H2BF,PHF6
,ABCC9,H1FX
,ASTN2,RPLP2
,BBS5,RPL34
,SHISA9,HTRA1
,TMEM212,MAST2
,ZNF66,RADIL
,CCND3,LGALS1
,ADRM1,RPLP0
,WDR77,HIST2H2BF
,TRIP13,ABCC9
,PSMB2,ASTN2
,PSMD13,BBS5
,PSMA4,SHISA9
,NT5C2,TMEM212
,MAP1B,ZNF66
,KIAA0368,CCND3
,NIP7,ADRM1
,SNX33,WDR77
,CDC42BPB,TRIP13
,EPN1,PSMB2
,KIAA1919,PSMD13
,ATP9B,PSMA4
,ALKBH1,NT5C2
,CHST11,MAP1B
,ATP11B,KIAA0368
,UXS1,NIP7
,RNF167,SNX33
,TNFRSF12A,CDC42BPB
,BCKDHB,EPN1
,TBL1XR1,KIAA1919
,PTCD2,ATP9B
,IDH3G,ALKBH1
,MRPL38,CHST11
,SLC38A9,ATP11B
,C20orf24,UXS1
,SPPL2A,RNF167
,CERS1,TNFRSF12A
,FADS3,BCKDHB
,TRRAP,TBL1XR1
,GFPT2,PTCD2
,PDS5B,IDH3G
,CYP20A1,MRPL38
,TMEM128,SLC38A9
,RRAS2,C20orf24
,TSPAN15,SPPL2A
,ANAPC2,CERS1
,IGSF8,FADS3
,ALG12,TRRAP
,TMCO3,GFPT2
,PODXL,PDS5B
,TBCD,CYP20A1
,TMUB2,TMEM128
,GRK6,RRAS2
,TSPAN13,TSPAN15
,SNX13,ANAPC2
,TMEM246,IGSF8
,GNPAT,ALG12
,ABHD17B,TMCO3
,SEC22A,PODXL
,TSPAN3,TBCD
,CD63,TMUB2
,CD82,GRK6
,TMEM102,TSPAN13
,RNF182,SNX13
,COL4A1,TMEM246
,WBP1L,GNPAT
,PITPNM3,ABHD17B
,KCNE4,SEC22A
,TAOK2,TSPAN3
,PDCD4,CD63
,ORAI3,CD82
,UBXN2B,TMEM102
,HIAT1,RNF182
,TMEM129,COL4A1
,RAP2A,WBP1L
,GPR115,PITPNM3
,UBXN2A,KCNE4
,ANXA10,TAOK2
,ARL6IP1,PDCD4
,S100A16,ORAI3
,LRRC40,UBXN2B
,BNIP3,HIAT1
,CDC42SE2,TMEM129
,PRRG1,RAP2A
,MVD,GPR115
,NIPA2,UBXN2A
,TSPAN4,ANXA10
,CRABP2,ARL6IP1
,MYL12B,S100A16
,MIEF1,LRRC40
,PLAA,BNIP3
,SP1,CDC42SE2
,ZNF444,PRRG1
,SYNGR2,MVD
,IK,NIPA2
,ORC5,TSPAN4
,TSPAN9,CRABP2
,MPV17,MYL12B
,DHODH,MIEF1
,TTI2,PLAA
,HDDC2,SP1
,SLC25A23,ZNF444
,NCDN,SYNGR2
,ZNHIT6,IK
,WDR76,ORC5
,CREB5,TSPAN9
,JUND,MPV17
,KATNBL1,DHODH
,C1orf174,TTI2
,ATF3,HDDC2
,TATDN2,SLC25A23
,MSX2,NCDN
,CCNG1,ZNHIT6
,FZD7,WDR76
,KDM6A,CREB5
,LRRC7,JUND
,HLA-DQB1,KATNBL1
,KDELR3,C1orf174
,MBTPS2,ATF3
,ATP5G3,TATDN2
,TMEM208,MSX2
,DPAGT1,CCNG1
,MYH16,FZD7
,SLC39A6,KDM6A
,SYNGR1,LRRC7
,CMTM4,HLA-DQB1
,SYS1,KDELR3
,FAM57A,MBTPS2
,ND1,ATP5G3
,MFSD11,TMEM208
,DYNC1H1,DPAGT1
,ASB6,MYH16
,CROCC,SLC39A6
,GCFC2,SYNGR1
,NFATC4,CMTM4
,SYTL2,SYS1
,TMSB4X,FAM57A
,SHC4,ND1
,ITPRIPL1,MFSD11
,LMF1,DYNC1H1
,XRCC1,ASB6
,TMEM35,CROCC
,KRTCAP2,GCFC2
,MFSD9,NFATC4
,PCDH17,SYTL2
,USP24,TMSB4X
,PSMA8,SHC4
,CREB3,ITPRIPL1
,CCDC64B,LMF1
,CREB3L1,XRCC1
,CEP57L1,TMEM35
,MKRN3,KRTCAP2
,CD27,MFSD9
,CD40,PCDH17
,IL27RA,USP24
,LY6E,PSMA8
,LYPD5,CREB3
,C19orf18,CCDC64B
,FFAR2,CREB3L1
,HAVCR2,CEP57L1
,OR1D5,MKRN3
,PCDHB1,CD27
,PRB3,CD40
,SLC51B,IL27RA
,TBXA2R,LY6E
,TMEM14B,LYPD5
,TMEM45A,C19orf18
,TSPAN8,FFAR2
,SLC10A1,HAVCR2
,RGS13,OR1D5
,PRKAG2,PCDHB1
,KCTD13,PRB3
,HSD11B1L,SLC51B
,GMCL1,TBXA2R
,FCER1G,TMEM14B
,CRX,TMEM45A
,BEND7,TSPAN8
,SSH2,SLC10A1
,EGR1,RGS13
,TMEM154,PRKAG2
,LYZL6,KCTD13
,KCNJ12,HSD11B1L
,CLHC1,GMCL1
,AFTPH,FCER1G
,BABAM1,CRX
,SOX2,BEND7
,GXYLT2,SSH2
,TJP3,EGR1
,POU6F2,TMEM154
,ARHGAP4,LYZL6
,FAM178A,KCNJ12
,TCTEX1D4,CLHC1
,AADACL3,AFTPH
,ROBO3,BABAM1
,REXO1,SOX2
,USP43,GXYLT2
,LRRK1,TJP3
,TNS1,POU6F2
,FGFBP3,ARHGAP4
,SLC26A4,FAM178A
,SEC14L5,TCTEX1D4
,FBXO38,AADACL3
,YRDC,ROBO3
,CLMP,REXO1
,PPP1R14A,USP43
,GRB14,LRRK1
,ZBTB4,TNS1
,ASPN,FGFBP3
,DOCK2,SLC26A4
,RSRC1,SEC14L5
,TRIM55,FBXO38
,SH2B3,YRDC
,CCNT2,CLMP
,HDAC7,PPP1R14A
,C5orf24,GRB14
,CCDC120,ZBTB4
,STK35,ASPN
,SERTAD4,DOCK2
,HMGA1,RSRC1
,ATPIF1,TRIM55
,MED15,SH2B3
,CCNL1,CCNT2
,SLC25A19,HDAC7
,PSME2,C5orf24
,MYL9,CCDC120
,MYL3,STK35
,MYH7B,SERTAD4
,MTMR11,HMGA1
,MYH6,ATPIF1
,YWHAE,MED15
,YWHAB,CCNL1
,RBPMS,SLC25A19
,IGHM,PSME2
,LIN28A,MYL9
,LRP1,MYL3
,UNC45B,MYH7B
,PAICS,MTMR11
,MYL7,MYH6
,COL3A1,YWHAE
,C4A,YWHAB
,KRT5,RBPMS
,HIST2H2AA3,IGHM
,HIST1H2BH,LIN28A
,OTOF,LRP1
,MT1A,UNC45B
,S100A7,PAICS
,OTOGL,MYL7
,BST2,COL3A1
,TERF2,C4A
,COASY,KRT5
,EIF3J,HIST2H2AA3
,EML4,HIST1H2BH
,SF3A2,OTOF
,STK38L,MT1A
,BAK1,S100A7
,SCARF2,OTOGL
,CD320,BST2
,C17orf49,TERF2
,PCNXL2,COASY
,PLEKHM1,EIF3J
,NCOA2,EML4
,MBOAT1,SF3A2
,AZIN2,STK38L
,PARP10,BAK1
,PRDM14,SCARF2
,TSGA10IP,CD320
,ANO7,C17orf49
,SIT1,PCNXL2
,KANSL1L,PLEKHM1
,OSBPL5,NCOA2
,TET3,MBOAT1
,XIRP2,AZIN2
,CARD10,PARP10
,OR4K14,PRDM14
,NCOA1,TSGA10IP
,TLK2,ANO7
,GPR180,SIT1
,GGA1,KANSL1L
,GPR50,OSBPL5
,SNX4,TET3
,ATP1A2,XIRP2
,SIX4,CARD10
,ETV3,OR4K14
,MARCH1,NCOA1
,CCDC107,TLK2
,BCL2L1,GPR180
,NLK,GGA1
,SDC2,GPR50
,MEAF6,SNX4
,BRD1,ATP1A2
,TUBA1C,SIX4
,C11orf84,ETV3
,BRAT1,MARCH1
,MTOR,CCDC107
,ASNA1,BCL2L1
,HDX,NLK
,ATP6V1H,SDC2
,COPRS,MEAF6
,CHD4,BRD1
,QPCTL,TUBA1C
,GPN3,C11orf84
,CADPS2,BRAT1
,DCAF8,MTOR
,POMK,ASNA1
,PPP2R2D,HDX
,ZCCHC10,ATP6V1H
,TIMP1,COPRS
,TOR3A,CHD4
,MMS22L,QPCTL
,EXOC8,GPN3
,ND2,CADPS2
,ARHGAP12,DCAF8
,CDKL2,POMK
,RPL36A,PPP2R2D
,HK2,ZCCHC10
,NAA15,TIMP1
,ZDHHC12,TOR3A
,ZDHHC15,MMS22L
,ACTA2,EXOC8
,ACTG2,ND2
,CTBP2,ARHGAP12
,DTNA,CDKL2
,GLUD2,RPL36A
,PYGL,HK2
,RALB,NAA15
,UBB,ZDHHC12
,ATP8A1,ZDHHC15
,SLC38A3,ACTA2
,CRCP,ACTG2
,DEF6,CTBP2
,SLC35B3,DTNA
,TVP23B,GLUD2
,PLEKHA8P1,PYGL
,ADAM22,RALB
,CPVL,UBB
,SAYSD1,ATP8A1
,PCDH10,SLC38A3
,RAP2C,CRCP
,NABP2,DEF6
,RAB6C,SLC35B3
,MRI1,TVP23B
,CSNK1A1L,PLEKHA8P1
,RLTPR,ADAM22
,DDX26B,CPVL
,FAM26E,SAYSD1
,KLRG2,PCDH10
,RPL13AP3,RAP2C
,MIR3622B,NABP2
,RNVU1-7,RAB6C
,SNRPGP7,MRI1
,PLN,CSNK1A1L
,C4orf3,RLTPR
,ELN,DDX26B
,RAB39A,FAM26E
,TAS2R7,KLRG2
,SYT2,RPL13AP3
,TAS2R41,MIR3622B
,TSPAN5,RNVU1-7
,MC2R,SNRPGP7
,OPALIN,PLN
,SGMS2,C4orf3
,AS3MT,ELN
,SH3GLB1,RAB39A
,TSC22D3,TAS2R7
,MAEA,SYT2
,CNOT6,TAS2R41
,VPS4A,TSPAN5
,ARL6IP4,MC2R
,CARS,OPALIN
,COPS6,SGMS2
,SHPK,AS3MT
,QPRT,SH3GLB1
,C11orf31,TSC22D3
,HN1L,MAEA
,SIAH1,CNOT6
,TFF2,VPS4A
,HIST1H4I,ARL6IP4
,TLR1,CARS
,DFNA5,COPS6
,,SHPK
,,QPRT
,,C11orf31
,,HN1L
,,SIAH1
,,TFF2
,,HIST1H4I
,,TLR1
,,DFNA5
