Protein Virus,Protein Người,Protein Chung
nsp12,ACADM,ACADM
nsp7,FASTKD5,FASTKD5
nsp16,INTS4,INTS4
,AKAP8L,AKAP8L
,UPF1,UPF1
,SBNO1,nsp12
,BCKDK,SBNO1
,AKAP8,BCKDK
,SLU7,AKAP8
,TYSND1,SLU7
,PDZD11,TYSND1
,PRRC2B,PDZD11
,ZNF318,PRRC2B
,CRTC3,ZNF318
,TCF12,CRTC3
,PPIL3,TCF12
,PLEKHA5,PPIL3
,TBKBP1,PLEKHA5
,GOLGA3,TBKBP1
,GOLGA2,GOLGA3
,CEP350,GOLGA2
,GCC2,CEP350
,AKAP9,GCC2
,FKBP15,AKAP9
,GIGYF2,FKBP15
,NUP210,GIGYF2
,AGPS,NUP210
,CYB5B,nsp7
,ACSL3,AGPS
,CYB5R3,CYB5B
,RALA,ACSL3
,COMT,CYB5R3
,RAB5C,RALA
,RAB14,COMT
,RAB1A,RAB5C
,GNB1,RAB14
,GNG5,RAB1A
,MOGS,GNB1
,MARC1,GNG5
,QSOX2,MOGS
,HS2ST1,MARC1
,NDUFAF2,QSOX2
,SCCPDH,HS2ST1
,SCARB1,NDUFAF2
,NAT14,SCCPDH
,DCAKD,SCARB1
,FAM162A,NAT14
,DNAJC19,DCAKD
,VIMP,FAM162A
,PTGES2,DNAJC19
,RAB18,VIMP
,NUP54,PTGES2
,NUP88,RAB18
,NUPL1,NUP54
,TCEB2,NUP88
,NUP98,NUPL1
,DNMT1,TCEB2
,PUSL1,NUP98
,SLC9A3R1,DNMT1
,BAG5,PUSL1
,ACAD9,SLC9A3R1
,RBM5,BAG5
,ATP6V1B1,ACAD9
,KIAA0355,RBM5
,P3H4,ATP6V1B1
,TTC27,KIAA0355
,TOR1AIP2,P3H4
,SLC25A2,TTC27
,CTSB,TOR1AIP2
,PEX6,SLC25A2
,PRKDC,CTSB
,NEMF,PEX6
,MUC13,PRKDC
,HLA-C,nsp16
,EMC2,NEMF
,EMC8,MUC13
,DHCR24,HLA-C
,CA12,EMC2
,ROR1,EMC8
,RABGAP1L,DHCR24
,GNA13,CA12
,PPP2R4,ROR1
,TNIP1,RABGAP1L
,HSP90AB4P,GNA13
,VPS18,PPP2R4
,VPS41,TNIP1
,RAB3D,HSP90AB4P
,NCOA4,VPS18
,NAA10,VPS41
,PRKCSH,RAB3D
,NPLOC4,NCOA4
,PRPS2,NAA10
,SNX1,PRKCSH
,STX12,NPLOC4
,VPS16,PRPS2
,NF1,SNX1
,DYNC2H1,STX12
,COG3,VPS16
,TTI1,NF1
,INTS2,DYNC2H1
,SYMPK,COG3
,TMX1,TTI1
,GOSR1,INTS2
,RDH14,SYMPK
,SEC61B,TMX1
,TAB1,GOSR1
,IFIH1,RDH14
,TICAM1,SEC61B
,TMEM173,TAB1
,VAPA,IFIH1
,SPTLC1,TICAM1
,ACOT2,TMEM173
,COX5B,VAPA
,CPS1,SPTLC1
,TMTC3,ACOT2
,DARS,COX5B
,SACM1L,CPS1
,ACOT9,TMTC3
,GLS,DARS
,HSPA6,SACM1L
,HSPD1,ACOT9
,APP,GLS
,MDH2,HSPA6
,MGST3,HSPD1
,ATP2A2,APP
,NSDHL,MDH2
,ATP5C1,MGST3
,RDH11,ATP2A2
,CDK5RAP1,NSDHL
,WWOX,ATP5C1
,DNAJB12,RDH11
,TRMT10C,CDK5RAP1
,SNX14,WWOX
,PTPN1,DNAJB12
,SRPRB,TRMT10C
,RPN1,SNX14
,MRPS24,PTPN1
,SREBF1,SRPRB
,VDAC3,RPN1
,MRPL45,MRPS24
,GTPBP10,SREBF1
,PNPT1,VDAC3
,SUCLA2,MRPL45
,RPL23,GTPBP10
,TXNL1,PNPT1
,TECR,SUCLA2
,CDC42,RPL23
,VAT1,TXNL1
,PTGES3,TECR
,SFXN4,CDC42
,TRAPPC8,VAT1
,RAB3GAP1,PTGES3
,CLUH,SFXN4
,ANAPC4,TRAPPC8
,HADH,RAB3GAP1
,DNAJA1,CLUH
,HSPA4,ANAPC4
,JAK1,HADH
,MCM3,DNAJA1
,MID1,HSPA4
,WRAP73,JAK1
,TIMMDC1,MCM3
,SPG21,MID1
,PFKL,WRAP73
,PFKM,TIMMDC1
,SLC25A3,SPG21
,BOLA2,PFKL
,UGGT1,PFKM
,RPL38,SLC25A3
,RPS27A,BOLA2
,SLC25A1,UGGT1
,HSP90B1,RPL38
,NUP37,RPS27A
,TRIM56,SLC25A1
,FAR1,HSP90B1
,IKBKAP,NUP37
,CPNE1,TRIM56
,AIFM1,FAR1
,ECD,IKBKAP
,RUNDC1,CPNE1
,ZCCHC11,AIFM1
,DICER1,ECD
,C17orf104,RUNDC1
,POLE,ZCCHC11
,VAC14,DICER1
,EIF4ENIF1,C17orf104
,TTC31,POLE
,IFT74,VAC14
,RNF10,EIF4ENIF1
,DMXL1,TTC31
,SSX2IP,IFT74
,SOGA1,RNF10
,CEP72,DMXL1
,SIPA1L2,SSX2IP
,BRAP,SOGA1
,OFD1,CEP72
,PHLDB2,SIPA1L2
,CCP110,BRAP
,SACS,OFD1
,IPO8,PHLDB2
,IFFO2,CCP110
,SPICE1,SACS
,DAB2IP,IPO8
,DAPK3,IFFO2
,DHX8,SPICE1
,CNKSR2,DAB2IP
,RALGAPA1,DAPK3
,INTS7,DHX8
,C2CD3,CNKSR2
,USP25,RALGAPA1
,APC,INTS7
,NFKB1,C2CD3
,LAP3,USP25
,UBR5,APC
,SNX7,NFKB1
,PFDN5,LAP3
,CPSF2,UBR5
,MICAL3,SNX7
,CCDC14,PFDN5
,NOL6,CPSF2
,NRIP1,MICAL3
,CEP89,CCDC14
,RAB12,NOL6
,SENP1,NRIP1
,SSR1,CEP89
,AP2S1,RAB12
,CHAF1B,SENP1
,CDK9,SSR1
,ZNF460,AP2S1
,ZFP1,CHAF1B
,DNM2,CDK9
,FAM208A,ZNF460
,ICE1,ZFP1
,RTTN,DNM2
,APAF1,FAM208A
,KIFC1,ICE1
,ANAPC5,RTTN
,VPS54,APAF1
,PPM1B,KIFC1
,HJURP,ANAPC5
,TTC7A,VPS54
,WDR35,PPM1B
,CDK13,HJURP
,NCAPD2,TTC7A
,ZNF507,WDR35
,PSMC4,CDK13
,SKIV2L,NCAPD2
,BRCA2,ZNF507
,UBA1,PSMC4
,CAPN2,SKIV2L
,PASK,BRCA2
,PDE8A,UBA1
,CASC5,CAPN2
,CGN,PASK
,ZFC3H1,PDE8A
,SPEN,CASC5
,SMCHD1,CGN
,ZNF317,ZFC3H1
,RPL4,SPEN
,NSD1,SMCHD1
,EFR3A,ZNF317
,KIAA0430,RPL4
,HAUS1,NSD1
,COG4,EFR3A
,CCDC22,KIAA0430
,PEX19,HAUS1
,CENPH,COG4
,XPO1,CCDC22
,IFT20,PEX19
,USP14,CENPH
,MGME1,XPO1
,AQR,IFT20
,EPS15,USP14
,PGAP1,MGME1
,PCYOX1,AQR
,CYB5R1,EPS15
,IP6K1,PGAP1
,PRDX4,PCYOX1
,LGALS3BP,CYB5R1
,ISCU,IP6K1
,KARS,PRDX4
,NDUFA6,LGALS3BP
,MRPS22,ISCU
,SDHB,KARS
,C1QBP,NDUFA6
,USP30,MRPS22
,TOMM20,SDHB
,ADPRHL2,C1QBP
,SEC16A,USP30
,UFL1,TOMM20
,AKAP11,ADPRHL2
,ARHGAP21,SEC16A
,BBS7,UFL1
,CABLES1,AKAP11
,CASK,ARHGAP21
,CASKIN2,BBS7
,CCDC88A,CABLES1
,CDK5,CASK
,CLMN,CASKIN2
,CTNND1,CCDC88A
,DENND4C,CDK5
,EFR3B,CLMN
,ERBB2IP,CTNND1
,FIBP,DENND4C
,MAPKAP1,EFR3B
,NISCH,ERBB2IP
,NUP107,FIBP
,NUP133,MAPKAP1
,PALM2,NISCH
,PI4KA,NUP107
,PLEKHA7,NUP133
,PPP1R16B,PALM2
,HRSP12,PI4KA
,SNTB2,PLEKHA7
,SPTBN2,PPP1R16B
,TENM3,HRSP12
,VPS51,SNTB2
,CFAP97,SPTBN2
,DHX29,TENM3
,DIAPH3,VPS51
,ERCC6L,CFAP97
,GPATCH1,DHX29
,IFIT2,DIAPH3
,MEX3A,ERCC6L
,NELFCD,GPATCH1
,POP7,IFIT2
,SMG7,MEX3A
,STAU1,NELFCD
,TTC12,POP7
,XRN1,SMG7
,CCT5,STAU1
,CCT6A,TTC12
,EIF3M,XRN1
,AGO2,CCT5
,ALDH9A1,CCT6A
,ALMS1,EIF3M
,ANAPC1,AGO2
,ANAPC13,ALDH9A1
,ARMC6,ALMS1
,BCR,ANAPC1
,BIRC6,ANAPC13
,CCDC85C,ARMC6
,CCDC92,BCR
,CCT2,BIRC6
,CDC23,CCDC85C
,CDC27,CCDC92
,CEP63,CCT2
,CEP85,CDC23
,CEP97,CDC27
,CNOT1,CEP63
,CNOT10,CEP85
,CNTROB,CEP97
,COMMD4,CNOT1
,CPSF3,CNOT10
,CSPP1,CNTROB
,CYLD,COMMD4
,DDX11,CPSF3
,DHPS,CSPP1
,DHRS4,CYLD
,DNMBP,DDX11
,DPH1,DHPS
,SDCCAG3,DHRS4
,EXOC4,DNMBP
,FANCA,DPH1
,FBXO45,SDCCAG3
,GIGYF1,EXOC4
,GLMN,FANCA
,GPSM1,FBXO45
,HAUS4,GIGYF1
,HAUS5,GLMN
,HAUS8,GPSM1
,HSP90AB2P,HAUS4
,IFT81,HAUS5
,INPPL1,HAUS8
,KLHL26,HSP90AB2P
,LAMTOR5,IFT81
,MAD2L2,INPPL1
,MAP3K7,KLHL26
,MPHOSPH9,LAMTOR5
,MZT2B,MAD2L2
,N4BP2,MAP3K7
,NCKAP5L,MPHOSPH9
,NEK7,MZT2B
,NPHP1,N4BP2
,NUDC,NCKAP5L
,NUDCD2,NEK7
,NUDCD3,NPHP1
,C10orf88,NUDC
,PAN2,NUDCD2
,PATL1,NUDCD3
,PCM1,C10orf88
,PDCL3,PAN2
,PEAK1,PATL1
,PFDN2,PCM1
,PIH1D1,PDCL3
,PIK3C2A,PEAK1
,PLEKHG1,PFDN2
,POLR2E,PIH1D1
,POLR2L,PIK3C2A
,PPID,PLEKHG1
,PPP1R13B,POLR2E
,RNF214,POLR2L
,RPAP3,PPID
,SASS6,PPP1R13B
,SH2B2,RNF214
,SHKBP1,RPAP3
,SLAIN1,SASS6
,SNX5,SH2B2
,SPAG1,SHKBP1
,SPATA2,SLAIN1
,SPATA24,SNX5
,STXBP4,SPAG1
,TEX9,SPATA2
,TNRC6A,SPATA24
,TP53BP2,STXBP4
,TRAF3IP1,TEX9
,TROAP,TNRC6A
,TTC28,TP53BP2
,TTC3,TRAF3IP1
,UBXN6,TROAP
,UNC45A,TTC28
,URI1,TTC3
,UXT,UBXN6
,VPS29,UNC45A
,VPS37A,URI1
,CCDC132,UXT
,C2orf44,VPS29
,WDR92,VPS37A
,WDTC1,CCDC132
,WIPI1,C2orf44
,CSNK1E,WDR92
,RPS18,WDTC1
,CEP152,WIPI1
,CNOT2,CSNK1E
,DCP1A,RPS18
,PIK3AP1,CEP152
,PPP2R3A,CNOT2
,TAF7,DCP1A
,VCPIP1,PIK3AP1
,C1orf86,PPP2R3A
,TYMS,TAF7
,UBAP1,VCPIP1
,AHR,C1orf86
,AMOT,TYMS
,ANKRD52,UBAP1
,ARHGAP23,AHR
,ATG2B,AMOT
,BCOR,ANKRD52
,BEND3,ARHGAP23
,GLTSCR1,ATG2B
,C5orf22,BCOR
,CCDC77,BEND3
,CCDC93,GLTSCR1
,CCSER2,C5orf22
