Protein Virus,Protein Người,Protein Chung
,CLIC1,CCDC77
,CRTC1,CCDC93
,DLG5,CCSER2
,DNA2,CLIC1
,DOCK7,CRTC1
,DTX3L,DLG5
,EXOC2,DNA2
,FAM160A1,DOCK7
,FBRS,DTX3L
,FHOD1,EXOC2
,GFOD1,FAM160A1
,HEATR6,FBRS
,HECA,FHOD1
,SSFA2,GFOD1
,KANK2,HEATR6
,KIF3A,HECA
,KIF3B,SSFA2
,KIF5C,KANK2
,KLC4,KIF3A
,LRCH1,KIF3B
,LRCH2,KIF5C
,LZTS2,KLC4
,MAPK9,LRCH1
,MED23,LRCH2
,NDC80,LZTS2
,NEK1,MAPK9
,NYNRIN,MED23
,OSBPL6,NDC80
,INADL,NEK1
,PCGF1,NYNRIN
,PLEKHM3,OSBPL6
,PPP1R12C,INADL
,PPP1R13L,PCGF1
,PRR12,PLEKHM3
,PSME3,PPP1R12C
,RALGAPB,PPP1R13L
,RFX1,PRR12
,RPP25L,PSME3
,SALL1,RALGAPB
,SMG1,RFX1
,SNTB1,RPP25L
,STIL,SALL1
,SYDE1,SMG1
,TFEB,SNTB1
,TSC22D4,STIL
,USP28,SYDE1
,VPS33A,TFEB
,WASH3P,TSC22D4
,FAM21A,USP28
,WRN,VPS33A
,ZADH2,WASH3P
,ZCCHC2,FAM21A
,ZNF536,WRN
,ZNF655,ZADH2
,ZNF746,ZCCHC2
,SSSCA1,ZNF536
,BUB1B,ZNF655
,SCAPER,ZNF746
,SH3BP5L,SSSCA1
,STAT5B,BUB1B
,TFE3,SCAPER
,FAM21C,SH3BP5L
,ZBED1,STAT5B
,CAMSAP3,TFE3
,MAP7D3,FAM21C
,TRIM2,ZBED1
,TRIM3,CAMSAP3
,ZNF598,MAP7D3
,EXOC5,TRIM2
,GNL3L,TRIM3
,KIF16B,ZNF598
,TSC1,EXOC5
,DERA,GNL3L
,BOD1,KIF16B
,MTMR3,TSC1
,AAGAB,DERA
,AHNAK2,BOD1
,AKAP17A,MTMR3
,AKAP3,AAGAB
,AP5Z1,AHNAK2
,ARNT,AKAP17A
,BAP1,AKAP3
,BUB1,AP5Z1
,C15orf39,ARNT
,CAMKK2,BAP1
,CCAR2,BUB1
,CDC25C,C15orf39
,CDC73,CAMKK2
,FOPNL,CCAR2
,COMMD3,CDC25C
,CRYBG3,CDC73
,CSAD,FOPNL
,DENND4A,COMMD3
,DHX35,CRYBG3
,DPY30,CSAD
,EDRF1,DENND4A
,ETFB,DHX35
,FGD1,DPY30
,GAK,EDRF1
,HIGD1A,ETFB
,KIF20A,FGD1
,KLHL15,GAK
,L3MBTL2,HIGD1A
,LIN9,KIF20A
,LRIF1,KLHL15
,NCAPH,L3MBTL2
,NCOA3,LIN9
,NCOR2,LRIF1
,NIF3L1,NCAPH
,NME5,NCOA3
,OGT,NCOR2
,PDE9A,NIF3L1
,PLEKHG3,NME5
,PNN,OGT
,RAD54B,PDE9A
,RPRD1B,PLEKHG3
,RPRD2,PNN
,SALL2,RAD54B
,SF3B2,RPRD1B
,SF3B4,RPRD2
,SOWAHC,SALL2
,SPAG5,SF3B2
,TELO2,SF3B4
,TIPIN,SOWAHC
,TOMM7,SPAG5
,UBA2,TELO2
,UCHL5,TIPIN
,WAC,TOMM7
,WNK3,UBA2
,ZNF776,UCHL5
,ZWINT,WAC
,ZYG11A,WNK3
,ACACA,ZNF776
,CCT3,ZWINT
,CCT7,ZYG11A
,ATAD3A,ACACA
,FAM96B,CCT3
,PGP,CCT7
,NOMO1,ATAD3A
,RAB3IP,FAM96B
,COMMD1,PGP
,COMMD2,NOMO1
,COMMD6,RAB3IP
,COMMD8,COMMD1
,VPS52,COMMD2
,BAG6,COMMD6
,CLPB,COMMD8
,CLTA,VPS52
,COMMD5,BAG6
,COMMD9,CLPB
,ESD,CLTA
,FDFT1,COMMD5
,GLRX3,COMMD9
,PPFIBP1,ESD
,RAB23,FDFT1
,DSCR3,GLRX3
,PEX1,PPFIBP1
,JRK,RAB23
,HERC2,DSCR3
,SEMA4F,PEX1
,UBE3A,JRK
,STK4,HERC2
,STK3,SEMA4F
,LRRC41,UBE3A
,CEP85L,STK4
,SNRNP48,STK3
,CEP128,LRRC41
,C16orf62,CEP85L
,LRCH3,SNRNP48
,RNPC3,CEP128
,SAV1,C16orf62
,L1RE1,LRCH3
,COMMD10,RNPC3
,IARS2,SAV1
,EPRS,L1RE1
,PYCR2,COMMD10
,AHNAK,IARS2
,THOC6,EPRS
,DVL2,PYCR2
,EIF4G3,AHNAK
,TNKS1BP1,THOC6
,CNOT3,DVL2
,BICD2,EIF4G3
,DVL3,TNKS1BP1
,DVL1,CNOT3
,THOC1,BICD2
,HSPA1L,DVL3
,PLCH1,DVL1
,TTLL4,THOC1
,DDX12P,HSPA1L
,OR2AE1,PLCH1
,PABPC3,TTLL4
,RNF219,DDX12P
,ATP5O,OR2AE1
,EXOC6,PABPC3
,MTCH2,RNF219
,EIF2B1,ATP5O
,ACTN2,EXOC6
,CKB,MTCH2
,SPTBN1,EIF2B1
,DPM1,ACTN2
,LMO7,CKB
,NDUFA7,SPTBN1
,NDUFA8,DPM1
,POTEF,LMO7
,SRSF1,NDUFA7
,TMOD3,NDUFA8
,AIF1L,POTEF
,SPTB,SRSF1
,ABLIM1,TMOD3
,PARP1,AIF1L
,SRSF5,SPTB
,DVL1P1,ABLIM1
,CDK1,PARP1
,GSPT1,SRSF5
,PCBP3,DVL1P1
,CDK2,CDK1
,PDCD6,GSPT1
,GNB3,PCBP3
,HS1BP3,CDK2
,HIST2H2AB,PDCD6
,SREK1,GNB3
,RFC4,HS1BP3
,CORO1C,HIST2H2AB
,LNX2,SREK1
,YY1,RFC4
,TRIM21,CORO1C
,RNU1-1,LNX2
,RNU2-1,YY1
,H3F3B,TRIM21
,ZIC2,RNU1-1
,TUBB4B,RNU2-1
,ID4,H3F3B
,IER5,ZIC2
,SDE2,TUBB4B
,WDR82,ID4
,CYC1,IER5
,PSMD14,SDE2
,PPP6C,WDR82
,PFKFB3,CYC1
,CHCHD3,PSMD14
,WDR61,PPP6C
,MRPL46,PFKFB3
,MAP4K4,CHCHD3
,MMS19,WDR61
,TTPAL,MRPL46
,GEMIN2,MAP4K4
,AIDA,MMS19
,IFI35,TTPAL
,PRKCDBP,GEMIN2
,UBE2V2,AIDA
,FRMD8,IFI35
,ACTL6A,PRKCDBP
,C12orf75,UBE2V2
,PDCD2L,FRMD8
,FLAD1,ACTL6A
,DPM3,C12orf75
,ZNF609,PDCD2L
,F13A1,FLAD1
,SFXN2,DPM3
,ATIC,ZNF609
,TCF3,F13A1
,STRN3,SFXN2
,PUM2,ATIC
,CCHCR1,TCF3
,PRPSAP1,STRN3
,ANKRD54,PUM2
,CCT4,CCHCR1
,CKAP2,PRPSAP1
,NECAP2,ANKRD54
,SPC25,CCT4
,DYNC1LI1,CKAP2
,GAPVD1,NECAP2
,SETDB1,SPC25
,ARPP19,DYNC1LI1
,MAML1,GAPVD1
,RSRC2,SETDB1
,SCAF8,ARPP19
,AFAP1L1,MAML1
,ARID3B,RSRC2
,C1D,SCAF8
,CDT1,AFAP1L1
,CEP290,ARID3B
,CEP295,C1D
,CHD7,CDT1
,COPS8,CEP290
,FKBP5,CEP295
,FRMD4B,CHD7
,GTF3C5,COPS8
,IQCG,FKBP5
,KLHL9,FRMD4B
,MCC,GTF3C5
,MECOM,IQCG
,MPDZ,KLHL9
,NEBL,MCC
,NES,MECOM
,NR2C1,MPDZ
,NUB1,NEBL
,PEF1,NES
,PKN3,NR2C1
,PROSC,NUB1
,POC5,PEF1
,PRKRIP1,PKN3
,PROSER3,PROSC
,RBM33,POC5
,RGPD8,PRKRIP1
,RREB1,PROSER3
,SNRNP35,RBM33
,TBC1D31,RGPD8
,TGS1,RREB1
,THYN1,SNRNP35
,YLPM1,TBC1D31
,ZNF687,TGS1
,ZNF792,THYN1
,TNS3,YLPM1
,WRNIP1,ZNF687
,RDH13,ZNF792
,THAP9,TNS3
,METTL3,WRNIP1
,METTL14,RDH13
,WTAP,THAP9
,MORF4L1,METTL3
,ARRDC3,METTL14
,CATSPER2,WTAP
,CLUHP3,MORF4L1
,DDIT4L,ARRDC3
,KRTAP4-12,CATSPER2
,LMX1A,CLUHP3
,NPIPB5,DDIT4L
,PAX7,KRTAP4-12
,POLM,LMX1A
,PYGO2,NPIPB5
,SERPINB9,PAX7
,ZNF19,POLM
,ZNF572,PYGO2
,GOLGA6L9,SERPINB9
,TTC23L,ZNF19
,ACOT11,ZNF572
,ANKRD36B,GOLGA6L9
,ASB12,TTC23L
,ASZ1,ACOT11
,CARD9,ANKRD36B
,CCNDBP1,ASB12
,DAAM2,ASZ1
,HOMEZ,CARD9
,IKZF3,CCNDBP1
,KRT13,DAAM2
,KRT27,HOMEZ
,KRT31,IKZF3
,KRT32,KRT13
,KRT39,KRT27
,KRT80,KRT31
,LCN15,KRT32
,MIF4GD,KRT39
,NDUFB7,KRT80
,PARVG,LCN15
,PNMA1,MIF4GD
,PPARA,NDUFB7
,SMEK1,PARVG
,PRPH,PNMA1
,PYGM,PPARA
,RAB3IL1,SMEK1
,RASSF10,PRPH
,SERTAD1,PYGM
,SESTD1,RAB3IL1
,SNF8,RASSF10
,SYCE1,SERTAD1
,TEKT4,SESTD1
,TRIM54,SNF8
,TTC23,SYCE1
,ZRANB1,TEKT4
,KIAA1279,TRIM54
,FERMT3,TTC23
,AKR1B10,ZRANB1
,OTX2,KIAA1279
,INCA1,FERMT3
,FHL2,AKR1B10
,CCND1,OTX2
,GNB2,INCA1
,RAB3A,FHL2
,SIPA1,CCND1
,PPP1R18,GNB2
,PDLIM2,RAB3A
,LAD1,SIPA1
,DAP,PPP1R18
,ACACB,PDLIM2
,RBM25,LAD1
,PRPSAP2,DAP
,COPE,ACACB
,ICA1L,RBM25
,DYRK1B,PRPSAP2
,ECHDC1,COPE
,RNASEH2A,ICA1L
,HSCB,DYRK1B
,NFS1,ECHDC1
,OTUB1,RNASEH2A
,TST,HSCB
,MEMO1,NFS1
,DECR2,OTUB1
,SLC25A22,TST
,GCLM,MEMO1
,CNOT8,DECR2
,TRMT61A,SLC25A22
,MMACHC,GCLM
,PSMG1,CNOT8
,GOLPH3,TRMT61A
,UCK1,MMACHC
,KCTD12,PSMG1
,VTA1,GOLPH3
,CDCA8,UCK1
,FAHD2A,KCTD12
,COQ5,VTA1
,MARCH7,CDCA8
,,FAHD2A
,,COQ5
,,MARCH7
