Protein Virus,Protein Người,Protein Chung
N,PABPC1,N
ORF10,CSNK2A2,PABPC1
ORF8,G3BP1,CSNK2A2
ORF1ab,PABPC4,G3BP1
,FAM98A,PABPC4
,SNIP1,FAM98A
,MOV10,SNIP1
,G3BP2,MOV10
,MYCBP2,G3BP2
,UBAP2L,MYCBP2
,ZC3H7A,UBAP2L
,MRPS5,ZC3H7A
,EIF4H,MRPS5
,CUL2,EIF4H
,THTPA,ORF10
,ZYG11B,CUL2
,RBX1,THTPA
,TCEB1,ZYG11B
,SUN2,RBX1
,STC2,TCEB1
,CISD3,SUN2
,COL6A1,ORF8
,PVR,STC2
,LOX,CISD3
,PCSK6,COL6A1
,INHBE,PVR
,NPC2,LOX
,OS9,PCSK6
,NPTX1,INHBE
,KDELC1,NPC2
,KDELC2,OS9
,ERO1LB,NPTX1
,FOXRED2,KDELC1
,CHPF,KDELC2
,GGH,ERO1LB
,ERLEC1,FOXRED2
,IL17RA,CHPF
,NGLY1,GGH
,HS6ST2,ERLEC1
,NEU1,IL17RA
,GDF15,NGLY1
,TM2D3,HS6ST2
,ERP44,NEU1
,EDEM3,GDF15
,POFUT1,TM2D3
,PLEKHF2,ERP44
,FBXL12,EDEM3
,UGGT2,POFUT1
,CHPF2,PLEKHF2
,ADAMTS1,FBXL12
,FKBP7,UGGT2
,CSDE1,CHPF2
,ACE2,ADAMTS1
,CD209,FKBP7
,STIP1,CSDE1
,MCFD2,ACE2
,ATP12A,CD209
,GUSB,STIP1
,C5,MCFD2
,SERPINE2,ATP12A
,UPK1B,GUSB
,PYCRL,C5
,ALG6,SERPINE2
,SLC9A1,UPK1B
,CDK5RAP3,PYCRL
,PCNP,ALG6
,ANGPT4,SLC9A1
,PTRF,CDK5RAP3
,HFE,PCNP
,ENTPD6,ANGPT4
,TCTN3,PTRF
,GCNT3,HFE
,TMEM41A,ENTPD6
,NBR1,TCTN3
,BRI3BP,GCNT3
,PDLIM1,TMEM41A
,PMM2,NBR1
,B2M,BRI3BP
,CNNM3,PDLIM1
,SLC6A6,PMM2
,SMS,B2M
,TOR1B,CNNM3
,LRRC47,SLC6A6
,PLXNA1,SMS
,RHBDF2,TOR1B
,HLA-A,LRRC47
,HSPA13,PLXNA1
,GGT1,RHBDF2
,FANCD2,HLA-A
,GOLM1,HSPA13
,FAS,GGT1
,ZDHHC3,FANCD2
,CSGALNACT1,GOLM1
,GALNT10,FAS
,GALNT1,ZDHHC3
,SGCD,CSGALNACT1
,CNTNAP3,GALNT10
,C16orf58,GALNT1
,PEX13,SGCD
,B4GAT1,CNTNAP3
,EXT1,C16orf58
,GLCE,PEX13
,HTATIP2,B4GAT1
,TGFB2,EXT1
,SEP15,GLCE
,FGA,HTATIP2
,TGFB1,TGFB2
,IGFBP4,SEP15
,PLAU,FGA
,MAN2A1,TGFB1
,CNTNAP3B,IGFBP4
,NTS,PLAU
,ST8SIA4,MAN2A1
,PROS1,CNTNAP3B
,EGFL7,NTS
,LTBP1,ST8SIA4
,CXCL5,PROS1
,ERLIN1,EGFL7
,CCPG1,LTBP1
