Protein Virus,Protein Người,Protein Chung
,STT3B,CXCL5
,MGAT2,ERLIN1
,ADAM10,CCPG1
,CNTN1,STT3B
,LRPPRC,MGAT2
,ILVBL,ADAM10
,PHB2,CNTN1
,CLPTM1,LRPPRC
,PLXNB2,ILVBL
,SUCO,PHB2
,SARAF,CLPTM1
,ANO10,PLXNB2
,ZDHHC7,SUCO
,PCDHB2,SARAF
,RPL18A,ANO10
,RPL21,ZDHHC7
,RPL26,PCDHB2
,RPL30,RPL18A
,RPS9,RPL21
,FNDC3B,RPL26
,DGKE,RPL30
,RAB29,RPS9
,TIMM23,FNDC3B
,PRMT3,DGKE
,SLC38A10,RAB29
,PGAM5,TIMM23
,ELAVL1,PRMT3
,COPG1,SLC38A10
,RALY,PGAM5
,TMEM194A,ELAVL1
,FZD2,COPG1
,SND1,RALY
,TMEM230,TMEM194A
,HNRNPC,FZD2
,ACAT2,SND1
,SMAD3,TMEM230
,PNP,HNRNPC
,NUCB2,ACAT2
,PSMB7,SMAD3
,DIP2B,PNP
,DHX37,NUCB2
,RPL3,PSMB7
,RPL5,DIP2B
,RPL28,DHX37
,RPS11,RPL3
,SHMT1,RPL5
,TAP1,RPL28
,ALG9,RPS11
,RTCA,SHMT1
,TMEM259,TAP1
,EIF4A3,ALG9
,NBPF10,RTCA
,IGF2BP1,TMEM259
,IGF2BP3,EIF4A3
,CELF1,NBPF10
,DNAJC21,IGF2BP1
,RC3H1,IGF2BP3
,R3HDM2,CELF1
,DHX30,DNAJC21
,FAM120A,RC3H1
,SASH1,R3HDM2
,R3HDM1,DHX30
,ABCF1,FAM120A
,LSM14A,SASH1
,GRSF1,R3HDM1
,GSK3B,ABCF1
,C17orf97,LSM14A
,RC3H2,GRSF1
,YTHDF1,GSK3B
,FAM120C,C17orf97
,NBPF1,RC3H2
,RPL29,YTHDF1
,SPATS2,FAM120C
,STXBP2,NBPF1
,BICC1,RPL29
,FXR1,SPATS2
,ZCCHC3,STXBP2
,TSPYL5,BICC1
,PRKRA,FXR1
,CEP95,ZCCHC3
,DHX57,TSPYL5
,SECISBP2L,PRKRA
,PTBP3,CEP95
,EIF3G,DHX57
,RPS3A,SECISBP2L
,KLC2,PTBP3
,PPP1CC,EIF3G
,ARFGAP3,RPS3A
,SEC62,KLC2
,LMNB2,PPP1CC
,MBTPS1,ARFGAP3
,CNNM4,SEC62
,HUWE1,LMNB2
,ESPL1,MBTPS1
,MYH11,CNNM4
,DDX17,HUWE1
,HNRNPA3,ESPL1
,RBMX,MYH11
,HNRNPL,DDX17
,NPM1,HNRNPA3
,POLR1E,RBMX
,LAMB1,HNRNPL
,LRPAP1,NPM1
,UBE2O,POLR1E
,ASIC1,LAMB1
,ADAM15,LRPAP1
,ATP6AP2,UBE2O
,CTSD,ASIC1
,EXT2,ADAM15
,STOML1,ATP6AP2
,FSTL3,CTSD
,TMEM5,EXT2
,SEMA3A,STOML1
,FAM3C,FSTL3
,LEPREL2,TMEM5
,AGR2,SEMA3A
,CNPY3,FAM3C
,CTSC,LEPREL2
,PDIA5,AGR2
,ERP29,CNPY3
,GALNT5,CTSC
,FKBP9,PDIA5
,GALNT13,ERP29
,CLN5,GALNT5
,IKBIP,FKBP9
,VSTM2L,GALNT13
,COL5A2,CLN5
,COL12A1,IKBIP
,CD109,VSTM2L
,CTSL,COL5A2
,CTSS,COL12A1
,COCH,CD109
,OLFML2A,CTSL
,DNASE2,CTSS
,PLBD2,COCH
,DHFRL1,OLFML2A
,CLSTN1,DNASE2
,MESDC2,PLBD2
,POFUT2,DHFRL1
,CNPY4,CLSTN1
,GALC,MESDC2
,B4GALNT1,POFUT2
,GALNS,CNPY4
,GBA,GALC
,PCOLCE2,B4GALNT1
,GFRA1,GALNS
,GLB1,GBA
,GPC1,PCOLCE2
,P4HA3,GFRA1
,SUMF1,GLB1
,NENF,GPC1
,HEXA,P4HA3
,HEXB,SUMF1
,HLA-B,NENF
,NDST1,HEXA
,IGF1R,HEXB
,IGFBP2,HLA-B
,INHBB,NDST1
,ITGB4,IGF1R
,L1CAM,IGFBP2
,LAMA3,INHBB
,LAMA5,ITGB4
,LAMC1,L1CAM
,LAMC2,LAMA3
,LOXL2,LAMA5
,IFITM10,LAMC1
,LTBP3,LAMC2
,MANBA,LOXL2
,MATN2,IFITM10
,MATN3,LTBP3
,ARSD,MANBA
,MFI2,MATN2
,MGAT5,MATN3
,MUC5AC,ARSD
,NAGLU,MFI2
,NRCAM,MGAT5
,NT5E,MUC5AC
,PAPPA,NAGLU
,TXNDC12,NRCAM
,CERCAM,NT5E
,SCARA3,PAPPA
,ERAP1,TXNDC12
,GALNT7,CERCAM
,CTSA,SCARA3
,IMPAD1,ERAP1
,P3H2,GALNT7
,EDEM2,CTSA
,TMEM30A,IMPAD1
,TTC17,P3H2
,SULF2,EDEM2
,DNAJC3,TMEM30A
,TWSG1,TTC17
,NTN4,SULF2
,SCPEP1,DNAJC3
,SPCS3,TWSG1
,SEL1L,NTN4
,XYLT2,SCPEP1
,SFRP1,SPCS3
,SGSH,SEL1L
,BMP1,XYLT2
,BST1,SFRP1
,TAPBP,SGSH
,TFPI,BMP1
,THBS1,BST1
,TIMP2,TAPBP
,C1S,TFPI
,VLDLR,THBS1
,WNT7B,TIMP2
,MANF,C1S
,CRELD1,VLDLR
,CRELD2,WNT7B
,TTC13,MANF
,GALNT14,CRELD1
,HHIPL2,CRELD2
,TFPI2,TTC13
,THSD4,GALNT14
,PLBD1,HHIPL2
,PDGFD,TFPI2
,ITFG1,THSD4
,TXNDC5,PLBD1
,ST6GAL2,PDGFD
,CNTNAP1,ITFG1
,B4GALT4,TXNDC5
,CTSF,ST6GAL2
,ST3GAL5,CNTNAP1
,P4HA2,B4GALT4
,NXPE3,CTSF
,CHST10,ST3GAL5
,MINPP1,P4HA2
,CELSR1,NXPE3
,EDEM1,CHST10
,MRPL37,MINPP1
,MRPL44,CELSR1
,BASP1,EDEM1
,SLC9A3R2,MRPL37
,C6orf47,MRPL44
,NCSTN,BASP1
,NEDD4L,SLC9A3R2
,SLIRP,C6orf47
,ZC3HAV1,NCSTN
,DST,NEDD4L
,NF2,SLIRP
,OBSL1,ZC3HAV1
,PAK4,DST
,RICTOR,NF2
,ANP32B,OBSL1
,C12orf29,PAK4
,CAMTA1,RICTOR
,CPEB4,ANP32B
,DDX3X,C12orf29
,DENR,CAMTA1
,FAM193B,CPEB4
,MAP4,DDX3X
,NUFIP2,DENR
,PKN2,FAM193B
,TARBP2,MAP4
,ZNF346,NUFIP2
,EIF3D,PKN2
,EIF4B,TARBP2
,SERBP1,ZNF346
,MRPS11,EIF3D
,RAVER1,EIF4B
,ASCC3,SERBP1
,ZNF787,MRPS11
,CALCOCO2,RAVER1
,MRPL2,ASCC3
,EHHADH,ZNF787
,NME6,CALCOCO2
,C8orf59,MRPL2
,RBMS2,EHHADH
,UTP11L,NME6
,WDR46,C8orf59
,TIAL1,RBMS2
,CNPY2,UTP11L
,KPNA2,WDR46
,TFB1M,TIAL1
,AMMECR1L,CNPY2
,ANAPC10,KPNA2
,AUH,TFB1M
,DONSON,AMMECR1L
,FSD1,ANAPC10
,IBA57,AUH
,LUC7L,DONSON
,MAP7,FSD1
,MPG,IBA57
,MRPL55,LUC7L
,MRPS15,MAP7
,PIN4,MPG
,RBM3,MRPL55
,REPIN1,MRPS15
,RPL35,PIN4
,RRP36,RBM3
,FMN2,REPIN1
,AGPAT1,RPL35
,FAM134B,RRP36
,FN1,FMN2
,GNL1,AGPAT1
,KCNB2,FAM134B
,MCOLN3,FN1
,MRPL28,GNL1
,PSMA2,KCNB2
,SPCS1,MCOLN3
,TMX3,MRPL28
,PSMD11,PSMA2
,CAMP,SPCS1
,ABR,TMX3
,SERPINB5,PSMD11
,UTP6,CAMP
,FBF1,ABR
,SRFBP1,SERPINB5
,ZNF100,UTP6
,RPS15,FBF1
,RPS17,SRFBP1
,IGHMBP2,ZNF100
,RPL31,RPS15
,ZC3H7B,RPS17
,SRSF3,IGHMBP2
,MEX3D,RPL31
,FMNL3,ZC3H7B
,YBX3,SRSF3
,YBX1,MEX3D
,U2AF1L4,FMNL3
,KAT7,YBX3
,DEPDC1,YBX1
,PITX2,U2AF1L4
,KRR1,KAT7
,MCRS1,DEPDC1
,ZNF668,PITX2
,PRDM10,KRR1
,THAP4,MCRS1
,DGKZ,ZNF668
,ZNF22,PRDM10
,ZNF574,THAP4
,DUSP11,DGKZ
,SHPRH,ZNF22
,ZNF48,ZNF574
,PTOV1,DUSP11
,TRIM71,SHPRH
,METTL17,ZNF48
,YY1AP1,PTOV1
,GDF11,TRIM71
,SMARCA4,METTL17
,RILPL2,YY1AP1
,TRIM25,GDF11
,EDC4,SMARCA4
,RBMXL3,RILPL2
,HNRNPUL2,TRIM25
,IGF2BP2,EDC4
,HNRNPDL,RBMXL3
,CNBP,HNRNPUL2
,MRPS7,IGF2BP2
,PRRC2C,HNRNPDL
,HBA1,CNBP
,HBA2,MRPS7
,PTX3,PRRC2C
,MARCH8,HBA1
,ILF3,HBA2
,HIST1H2BJ,PTX3
,YWHAH,MARCH8
,RBM14,ILF3
,YTHDF2,HIST1H2BJ
,HNRNPM,YWHAH
,ILF2,RBM14
,HNRNPH3,YTHDF2
,PCNA,HNRNPM
,MYO6,ILF2
,NSF,HNRNPH3
,MRPL1,PCNA
,SAE1,MYO6
,LOC102724594,NSF
,DYNLT1,MRPL1
,HNRNPA1,SAE1
,SYNCRIP,LOC102724594
,SRRT,DYNLT1
,CFL2,HNRNPA1
,HNRNPH2,SYNCRIP
,U2AF2,SRRT
,MATR3,CFL2
,KHDRBS1,HNRNPH2
,H3F3C,U2AF2
,PABPN1,MATR3
,HNRNPR,KHDRBS1
,BYSL,H3F3C
,WASL,PABPN1
,NFAT5,HNRNPR
,RBMS1,BYSL
,MRPS6,WASL
,CRMP1,NFAT5
,CAPRIN1,RBMS1
,PLS1,MRPS6
,STK38,CRMP1
,AGO1,CAPRIN1
,C14orf166,PLS1
,RTCB,STK38
,SNRNP70,AGO1
,EIF5A,C14orf166
,THRAP3,RTCB
,SRSF9,SNRNP70
,HNRNPK,EIF5A
,PCBP2,THRAP3
,DAZAP1,SRSF9
,CMPK1,HNRNPK
,TARDBP,PCBP2
,TWF2,DAZAP1
,PPIL1,CMPK1
,PLOD3,TARDBP
,PABPC5,TWF2
,PTBP1,PPIL1
,FUS,PLOD3
,SAFB2,PABPC5
,NLRP3,PTBP1
,HNRNPAB,FUS
,FUBP3,SAFB2
,NONO,NLRP3
,RPL37,HNRNPAB
,HNRNPD,FUBP3
,EWSR1,NONO
,RPL17,RPL37
,RPL24,HNRNPD
,RHPN2,EWSR1
,GIPC1,RPL17
,BAIAP2L1,RPL24
,PPP1CA,RHPN2
,PCBP1,GIPC1
,ADAR,BAIAP2L1
,MAPK1IP1L,PPP1CA
,ZNF703,PCBP1
,HIST2H3D,ADAR
,FEM1A,MAPK1IP1L
,GRPEL2,ZNF703
,ID3,HIST2H3D
,ADO,FEM1A
,ANKRD40,GRPEL2
,ZIC5,ID3
,PLAGL2,ADO
,DDIT4,ANKRD40
,FOXK2,ZIC5
,STARD7,PLAGL2
,TRAF4,DDIT4
,SRCAP,FOXK2
,MTHFD2,STARD7
,PLK1,TRAF4
,RPL41,SRCAP
,HIST1H3J,MTHFD2
,PIAS1,PLK1
,TXN,RPL41
,SNRPE,HIST1H3J
,SNRPD2,PIAS1
,HNRNPF,TXN
,HNRNPA0,SNRPE
,GEMIN5,SNRPD2
,NOP10,HNRNPF
,ZCRB1,HNRNPA0
,MRPL54,GEMIN5
,UTP23,NOP10
,ZC3H8,ZCRB1
,C1orf35,MRPL54
,APOBEC3C,UTP23
,RPS19BP1,ZC3H8
,RRP8,C1orf35
,MRPL22,APOBEC3C
,CAND2,RPS19BP1
,LSM3,RRP8
,LSM2,MRPL22
,MDK,CAND2
,MSI2,LSM3
,MRPL32,LSM2
,MRPL27,MDK
,FAM98B,MSI2
,MRPL17,MRPL32
,PRPF4,MRPL27
,COX6C,FAM98B
,DHX36,MRPL17
,SMN2,PRPF4
,HELZ2,COX6C
,EIF2B4,DHX36
,SH3GL1,SMN2
,WDR81,HELZ2
,IFT27,EIF2B4
,DUSP3,SH3GL1
,MRPL13,WDR81
,TRMT6,IFT27
,SRSF2,DUSP3
,OASL,MRPL13
,NFKB2,TRMT6
,CENPI,SRSF2
,TAPBPL,OASL
,INSL4,NFKB2
,MGAT4B,CENPI
,PGGT1B,TAPBPL
,RBL1,INSL4
,MRPL47,MGAT4B
,CHST3,PGGT1B
,SLC7A7,RBL1
,RIT2,MRPL47
,PBRM1,CHST3
,LTF,SLC7A7
,LYZ,RIT2
,MRPS31,PBRM1
,NAP1L4,LTF
,FUBP1,LYZ
,TLN1,MRPS31
,PPP1CB,NAP1L4
,RPS14,FUBP1
,SFPQ,TLN1
,C7orf50,PPP1CB
,RNGTT,RPS14
,ZNF146,SFPQ
,C9orf41,C7orf50
,DTWD2,RNGTT
,CPSF3L,ZNF146
,ZNF622,C9orf41
,MSI1,DTWD2
,PUM1,CPSF3L
,PWP1,ZNF622
,C8orf33,MSI1
,MRPS26,PUM1
,PARP12,PWP1
,MRPL11,C8orf33
,MRPS18A,MRPS26
,MRPL43,ORF1ab
,RPUSD3,PARP12
,PSPC1,MRPL11
,GPR89B,MRPS18A
,CREBBP,MRPL43
,KAT2B,RPUSD3
,SLCO4A1,PSPC1
,FARP2,GPR89B
,LARP4,CREBBP
,DTL,KAT2B
,KIF23,SLCO4A1
,POLR1A,FARP2
,POLR3B,LARP4
,SELT,DTL
,ZCCHC14,KIF23
,FBXO7,POLR1A
,KRT17,POLR3B
,EIF1AY,SELT
,KRT78,ZCCHC14
,DSC1,FBXO7
,SBSN,KRT17
,SPRR2G,EIF1AY
,CNGB1,KRT78
,ARID3A,DSC1
,LAMA2,SBSN
,PREPL,SPRR2G
,TMPRSS4,CNGB1
,KIR3DS1,ARID3A
,TNFAIP8L3,LAMA2
,ACSL6,PREPL
,SPAG17,TMPRSS4
,DNAH12,KIR3DS1
,CAPN1,TNFAIP8L3
,EPHX4,ACSL6
,MCF2L2,SPAG17
,NKX2-2,DNAH12
,WWC2,CAPN1
,ZNF316,EPHX4
,TRIM62,MCF2L2
,TCHH,NKX2-2
,EVI5,WWC2
,FBN3,ZNF316
,KCNQ3,TRIM62
,PPP2R3B,TCHH
,WDYHV1,EVI5
,GOLGA8F,FBN3
,GIPC2,KCNQ3
,ADARB1,PPP2R3B
,KLC1,WDYHV1
,CLTCL1,GOLGA8F
,ELF4,GIPC2
,DLX3,ADARB1
,TNC,KLC1
,PURB,CLTCL1
,GPS1,ELF4
,LARP1B,DLX3
,HP1BP3,TNC
,HNRNPA2B1,PURB
,ELAVL2,GPS1
,CMSS1,LARP1B
,SRSF4,HP1BP3
,BCLAF1,HNRNPA2B1
,S100A9,ELAVL2
,LAMB3,CMSS1
,CEMIP,SRSF4
,TPM2,BCLAF1
,HNRNPH1,S100A9
,SF1,LAMB3
,DDX5,CEMIP
,CNN2,TPM2
,LASP1,HNRNPH1
,PDPK1,SF1
,KPNA4,DDX5
,LIN28B,CNN2
,GPR112,LASP1
,APOBEC3F,PDPK1
,BTN2A3P,KPNA4
,KRT40,LIN28B
,KRT16,GPR112
,CAMK2D,APOBEC3F
,BPIFA2,BTN2A3P
,PAPL,KRT40
,KRT81,KRT16
,MAP1S,CAMK2D
,RNF31,BPIFA2
,TANGO6,PAPL
,ATXN10,KRT81
,PLCG1,MAP1S
,PIR,RNF31
,UPF2,TANGO6
,GMFB,ATXN10
,DCP2,PLCG1
,CDHR3,PIR
,EPS8L2,UPF2
,SH3RF3,GMFB
,KRT84,DCP2
,CCS,CDHR3
,EIF4A2,EPS8L2
,AIMP2,SH3RF3
,EIF4E,KRT84
,PYGB,CCS
,TPT1,EIF4A2
,AKR1C3,AIMP2
,RPS6KA3,EIF4E
,UBE2L3,PYGB
,UBXN1,TPT1
,ARHGAP5,AKR1C3
,SMG8,RPS6KA3
,KIF2C,UBE2L3
,UPF3B,UBXN1
,FARSB,ARHGAP5
,ABCF3,SMG8
,CDV3,KIF2C
,A1CF,UPF3B
,PPP1R3A,FARSB
,CFAP99,ABCF3
,IGKV3-11,CDV3
,LIMS1,A1CF
,INPP1,PPP1R3A
,PSMD5,CFAP99
,ALOX15B,IGKV3-11
,CAPG,LIMS1
,IGKV3D-20,INPP1
,TRANK1,PSMD5
,KIF1C,ALOX15B
,GC,CAPG
,CAST,IGKV3D-20
,HNMT,TRANK1
,TUBB3,KIF1C
,CTTN,GC
,SEC14L1,CAST
,TIA1,HNMT
,PROL1,TUBB3
,NME2P1,CTTN
,ADSL,SEC14L1
,ZNF326,TIA1
,ANXA8L1,PROL1
,HSPB11,NME2P1
,SMC2,ADSL
,SMARCC1,ZNF326
,OLA1,ANXA8L1
,PNMA3,HSPB11
,LSM5,SMC2
,PUF60,SMARCC1
,DDX56,OLA1
,API5,PNMA3
,C10orf2,LSM5
,PPIL4,PUF60
,ZGPAT,DDX56
,FBXW8,API5
,HLTF,C10orf2
,ZNF763,PPIL4
,SP2,ZGPAT
,RARS,FBXW8
,KRT6B,HLTF
,CSTA,ZNF763
,PTCD1,SP2
,TAF6L,RARS
,DDX52,KRT6B
,CCDC88C,CSTA
,POLR3C,PTCD1
,PRAM1,TAF6L
,NEIL3,DDX52
,NOP9,CCDC88C
,NET1,POLR3C
,KRT74,PRAM1
,NHSL1,NEIL3
,DCAF10,NOP9
,IQCJ,NET1
,CRY1,KRT74
,HDAC1,NHSL1
,GTF2I,DCAF10
,CNN1,IQCJ
,FLG,CRY1
,LUC7L3,HDAC1
,TP53INP2,GTF2I
,MZB1,CNN1
,PTK6,FLG
,PATZ1,LUC7L3
,ZNF862,TP53INP2
,ZNF484,MZB1
,NDUFB1,PTK6
,TECPR1,PATZ1
,PLEKHM2,ZNF862
,CCDC134,ZNF484
,NECAP1,NDUFB1
,SETD3,TECPR1
,ADRBK1,PLEKHM2
,RBM22,CCDC134
,B3GALTL,NECAP1
,SLIT2,SETD3
,GPC4,ADRBK1
,AGA,RBM22
,UTS2,B3GALTL
,CYP4F3,SLIT2
,RBM8A,GPC4
,LINC00083,AGA
,NAE1,UTS2
,HSPG2,CYP4F3
,GLYATL1,RBM8A
,HIST1H2AI,LINC00083
,UCHL3,NAE1
,FGG,HSPG2
,KRT73,GLYATL1
,IMP4,HIST1H2AI
,RRP1,UCHL3
,YTHDC1,FGG
,SUMO3,KRT73
,HOXA10,IMP4
,CIRBP,RRP1
,SRSF8,YTHDC1
,RPA2,SUMO3
,BACH1,HOXA10
,PZP,CIRBP
,PPARG,SRSF8
,PPARGC1A,RPA2
,IL1B,BACH1
,MASP2,PZP
,PYCARD,PPARG
,HIST2H2BE,PPARGC1A
,HIST1H2BL,IL1B
,HIST1H2AJ,MASP2
,BECN1,PYCARD
,SERPINB3,HIST2H2BE
,PIGR,HIST1H2BL
,MRPS34,HIST1H2AJ
,RPS6KA1,BECN1
,CNOT4,SERPINB3
,SART3,PIGR
,KIF2A,MRPS34
,HNRNPCL3,RPS6KA1
,GRB7,CNOT4
,FAM111B,SART3
,UBE2I,KIF2A
,C19orf66,HNRNPCL3
,HDAC6,GRB7
,CHEK2,FAM111B
,CMYA5,UBE2I
,ESRP1,C19orf66
,KIAA2026,HDAC6
,LGALS7B,CHEK2
,LRRC9,CMYA5
,MBNL3,ESRP1
,PABPC1L2A,KIAA2026
,PCBP4,LGALS7B
,RAB37,LRRC9
,ZNF277,MBNL3
,ARHGEF10L,PABPC1L2A
,CSTB,PCBP4
,ESRP2,RAB37
,RBFOX1,ZNF277
,RBM14-RBM4,ARHGEF10L
,RBM45,CSTB
,RBMX2,ESRP2
,CBS,RBFOX1
,GFPT1,RBM14-RBM4
,DIS3L2,RBM45
,DHX58,RBMX2
,POLR1C,CBS
,POLR2H,GFPT1
,COPS2,DIS3L2
,CMBL,DHX58
,SEPT11,POLR1C
,POLR3E,POLR2H
,LSM6,COPS2
,TOE1,CMBL
,PAPD4,SEPT11
,IFI16,POLR3E
,MTHFSD,LSM6
,LENG9,TOE1
,MTG1,PAPD4
,ISG20L2,IFI16
,THUMPD1,MTHFSD
,CYFIP1,LENG9
,MYO5B,MTG1
,DGCR8,ISG20L2
,RGS11,THUMPD1
,HIST1H4F,CYFIP1
,IGLV3-25,MYO5B
,GFAP,DGCR8
,TRIM41,RGS11
,CP,HIST1H4F
,ABHD8,IGLV3-25
,,GFAP
,,TRIM41
,,CP
,,ABHD8
