BioGRID ID Interactor A,BioGRID ID Interactor B,Official Symbol Interactor A,Official Symbol Interactor B,Experimental System
4383868,107587,ORF3a,AP2M1,Proximity Label-MS
4383868,107600,ORF3a,CLCN7,Proximity Label-MS
4383868,107619,ORF3a,CLPTM1,Proximity Label-MS
4383868,125712,ORF3a,LRIG3,Proximity Label-MS
4383868,107623,ORF3a,CLTC,Proximity Label-MS
4383868,125728,ORF3a,NEDD1,Proximity Label-MS
4383868,107647,ORF3a,ABCC2,Proximity Label-MS
4383868,126171,ORF3a,PIGU,Proximity Label-MS
4383868,107709,ORF3a,COPA,Proximity Label-MS
4383868,126285,ORF3a,DCBLD2,Proximity Label-MS
4383868,107747,ORF3a,COX15,Proximity Label-MS
4383868,107754,ORF3a,CPD,Proximity Label-MS
4383868,107765,ORF3a,CPT1A,Proximity Label-MS
4383868,126493,ORF3a,AGPAT6,Proximity Label-MS
4383868,107850,ORF3a,SLC25A10,Proximity Label-MS
4383868,127154,ORF3a,TMEM56,Proximity Label-MS
4383868,107905,ORF3a,CXADR,Proximity Label-MS
4383868,107908,ORF3a,CYB5A,Proximity Label-MS
4383868,107915,ORF3a,CYBA,Proximity Label-MS
4383868,127558,ORF3a,VKORC1L1,Proximity Label-MS
4383868,107967,ORF3a,CYP51A1,Proximity Label-MS
4383868,127757,ORF3a,TMTC3,Proximity Label-MS
4383868,107984,ORF3a,DARS,Proximity Label-MS
4383868,108009,ORF3a,DDB1,Proximity Label-MS
4383868,108010,ORF3a,DDB2,Proximity Label-MS
4383868,108017,ORF3a,DDOST,Proximity Label-MS
4383868,108063,ORF3a,DHCR7,Proximity Label-MS
4383868,108064,ORF3a,DHCR24,Proximity Label-MS
4383868,108119,ORF3a,DYNC1I2,Proximity Label-MS
4383868,106689,ORF3a,JAG1,Proximity Label-MS
4383868,108218,ORF3a,ECE1,Proximity Label-MS
4383868,108227,ORF3a,S1PR3,Proximity Label-MS
4383868,128218,ORF3a,ANO6,Proximity Label-MS
4383868,108285,ORF3a,EIF2S1,Proximity Label-MS
4383868,108287,ORF3a,EIF2S3,Proximity Label-MS
4383868,108288,ORF3a,EPHA2,Proximity Label-MS
4383868,108289,ORF3a,EIF4A1,Proximity Label-MS
4383868,128285,ORF3a,TMEM201,Proximity Label-MS
4383868,128394,ORF3a,STT3B,Proximity Label-MS
4383868,108354,ORF3a,STOM,Proximity Label-MS
4383868,108366,ORF3a,EPHX1,Proximity Label-MS
4383868,108376,ORF3a,ERBB2,Proximity Label-MS
4383868,108399,ORF3a,FBL,Proximity Label-MS
4383868,108477,ORF3a,ACSL3,Proximity Label-MS
4383868,108489,ORF3a,FAT1,Proximity Label-MS
4383868,128790,ORF3a,LRWD1,Proximity Label-MS
4383868,106728,ORF3a,ALDOA,Proximity Label-MS
4383868,116530,ORF3a,FNDC3A,Proximity Label-MS
4383868,116569,ORF3a,EPN2,Proximity Label-MS
4383868,116572,ORF3a,SACM1L,Proximity Label-MS
4383868,116586,ORF3a,ATF6,Proximity Label-MS
4383868,116604,ORF3a,PTGR1,Proximity Label-MS
4383868,106540,ORF3a,ABCB7,Proximity Label-MS
4383868,116653,ORF3a,RAB21,Proximity Label-MS
4383868,116681,ORF3a,PDXDC1,Proximity Label-MS
4383868,116758,ORF3a,ANKLE2,Proximity Label-MS
4383868,116769,ORF3a,CLCC1,Proximity Label-MS
4383868,116779,ORF3a,EFR3A,Proximity Label-MS
4383868,116799,ORF3a,UBXN4,Proximity Label-MS
4383868,116802,ORF3a,GANAB,Proximity Label-MS
4383868,106732,ORF3a,AKR1B1,Proximity Label-MS
4383868,116850,ORF3a,BOP1,Proximity Label-MS
4383868,116890,ORF3a,MGRN1,Proximity Label-MS
4383868,116920,ORF3a,DPY19L1,Proximity Label-MS
4383868,116925,ORF3a,VPS39,Proximity Label-MS
4383868,116926,ORF3a,DNAJC16,Proximity Label-MS
4383868,116935,ORF3a,SUN1,Proximity Label-MS
4383868,117032,ORF3a,TRAM1,Proximity Label-MS
4383868,117052,ORF3a,TMEM131,Proximity Label-MS
4383868,117063,ORF3a,SLC39A14,Proximity Label-MS
4383868,117068,ORF3a,RPL13A,Proximity Label-MS
4383868,117076,ORF3a,NNT,Proximity Label-MS
4383868,117132,ORF3a,ACOT9,Proximity Label-MS
4383868,117173,ORF3a,PLD3,Proximity Label-MS
4383868,117179,ORF3a,SLC7A11,Proximity Label-MS
4383868,117188,ORF3a,TMEM2,Proximity Label-MS
4383868,117237,ORF3a,TMEM245,Proximity Label-MS
4383868,117270,ORF3a,FKBP8,Proximity Label-MS
4383868,128972,ORF3a,LCLAT1,Proximity Label-MS
4383868,108811,ORF3a,FZD2,Proximity Label-MS
4383868,129179,ORF3a,WDR72,Proximity Label-MS
4383868,117416,ORF3a,C1orf43,Proximity Label-MS
4383868,117422,ORF3a,ZDHHC5,Proximity Label-MS
4383868,117479,ORF3a,GORASP2,Proximity Label-MS
4383868,117522,ORF3a,APPL1,Proximity Label-MS
4383868,117762,ORF3a,TBL2,Proximity Label-MS
4383868,106764,ORF3a,AMFR,Proximity Label-MS
4383868,117928,ORF3a,NBEA,Proximity Label-MS
4383868,117980,ORF3a,GHITM,Proximity Label-MS
4383868,118151,ORF3a,PRPF19,Proximity Label-MS
4383868,108996,ORF3a,GLG1,Proximity Label-MS
4383868,109063,ORF3a,GOLGA2,Proximity Label-MS
4383868,109065,ORF3a,GOLGA4,Proximity Label-MS
4383868,129991,ORF3a,RNF149,Proximity Label-MS
4383868,118803,ORF3a,FLVCR1,Proximity Label-MS
4383868,106788,ORF3a,SLC25A4,Proximity Label-MS
4383868,118946,ORF3a,CPSF1,Proximity Label-MS
4383868,118968,ORF3a,SEC61A1,Proximity Label-MS
4383868,118992,ORF3a,CERS2,Proximity Label-MS
4383868,119025,ORF3a,ERO1L,Proximity Label-MS
4383868,109282,ORF3a,HADHB,Proximity Label-MS
4383868,109350,ORF3a,HLA-A,Proximity Label-MS
4383868,109399,ORF3a,HMGCR,Proximity Label-MS
4383868,106820,ORF3a,APBB2,Proximity Label-MS
4383868,109512,ORF3a,PRMT1,Proximity Label-MS
4383868,130617,ORF3a,UBAC2,Proximity Label-MS
4383868,131484,ORF3a,SLC35B2,Proximity Label-MS
4383868,131497,ORF3a,AMIGO2,Proximity Label-MS
4383868,109703,ORF3a,IGF2R,Proximity Label-MS
4383868,109825,ORF3a,IMPA1,Proximity Label-MS
4383868,109898,ORF3a,EIF6,Proximity Label-MS
4383868,109899,ORF3a,ITGB5,Proximity Label-MS
4383868,109908,ORF3a,STT3A,Proximity Label-MS
4383868,109919,ORF3a,JAK1,Proximity Label-MS
4383868,131930,ORF3a,TMEM205,Proximity Label-MS
4383868,106870,ORF3a,ARF1,Proximity Label-MS
4383868,106873,ORF3a,ARF4,Proximity Label-MS
4383868,106876,ORF3a,ARF5,Proximity Label-MS
4383868,106889,ORF3a,ARHGDIA,Proximity Label-MS
4383868,110180,ORF3a,FADS1,Proximity Label-MS
4383868,106893,ORF3a,ARL1,Proximity Label-MS
4383868,110196,ORF3a,LNPEP,Proximity Label-MS
4383868,110218,ORF3a,LRP4,Proximity Label-MS
4383868,135642,ORF3a,CUEDC1,Proximity Label-MS
4383868,110219,ORF3a,LRP6,Proximity Label-MS
4383868,110220,ORF3a,LRP5,Proximity Label-MS
4383868,110342,ORF3a,MCM5,Proximity Label-MS
4383868,110382,ORF3a,RAB8A,Proximity Label-MS
4383868,110391,ORF3a,MET,Proximity Label-MS
4383868,110398,ORF3a,MFGE8,Proximity Label-MS
4383868,110413,ORF3a,MGST1,Proximity Label-MS
4383868,110503,ORF3a,ABCC1,Proximity Label-MS
4383868,110619,ORF3a,CYTB,Proximity Label-MS
4383868,110758,ORF3a,NARS,Proximity Label-MS
4383868,110830,ORF3a,NEO1,Proximity Label-MS
4383868,106966,ORF3a,ATP1A1,Proximity Label-MS
4383868,110921,ORF3a,PNP,Proximity Label-MS
4383868,110925,ORF3a,NPC1,Proximity Label-MS
4383868,106978,ORF3a,ATP2A2,Proximity Label-MS
4383868,106980,ORF3a,ATP2B1,Proximity Label-MS
4383868,110973,ORF3a,ROR1,Proximity Label-MS
4383868,138922,ORF3a,CISD2,Proximity Label-MS
4383868,106983,ORF3a,ATP2B4,Proximity Label-MS
4383868,111048,ORF3a,OSBP,Proximity Label-MS
4383868,111073,ORF3a,P4HB,Proximity Label-MS
4383868,111082,ORF3a,FURIN,Proximity Label-MS
4383868,111085,ORF3a,PAFAH1B1,Proximity Label-MS
4383868,111134,ORF3a,PCDH9,Proximity Label-MS
4383868,119256,ORF3a,RPS27L,Proximity Label-MS
4383868,119266,ORF3a,TMX2,Proximity Label-MS
4383868,119349,ORF3a,HSD17B11,Proximity Label-MS
4383868,119425,ORF3a,BET1L,Proximity Label-MS
4383868,119503,ORF3a,TEX264,Proximity Label-MS
4383868,119516,ORF3a,EIF3L,Proximity Label-MS
4383868,119550,ORF3a,GULP1,Proximity Label-MS
4383868,119555,ORF3a,UBE2J1,Proximity Label-MS
4383868,119570,ORF3a,PTPLAD1,Proximity Label-MS
4383868,119605,ORF3a,RAB14,Proximity Label-MS
4383868,119649,ORF3a,DHRS7,Proximity Label-MS
4383868,119707,ORF3a,WWOX,Proximity Label-MS
4383868,119719,ORF3a,RAB8B,Proximity Label-MS
4383868,111235,ORF3a,PFKP,Proximity Label-MS
4383868,111353,ORF3a,PLD1,Proximity Label-MS
4383868,111370,ORF3a,PLRG1,Proximity Label-MS
4383868,107020,ORF3a,ATP7A,Proximity Label-MS
4383868,119943,ORF3a,SLC38A2,Proximity Label-MS
4383868,119980,ORF3a,NLE1,Proximity Label-MS
4383868,111443,ORF3a,POR,Proximity Label-MS
4383868,119999,ORF3a,ZDHHC13,Proximity Label-MS
4383868,120044,ORF3a,EPB41L4B,Proximity Label-MS
4383868,120093,ORF3a,TMEM106B,Proximity Label-MS
4383868,120150,ORF3a,DNAJB12,Proximity Label-MS
4383868,111475,ORF3a,PPIB,Proximity Label-MS
4383868,120213,ORF3a,TOR4A,Proximity Label-MS
4383868,120216,ORF3a,TMEM214,Proximity Label-MS
4383868,120247,ORF3a,CDKAL1,Proximity Label-MS
4383868,120254,ORF3a,SEMA4C,Proximity Label-MS
4383868,120314,ORF3a,SLC35F6,Proximity Label-MS
4383868,107031,ORF3a,AUP1,Proximity Label-MS
4383868,120462,ORF3a,TMEM33,Proximity Label-MS
4383868,120503,ORF3a,ARL8B,Proximity Label-MS
4383868,120521,ORF3a,NAT10,Proximity Label-MS
4383868,120528,ORF3a,SMU1,Proximity Label-MS
4383868,120533,ORF3a,STEAP3,Proximity Label-MS
4383868,120534,ORF3a,KIRREL,Proximity Label-MS
4383868,120544,ORF3a,TYW1,Proximity Label-MS
4383868,120607,ORF3a,AGPAT5,Proximity Label-MS
4383868,120644,ORF3a,LGR4,Proximity Label-MS
4383868,120735,ORF3a,BMP2K,Proximity Label-MS
4383868,120752,ORF3a,FERMT1,Proximity Label-MS
4383868,120766,ORF3a,SMPD4,Proximity Label-MS
4383868,120831,ORF3a,NDC1,Proximity Label-MS
4383868,120883,ORF3a,C1orf106,Proximity Label-MS
4383868,120888,ORF3a,PRR11,Proximity Label-MS
4383868,111570,ORF3a,PRKCI,Proximity Label-MS
4383868,120960,ORF3a,TMEM165,Proximity Label-MS
4383868,120980,ORF3a,GPRC5C,Proximity Label-MS
4383868,107036,ORF3a,AXL,Proximity Label-MS
4383868,121001,ORF3a,RCC2,Proximity Label-MS
4383868,121063,ORF3a,PCDHB13,Proximity Label-MS
4383868,121211,ORF3a,EMC7,Proximity Label-MS
4383868,121217,ORF3a,UGGT1,Proximity Label-MS
4383868,121219,ORF3a,TM9SF3,Proximity Label-MS
4383868,111666,ORF3a,PSMB5,Proximity Label-MS
4383868,121318,ORF3a,CCDC47,Proximity Label-MS
4383868,111673,ORF3a,PSMC1,Proximity Label-MS
4383868,121356,ORF3a,AGTRAP,Proximity Label-MS
4383868,111682,ORF3a,PSMD3,Proximity Label-MS
4383868,121384,ORF3a,GOPC,Proximity Label-MS
4383868,121393,ORF3a,ATP13A1,Proximity Label-MS
4383868,121430,ORF3a,SLC39A10,Proximity Label-MS
4383868,121449,ORF3a,GPR126,Proximity Label-MS
4383868,121517,ORF3a,WDR18,Proximity Label-MS
4383868,121535,ORF3a,TBC1D24,Proximity Label-MS
4383868,121608,ORF3a,NCEH1,Proximity Label-MS
4383868,121632,ORF3a,FAM135A,Proximity Label-MS
4383868,121656,ORF3a,DIP2B,Proximity Label-MS
4383868,121666,ORF3a,STIM2,Proximity Label-MS
4383868,121690,ORF3a,GRAMD1A,Proximity Label-MS
4383868,111736,ORF3a,PTPN1,Proximity Label-MS
4383868,121790,ORF3a,CYP4F11,Proximity Label-MS
4383868,111759,ORF3a,PTPRJ,Proximity Label-MS
4383868,111780,ORF3a,PWP2,Proximity Label-MS
4383868,111799,ORF3a,RAB1A,Proximity Label-MS
4383868,111800,ORF3a,RAB2A,Proximity Label-MS
4383868,111810,ORF3a,RAB13,Proximity Label-MS
4383868,111816,ORF3a,RAB5C,Proximity Label-MS
4383868,111817,ORF3a,RAC1,Proximity Label-MS
4383868,111897,ORF3a,RECQL,Proximity Label-MS
4383868,112029,ORF3a,RP2,Proximity Label-MS
4383868,112042,ORF3a,RPL3,Proximity Label-MS
4383868,112049,ORF3a,RPL7,Proximity Label-MS
4383868,112050,ORF3a,RPL7A,Proximity Label-MS
4383868,112052,ORF3a,RPL8,Proximity Label-MS
4383868,112053,ORF3a,RPL9,Proximity Label-MS
4383868,112056,ORF3a,RPL12,Proximity Label-MS
4383868,112057,ORF3a,RPL13,Proximity Label-MS
4383868,112061,ORF3a,RPL18,Proximity Label-MS
4383868,112062,ORF3a,RPL18A,Proximity Label-MS
4383868,112064,ORF3a,RPL21,Proximity Label-MS
4383868,112066,ORF3a,RPL22,Proximity Label-MS
4383868,112073,ORF3a,RPL26,Proximity Label-MS
4383868,112074,ORF3a,RPL27,Proximity Label-MS
4383868,112075,ORF3a,RPL30,Proximity Label-MS
4383868,112076,ORF3a,RPL27A,Proximity Label-MS
4383868,112084,ORF3a,RPL35A,Proximity Label-MS
4383868,112085,ORF3a,RPL36AL,Proximity Label-MS
4383868,112087,ORF3a,RPL37A,Proximity Label-MS
4383868,112099,ORF3a,RPN1,Proximity Label-MS
4383868,112100,ORF3a,RPN2,Proximity Label-MS
4383868,112102,ORF3a,RPS3,Proximity Label-MS
4383868,112105,ORF3a,RPS4X,Proximity Label-MS
4383868,112108,ORF3a,RPS6,Proximity Label-MS
4383868,112115,ORF3a,RPS7,Proximity Label-MS
4383868,112117,ORF3a,RPS9,Proximity Label-MS
4383868,112119,ORF3a,RPS11,Proximity Label-MS
4383868,112131,ORF3a,RPS16,Proximity Label-MS
4383868,112143,ORF3a,RPS24,Proximity Label-MS
4383868,112145,ORF3a,RPS26,Proximity Label-MS
4383868,112146,ORF3a,RPS27,Proximity Label-MS
4383868,112147,ORF3a,RPS27A,Proximity Label-MS
4383868,112225,ORF3a,SCD,Proximity Label-MS
4383868,112296,ORF3a,SEC13,Proximity Label-MS
4383868,122105,ORF3a,DNAJC1,Proximity Label-MS
4383868,122220,ORF3a,VPS16,Proximity Label-MS
4383868,112358,ORF3a,SHB,Proximity Label-MS
4383868,122262,ORF3a,ACBD3,Proximity Label-MS
4383868,122269,ORF3a,C16orf58,Proximity Label-MS
4383868,112401,ORF3a,SLC1A5,Proximity Label-MS
4383868,112404,ORF3a,SLC2A1,Proximity Label-MS
4383868,112413,ORF3a,SLC4A2,Proximity Label-MS
4383868,575849,ORF3a,GPR89A,Proximity Label-MS
4383868,112447,ORF3a,SLC12A2,Proximity Label-MS
4383868,112449,ORF3a,SLC12A4,Proximity Label-MS
4383868,112454,ORF3a,SLC16A1,Proximity Label-MS
4383868,107127,ORF3a,BMPR2,Proximity Label-MS
4383868,112508,ORF3a,FSCN1,Proximity Label-MS
4383868,112516,ORF3a,SNRPD1,Proximity Label-MS
4383868,112529,ORF3a,SOAT1,Proximity Label-MS
4383868,112535,ORF3a,SORD,Proximity Label-MS
4383868,112592,ORF3a,SRC,Proximity Label-MS
4383868,112598,ORF3a,SREBF1,Proximity Label-MS
4383868,112599,ORF3a,SREBF2,Proximity Label-MS
4383868,112626,ORF3a,SSR4,Proximity Label-MS
4383868,112680,ORF3a,STX5,Proximity Label-MS
4383868,112683,ORF3a,STXBP3,Proximity Label-MS
4383868,112731,ORF3a,ADAM17,Proximity Label-MS
4383868,112810,ORF3a,TCP1,Proximity Label-MS
4383868,112895,ORF3a,TFRC,Proximity Label-MS
4383868,113036,ORF3a,HSP90B1,Proximity Label-MS
4383868,113202,ORF3a,SLC35A2,Proximity Label-MS
4383868,113260,ORF3a,VDAC2,Proximity Label-MS
4383868,113262,ORF3a,VDAC3,Proximity Label-MS
4383868,113283,ORF3a,VRK2,Proximity Label-MS
4383868,107203,ORF3a,MYRF,Proximity Label-MS
4383868,107225,ORF3a,CA12,Proximity Label-MS
4383868,113579,ORF3a,LRP8,Proximity Label-MS
4383868,113624,ORF3a,RAB7A,Proximity Label-MS
4383868,107243,ORF3a,CAD,Proximity Label-MS
4383868,122559,ORF3a,DERL1,Proximity Label-MS
4383868,122562,ORF3a,MBOAT7,Proximity Label-MS
4383868,113649,ORF3a,DDX39B,Proximity Label-MS
4383868,122779,ORF3a,RHBDF2,Proximity Label-MS
4383868,123007,ORF3a,KIAA0319L,Proximity Label-MS
4383868,113702,ORF3a,UBXN8,Proximity Label-MS
4383868,123023,ORF3a,NOL10,Proximity Label-MS
4383868,123025,ORF3a,ERMP1,Proximity Label-MS
4383868,113759,ORF3a,AAAS,Proximity Label-MS
4383868,123505,ORF3a,HM13,Proximity Label-MS
4383868,123509,ORF3a,SLC38A1,Proximity Label-MS
4383868,123510,ORF3a,TMX1,Proximity Label-MS
4383868,123557,ORF3a,UNC93B1,Proximity Label-MS
4383868,123589,ORF3a,NETO2,Proximity Label-MS
4383868,123619,ORF3a,RAB1B,Proximity Label-MS
4383868,123784,ORF3a,RAB34,Proximity Label-MS
4383868,123856,ORF3a,MAGT1,Proximity Label-MS
4383868,123901,ORF3a,WDR75,Proximity Label-MS
4383868,123907,ORF3a,UTP15,Proximity Label-MS
4383868,114033,ORF3a,ATRN,Proximity Label-MS
4383868,124189,ORF3a,USP32,Proximity Label-MS
4383868,124223,ORF3a,PIGO,Proximity Label-MS
4383868,124267,ORF3a,AGPAT9,Proximity Label-MS
4383868,124353,ORF3a,CIRH1A,Proximity Label-MS
4383868,124362,ORF3a,TMEM209,Proximity Label-MS
4383868,114074,ORF3a,PKP4,Proximity Label-MS
4383868,114096,ORF3a,DGKE,Proximity Label-MS
4383868,124551,ORF3a,GFM1,Proximity Label-MS
4383868,114202,ORF3a,NUMB,Proximity Label-MS
4383868,114206,ORF3a,DYNLL1,Proximity Label-MS
4383868,114211,ORF3a,EIF3B,Proximity Label-MS
4383868,114255,ORF3a,ABCC3,Proximity Label-MS
4383868,107318,ORF3a,SERPINH1,Proximity Label-MS
4383868,114263,ORF3a,SNX3,Proximity Label-MS
4383868,114290,ORF3a,ADAM9,Proximity Label-MS
4383868,114299,ORF3a,RAB11A,Proximity Label-MS
4383868,114398,ORF3a,SGPL1,Proximity Label-MS
4383868,114403,ORF3a,SLC5A6,Proximity Label-MS
4383868,124597,ORF3a,SERPINB12,Proximity Label-MS
4383868,114469,ORF3a,STBD1,Proximity Label-MS
4383868,114486,ORF3a,MPZL1,Proximity Label-MS
4383868,114514,ORF3a,GPRC5A,Proximity Label-MS
4383868,124733,ORF3a,MCU,Proximity Label-MS
4383868,124789,ORF3a,DPP9,Proximity Label-MS
4383868,114571,ORF3a,SLC16A3,Proximity Label-MS
4383868,114593,ORF3a,HGS,Proximity Label-MS
4383868,114594,ORF3a,NEMF,Proximity Label-MS
4383868,124862,ORF3a,MYADM,Proximity Label-MS
4383868,114617,ORF3a,OSMR,Proximity Label-MS
4383868,114621,ORF3a,BUB3,Proximity Label-MS
4383868,124888,ORF3a,RFT1,Proximity Label-MS
4383868,114625,ORF3a,DDX21,Proximity Label-MS
4383868,114647,ORF3a,XPR1,Proximity Label-MS
4383868,114650,ORF3a,VAPB,Proximity Label-MS
4383868,114651,ORF3a,VAPA,Proximity Label-MS
4383868,114675,ORF3a,DHRS3,Proximity Label-MS
4383868,114677,ORF3a,NUMBL,Proximity Label-MS
4383868,114693,ORF3a,COPB2,Proximity Label-MS
4383868,114732,ORF3a,TRIP11,Proximity Label-MS
4383868,114752,ORF3a,RPL23,Proximity Label-MS
4383868,114755,ORF3a,TXNL1,Proximity Label-MS
4383868,114773,ORF3a,ZFYVE9,Proximity Label-MS
4383868,114776,ORF3a,TM9SF2,Proximity Label-MS
4383868,114810,ORF3a,FADS2,Proximity Label-MS
4383868,114821,ORF3a,ABCG2,Proximity Label-MS
4383868,114876,ORF3a,SLC4A7,Proximity Label-MS
4383868,107387,ORF3a,SCARB1,Proximity Label-MS
4383868,114899,ORF3a,SCAMP1,Proximity Label-MS
4383868,114900,ORF3a,TECR,Proximity Label-MS
4383868,114902,ORF3a,MPDU1,Proximity Label-MS
4383868,114903,ORF3a,GOSR1,Proximity Label-MS
4383868,114913,ORF3a,TP53I11,Proximity Label-MS
4383868,114926,ORF3a,SEC22B,Proximity Label-MS
4383868,114930,ORF3a,VPS26A,Proximity Label-MS
4383868,107398,ORF3a,CD44,Proximity Label-MS
4383868,114991,ORF3a,SEC24C,Proximity Label-MS
4383868,115003,ORF3a,MICAL2,Proximity Label-MS
4383868,115060,ORF3a,HERPUD1,Proximity Label-MS
4383868,115121,ORF3a,TM9SF4,Proximity Label-MS
4383868,115128,ORF3a,SNX17,Proximity Label-MS
4383868,115133,ORF3a,SPCS2,Proximity Label-MS
4383868,107423,ORF3a,LRBA,Proximity Label-MS
4383868,115231,ORF3a,MRC2,Proximity Label-MS
4383868,115273,ORF3a,WDR1,Proximity Label-MS
4383868,107433,ORF3a,CDC42,Proximity Label-MS
4383868,115311,ORF3a,SLC12A6,Proximity Label-MS
4383869,111004,ORF3b,OCLN,Proximity Label-MS
4383869,115378,ORF3b,SCAMP3,Proximity Label-MS
4383869,115412,ORF3b,CTDSP2,Proximity Label-MS
4383869,115522,ORF3b,STX6,Proximity Label-MS
4383869,115560,ORF3b,ZMPSTE24,Proximity Label-MS
4383869,115571,ORF3b,BET1,Proximity Label-MS
4383869,115732,ORF3b,TIMM44,Proximity Label-MS
4383869,115753,ORF3b,VTI1B,Proximity Label-MS
4383869,115815,ORF3b,ARFGEF2,Proximity Label-MS
4383869,115816,ORF3b,ARFGEF1,Proximity Label-MS
4383869,115864,ORF3b,TGOLN2,Proximity Label-MS
4383869,115895,ORF3b,YKT6,Proximity Label-MS
4383869,115896,ORF3b,SPINT2,Proximity Label-MS
4383869,107494,ORF3b,CES1,Proximity Label-MS
4383869,115947,ORF3b,SLC12A7,Proximity Label-MS
4383869,116056,ORF3b,CLPX,Proximity Label-MS
4383869,116331,ORF3b,ERLIN2,Proximity Label-MS
4383869,116443,ORF3b,VPS45,Proximity Label-MS
4383869,116464,ORF3b,EXOC3,Proximity Label-MS
4383869,125386,ORF3b,OSBPL11,Proximity Label-MS
4383869,107587,ORF3b,AP2M1,Proximity Label-MS
4383869,107619,ORF3b,CLPTM1,Proximity Label-MS
4383869,125712,ORF3b,LRIG3,Proximity Label-MS
4383869,107623,ORF3b,CLTC,Proximity Label-MS
4383869,126171,ORF3b,PIGU,Proximity Label-MS
4383869,126285,ORF3b,DCBLD2,Proximity Label-MS
4383869,107722,ORF3b,COX5B,Proximity Label-MS
4383869,107754,ORF3b,CPD,Proximity Label-MS
4383869,126931,ORF3b,LYSMD4,Proximity Label-MS
4383869,127025,ORF3b,RUNDC1,Proximity Label-MS
4383869,107905,ORF3b,CXADR,Proximity Label-MS
4383869,127604,ORF3b,ANKRD46,Proximity Label-MS
4383869,127612,ORF3b,VPS13B,Proximity Label-MS
4383869,127622,ORF3b,FAM91A1,Proximity Label-MS
4383869,107967,ORF3b,CYP51A1,Proximity Label-MS
4383869,127757,ORF3b,TMTC3,Proximity Label-MS
4383869,127761,ORF3b,DENND5B,Proximity Label-MS
4383869,107982,ORF3b,DAPK1,Proximity Label-MS
4383869,107984,ORF3b,DARS,Proximity Label-MS
4383869,107997,ORF3b,DBT,Proximity Label-MS
4383869,106671,ORF3b,AP1B1,Proximity Label-MS
4383869,108009,ORF3b,DDB1,Proximity Label-MS
4383869,108012,ORF3b,AKR1C1,Proximity Label-MS
4383869,108023,ORF3b,DMXL1,Proximity Label-MS
4383869,108063,ORF3b,DHCR7,Proximity Label-MS
4383869,106689,ORF3b,JAG1,Proximity Label-MS
4383869,108169,ORF3b,SLC26A2,Proximity Label-MS
4383869,108218,ORF3b,ECE1,Proximity Label-MS
4383869,108227,ORF3b,S1PR3,Proximity Label-MS
4383869,108285,ORF3b,EIF2S1,Proximity Label-MS
4383869,108288,ORF3b,EPHA2,Proximity Label-MS
4383869,128336,ORF3b,PIKFYVE,Proximity Label-MS
4383869,128394,ORF3b,STT3B,Proximity Label-MS
4383869,128398,ORF3b,DENND6A,Proximity Label-MS
4383869,128461,ORF3b,FAM219A,Proximity Label-MS
4383869,108354,ORF3b,STOM,Proximity Label-MS
4383869,108409,ORF3b,ETFA,Proximity Label-MS
4383869,108489,ORF3b,FAT1,Proximity Label-MS
4383869,106728,ORF3b,ALDOA,Proximity Label-MS
4383869,116477,ORF3b,COG2,Proximity Label-MS
4383869,116569,ORF3b,EPN2,Proximity Label-MS
4383869,116680,ORF3b,MON2,Proximity Label-MS
4383869,116681,ORF3b,PDXDC1,Proximity Label-MS
4383869,116775,ORF3b,GGA3,Proximity Label-MS
4383869,116802,ORF3b,GANAB,Proximity Label-MS
4383869,116807,ORF3b,PSME4,Proximity Label-MS
4383869,108608,ORF3b,FLOT2,Proximity Label-MS
4383869,116838,ORF3b,EXOC6B,Proximity Label-MS
4383869,116895,ORF3b,KIF13B,Proximity Label-MS
4383869,116922,ORF3b,WDR7,Proximity Label-MS
4383869,116938,ORF3b,ANGEL1,Proximity Label-MS
4383869,117063,ORF3b,SLC39A14,Proximity Label-MS
4383869,117115,ORF3b,CDC42EP4,Proximity Label-MS
4383869,117132,ORF3b,ACOT9,Proximity Label-MS
4383869,117174,ORF3b,ARFIP2,Proximity Label-MS
4383869,117179,ORF3b,SLC7A11,Proximity Label-MS
4383869,117188,ORF3b,TMEM2,Proximity Label-MS
4383869,117308,ORF3b,TBC1D22A,Proximity Label-MS
4383869,117370,ORF3b,YIPF3,Proximity Label-MS
4383869,117405,ORF3b,RNF19A,Proximity Label-MS
4383869,129227,ORF3b,SGMS1,Proximity Label-MS
4383869,117441,ORF3b,PVRL3,Proximity Label-MS
4383869,117453,ORF3b,TMEM87A,Proximity Label-MS
4383869,117479,ORF3b,GORASP2,Proximity Label-MS
4383869,117491,ORF3b,LRP10,Proximity Label-MS
4383869,117522,ORF3b,APPL1,Proximity Label-MS
4383869,117668,ORF3b,ARFGAP3,Proximity Label-MS
4383869,117715,ORF3b,MYOF,Proximity Label-MS
4383869,117928,ORF3b,NBEA,Proximity Label-MS
4383869,108964,ORF3b,GJA1,Proximity Label-MS
4383869,118096,ORF3b,ERLEC1,Proximity Label-MS
4383869,118154,ORF3b,RABGEF1,Proximity Label-MS
4383869,108996,ORF3b,GLG1,Proximity Label-MS
4383869,109062,ORF3b,GOLGA1,Proximity Label-MS
4383869,109065,ORF3b,GOLGA4,Proximity Label-MS
4383869,129627,ORF3b,FAM177A1,Proximity Label-MS
4383869,129991,ORF3b,RNF149,Proximity Label-MS
4383869,119025,ORF3b,ERO1L,Proximity Label-MS
4383869,109280,ORF3b,HADHA,Proximity Label-MS
