BioGRID ID Interactor A,BioGRID ID Interactor B,Official Symbol Interactor A,Official Symbol Interactor B,Experimental System
4383846,118793,M,BZW2,Affinity Capture-MS
4383847,114584,N,RRP9,Affinity Capture-MS
4383847,117939,N,PABPC1,Affinity Capture-MS
4383847,107842,N,CSNK2A2,Affinity Capture-MS
4383847,107843,N,CSNK2B,Affinity Capture-MS
4383847,115448,N,G3BP1,Affinity Capture-MS
4383847,114296,N,PABPC4,Affinity Capture-MS
4383847,116947,N,LARP1,Affinity Capture-MS
4383847,117437,N,FAM98A,Affinity Capture-MS
4383847,122864,N,SNIP1,Affinity Capture-MS
4383847,111908,N,UPF1,Affinity Capture-MS
4383847,110484,N,MOV10,Affinity Capture-MS
4383847,115237,N,G3BP2,Affinity Capture-MS
4383847,114625,N,DDX21,Affinity Capture-MS
4383847,120437,N,RBM28,Affinity Capture-MS
4383847,117388,N,RPL36,Affinity Capture-MS
4383848,119312,S,GOLGA7,Affinity Capture-MS
4383848,117422,S,ZDHHC5,Affinity Capture-MS
4383850,111418,nsp1,POLA1,Affinity Capture-MS
4383850,111547,nsp1,PRIM1,Affinity Capture-MS
4383850,111548,nsp1,PRIM2,Affinity Capture-MS
4383850,117176,nsp1,POLA2,Affinity Capture-MS
4383850,122826,nsp1,COLGALT1,Affinity Capture-MS
4383850,111335,nsp1,PKP2,Affinity Capture-MS
4383859,106670,nsp10,AP2A2,Affinity Capture-MS
4383859,108939,nsp10,GFER,Affinity Capture-MS
4383859,121458,nsp10,ERGIC1,Affinity Capture-MS
4383859,107587,nsp10,AP2M1,Affinity Capture-MS
4383859,123210,nsp10,GRPEL1,Affinity Capture-MS
4383866,112765,nsp11,TBCA,Affinity Capture-MS
4383860,120502,nsp12,SBNO1,Affinity Capture-MS
4383860,115583,nsp12,BCKDK,Affinity Capture-MS
4383860,115561,nsp12,AKAP8,Affinity Capture-MS
4383860,116709,nsp12,MYCBP2,Affinity Capture-MS
4383860,115820,nsp12,SLU7,Affinity Capture-MS
4383860,114274,nsp12,RIPK1,Affinity Capture-MS
4383860,115227,nsp12,UBAP2L,Affinity Capture-MS
4383860,128571,nsp12,TYSND1,Affinity Capture-MS
4383860,119405,nsp12,PDZD11,Affinity Capture-MS
4383860,124226,nsp12,PRRC2B,Affinity Capture-MS
4383860,120938,nsp12,UBAP2,Affinity Capture-MS
4383860,117299,nsp12,ZNF318,Affinity Capture-MS
4383860,122294,nsp12,CRTC3,Affinity Capture-MS
4383860,127739,nsp12,USP54,Affinity Capture-MS
