Protein Virus,Protein Người,Protein Chung
nsp15,CWC27,CWC27
nsp9,RIPK1,RIPK1
,UBAP2,UBAP2
,USP54,USP54
,NUTF2,nsp15
,ARF6,NUTF2
,RNF41,ARF6
,AATF,RNF41
,GTF2F2,AATF
,FBN1,nsp9
,FBN2,GTF2F2
,NUP214,FBN1
,NUP62,FBN2
,DCAF7,NUP214
,MIB1,NUP62
,SPG20,DCAF7
,NEK9,MIB1
,MAT2B,SPG20
,FBLN5,NEK9
,MDN1,MAT2B
,DPH5,FBLN5
,GLTSCR2,MDN1
,ALDH5A1,DPH5
,NFE2L2,GLTSCR2
,RBFOX2,ALDH5A1
,UBE3C,NFE2L2
,POLD3,RBFOX2
,CALU,UBE3C
,GBF1,POLD3
,ZNF148,CALU
,MOB4,GBF1
,SPIRE1,ZNF148
,CEP170B,MOB4
,DOCK6,SPIRE1
,BMPR1B,CEP170B
,ZW10,DOCK6
,STAT6,BMPR1B
,TAX1BP1,ZW10
,ANXA6,STAT6
,LRIG3,TAX1BP1
,EIF2A,ANXA6
,TMEM156,LRIG3
,AKR1A1,EIF2A
,ECE1,TMEM156
,USP8,AKR1A1
,CBR1,ECE1
,SLC30A1,USP8
,PVRL2,CBR1
,RIF1,SLC30A1
,INTS1,PVRL2
,TMED10,RIF1
,LEMD3,INTS1
,STX5,TMED10
,IGFBP3,LEMD3
,CANX,STX5
,BAG2,IGFBP3
,DBT,CANX
,DNAJB1,BAG2
,KTN1,DBT
,LMNB1,DNAJB1
,TEX264,KTN1
,GOPC,LMNB1
,RPS24,TEX264
,FLOT1,GOPC
,TBL3,RPS24
,USP39,FLOT1
,PNPLA6,TBL3
,DSTN,USP39
,CPNE8,PNPLA6
,AP1B1,DSTN
,FBL,CPNE8
,FHL1,AP1B1
,POGZ,FBL
,RSL1D1,FHL1
,IREB2,POGZ
,KIRREL,RSL1D1
,KIF21A,IREB2
,WDR45B,KIRREL
,SMAP1,KIF21A
,RPL23A,WDR45B
,RPS26,SMAP1
,SNX3,RPL23A
,SOCS6,RPS26
,LSM14B,SNX3
,OTUD4,SOCS6
,ZFP36L2,LSM14B
,USP10,OTUD4
,EIF5B,ZFP36L2
,RPS20,USP10
,TRAF3IP2,EIF5B
,CAPN7,RPS20
,CACYBP,TRAF3IP2
,HPGD,CAPN7
,PSMB4,CACYBP
,IBTK,HPGD
,NUPL2,PSMB4
,YIPF6,IBTK
,P4HB,NUPL2
,SSR4,YIPF6
,TMF1,P4HB
,GJC1,SSR4
,WDR41,TMF1
,PRR14L,GJC1
,MGA,WDR41
,RBBP7,PRR14L
,MAGED1,MGA
,TOB1,RBBP7
,GMEB1,MAGED1
,GMEB2,TOB1
,NFIL3,GMEB1
,NFRKB,GMEB2
,SPA17,NFIL3
,WDR55,NFRKB
,CHD8,SPA17
,KDM5D,WDR55
,SUPT3H,CHD8
,ALYREF,KDM5D
,UTP14A,SUPT3H
,BAZ2A,ALYREF
,CDCA5,UTP14A
,SPTY2D1,BAZ2A
,PHF3,CDCA5
,GTF3C1,SPTY2D1
,GTF3C2,PHF3
,KNOP1,GTF3C1
,NVL,GTF3C2
,DDX41,KNOP1
,MCM10,NVL
,WIZ,DDX41
,BLM,MCM10
,ZNF106,WIZ
,TCEB3,BLM
,SMARCA5,ZNF106
,NOLC1,TCEB3
,PPIG,SMARCA5
,HGS,NOLC1
,NUMBL,PPIG
,MON2,HGS
,GGA3,NUMBL
,RABGEF1,MON2
,CLINT1,GGA3
,ARCN1,RABGEF1
,SMAP2,CLINT1
,SCN9A,ARCN1
,OXR1,SMAP2
,B4GALT1,SCN9A
,EIF2B5,OXR1
,ADD1,B4GALT1
,CDC42EP1,EIF2B5
,EPB41L5,ADD1
,FAM126A,CDC42EP1
,PARD3,EPB41L5
,SNAP23,FAM126A
,TTC1,PARD3
,UFD1L,SNAP23
,VPS13C,TTC1
,FBXO5,UFD1L
,MICALL1,VPS13C
,STRAP,FBXO5
,ADK,MICALL1
,CSTF2T,STRAP
,FUK,ADK
,HSP90AB1,CSTF2T
,IQCB1,FUK
,PFDN4,HSP90AB1
,PFDN6,IQCB1
,TAB2,PFDN4
,TUFT1,PFDN6
,VBP1,TAB2
,NOL7,TUFT1
,NUSAP1,VBP1
,OARD1,NOL7
,RRM2,NUSAP1
,TMA16,OARD1
,ZNF691,RRM2
,PDLIM7,TMA16
,ARHGEF16,ZNF691
,BCAR1,PDLIM7
,BCAR3,ARHGEF16
,CAMSAP2,BCAR1
,CAT,BCAR3
,CEP55,CAMSAP2
,CKS2,CAT
,DCXR,CEP55
,DLGAP5,CKS2
,DNPEP,DCXR
,DOCK4,DLGAP5
,EIF2B2,DNPEP
,FAM117B,DOCK4
,FBXO42,EIF2B2
,GGA2,FAM117B
,HTRA2,FBXO42
,KDM3A,GGA2
,LENG8,HTRA2
,LIMCH1,KDM3A
,PALLD,LENG8
,PPP2R5D,LIMCH1
,PRKAA1,PALLD
,PSME1,PPP2R5D
,ROCK2,PRKAA1
,SARS,PSME1
,SMG5,ROCK2
,SMG6,SARS
,SMG9,SMG5
,STAM,SMG6
,STRBP,SMG9
,TBPL1,STAM
,TRIM9,STRBP
,XIAP,TBPL1
,ANKRD28,TRIM9
,CLASP2,XIAP
,SPATA5L1,ANKRD28
,ZNF24,CLASP2
,SKA3,SPATA5L1
,CENPV,ZNF24
,CHTOP,SKA3
,RPL39P5,CENPV
,FN3KRP,CHTOP
,PPP1R3F,RPL39P5
,C12orf43,FN3KRP
,MKL1,PPP1R3F
,MYBL2,C12orf43
,QSER1,MKL1
,STRN4,MYBL2
,UNG,QSER1
,PSMC3IP,STRN4
,CC2D1B,UNG
,CIZ1,PSMC3IP
,CSTF1,CC2D1B
,DCLK1,CIZ1
,DNAAF2,CSTF1
,GTF2F1,DCLK1
,NDUFS5,DNAAF2
,SATB2,GTF2F1
,UBE3D,NDUFS5
,ZZZ3,SATB2
,MAPK13,UBE3D
,URB1,ZZZ3
,WBP11,MAPK13
,AGFG1,URB1
,NCK2,WBP11
,RABGAP1,AGFG1
,RAB6B,NCK2
,BUD31,RABGAP1
,CC2D1A,RAB6B
,MINK1,BUD31
,ABCC5,CC2D1A
,ACTN1,MINK1
,BZW1,ABCC5
,EIF1,ACTN1
,NUP43,BZW1
,TTLL12,EIF1
,NACAD,NUP43
,PCMT1,TTLL12
,NSFL1C,NACAD
,SNAP29,PCMT1
,PINX1,NSFL1C
,MELK,SNAP29
,TUBG1,PINX1
,MZT2A,MELK
,RPS6KA6,TUBG1
,KIAA0020,MZT2A
,ZPR1,RPS6KA6
,NT5DC1,KIAA0020
,CMAS,ZPR1
,GLYR1,NT5DC1
,EIF2S2,CMAS
,SRPK3,GLYR1
,CTCF,EIF2S2
,KIF2B,SRPK3
,TRMT2A,CTCF
,LLPH,KIF2B
,NKTR,TRMT2A
,CHD3,LLPH
,CDK12,NKTR
,TAF2,CHD3
,URB2,CDK12
,RNF40,TAF2
,TANK,URB2
,TBC1D1,RNF40
,SUGP2,TANK
,HBB,TBC1D1
,GNAI3,SUGP2
,HAGH,HBB
,RPS5,GNAI3
,SLC39A7,HAGH
,RAB1C,RPS5
,ACTR2,SLC39A7
,ATP5I,RAB1C
,MRTO4,ACTR2
,MRPL12,ATP5I
,NHP2,MRTO4
,DOPEY2,MRPL12
,MAPT,NHP2
,PPP2CA,DOPEY2
,PPAT,MAPT
,SEPT6,PPP2CA
,AGO3,PPAT
,ARPC5,SEPT6
,NAA50,AGO3
,DUT,ARPC5
,DNAJC9,NAA50
,HLCS,DUT
,LPP,DNAJC9
,ATP6V1G1,HLCS
,HIST1H1D,LPP
,TCEA1,ATP6V1G1
,CAPZA2,HIST1H1D
,SNRPG,TCEA1
,TP53BP1,CAPZA2
,PDCD6IP,SNRPG
,TNPO1,TP53BP1
,ARPC5L,PDCD6IP
,SCIN,TNPO1
,SIRT2,ARPC5L
,MAP7D2,SCIN
,AKAP2,SIRT2
,ZCCHC8,MAP7D2
,HNRNPUL1,AKAP2
,LTV1,ZCCHC8
,RGS3,HNRNPUL1
,PURA,LTV1
,RNA28S5,RGS3
,RNR1,PURA
,AEN,RNA28S5
,VIM,RNR1
,NUCKS1,AEN
,HCFC1,VIM
,HMGN1,NUCKS1
,COPS5,HCFC1
,COX8A,HMGN1
,ERH,COPS5
,HIST1H4J,COX8A
,HIST1H4D,ERH
,TRIAP1,HIST1H4J
,STAT2,HIST1H4D
,SUGP1,TRIAP1
,SF3B1,STAT2
,NSRP1,SUGP1
,CCNA2,SF3B1
,RSBN1L,NSRP1
,RRP15,CCNA2
,BCAS2,RSBN1L
,PAF1,RRP15
,CDC42EP3,BCAS2
,PAK2,PAF1
,MADD,CDC42EP3
,EPS15L1,PAK2
,ARHGEF7,MADD
,CBLL1,EPS15L1
,TAF9,ARHGEF7
,HSPA14,CBLL1
,SERPINA1,TAF9
,C18orf21,HSPA14
,NTHL1,SERPINA1
,CBX3,C18orf21
,DPYSL2,NTHL1
,IWS1,CBX3
,RBM27,DPYSL2
,SCML2,IWS1
,AP3S1,RBM27
,CASC3,SCML2
,CCDC50,AP3S1
,DRG2,CASC3
,ARHGAP17,CCDC50
,C1orf52,DRG2
,DIAPH1,ARHGAP17
,ERICH1,C1orf52
,ANLN,DIAPH1
,ARHGEF18,ERICH1
,ARHGEF2,ANLN
,ARPIN,ARHGEF18
,AUNIP,ARHGEF2
,BOD1L1,ARPIN
,BRIP1,AUNIP
,CDC5L,BOD1L1
,CENPE,BRIP1
,CHMP1A,CDC5L
,CTNNBIP1,CENPE
,CUEDC2,CHMP1A
,DDHD1,CTNNBIP1
,DPH7,CUEDC2
,DR1,DDHD1
,DYNC1LI2,DPH7
,EP400,DR1
,DGCR14,DYNC1LI2
,FIP1L1,EP400
,FLYWCH2,DGCR14
,GATAD2B,FIP1L1
,GPATCH11,FLYWCH2
,GPATCH8,GATAD2B
,GPKOW,GPATCH11
,HMCES,GPATCH8
,ICA1,GPKOW
,ICE2,HMCES
,JMJD1C,ICA1
,KIF4A,ICE2
,KIN,JMJD1C
,KNTC1,KIF4A
,MAPRE2,KIN
,MED27,KNTC1
,MTMR4,MAPRE2
,PAPOLG,MED27
,POLR2A,MTMR4
,RCAN3,PAPOLG
,RPAP2,POLR2A
,SF3A3,RCAN3
,SPAG7,RPAP2
,SPDL1,SF3A3
,SRGAP2,SPAG7
,TPX2,SPDL1
,USP1,SRGAP2
,WBP4,TPX2
,WDHD1,USP1
,WDR59,WBP4
,PRPF18,WDHD1
,WDR70,WDR59
,BANP,PRPF18
,DCUN1D5,WDR70
,MBD3,BANP
,CXorf57,DCUN1D5
,MAGEA8,MBD3
,SP100,CXorf57
,KRT38,MAGEA8
,CCND2,SP100
,GFI1,KRT38
,MAX,CCND2
,ZBTB17,GFI1
,CXXC1,MAX
,RING1,ZBTB17
,ASXL2,CXXC1
,ARHGEF12,RING1
,ARHGEF6,ASXL2
,PAK7,ARHGEF12
,GIT1,ARHGEF6
,KANSL2,PAK7
,MAP2K4,GIT1
,MAPKAPK2,KANSL2
,SUZ12,MAP2K4
,MEIS1,MAPKAPK2
,PBX1,SUZ12
,TSC2,MEIS1
,RSF1,PBX1
,CECR2,TSC2
,CENPM,RSF1
,TADA3,CECR2
,DMAP1,CENPM
,STAG2,TADA3
,HRC,DMAP1
,CHD2,STAG2
,SCG2,HRC
,NSMCE4A,CHD2
,MAPK7,SCG2
,RPS6KB1,NSMCE4A
,ORC1,MAPK7
,SUFU,RPS6KB1
,ITGB7,ORC1
,COL2A1,SUFU
,COL4A6,ITGB7
,COL11A2,COL2A1
,REPS1,COL4A6
,FTH1,COL11A2
,STK26,REPS1
,IRS1,FTH1
,FOXA2,STK26
,USP42,IRS1
,EEF2KMT,FOXA2
,WWTR1,USP42
,TEAD3,EEF2KMT
,TCF7L2,WWTR1
