Protein Virus,Protein Người,Protein Chung
,TTN,TEAD3
,CACNA1B,TCF7L2
,RASAL3,TTN
,SHC2,CACNA1B
,KCNQ2,RASAL3
,SHC3,SHC2
,DCAF11,KCNQ2
,ERCC5,SHC3
,DZIP3,DCAF11
,KLHL13,ERCC5
,CDC34,DZIP3
,TRIM11,KLHL13
,KIF12,CDC34
,TMEM126B,TRIM11
,RNF138,KIF12
,SH3RF1,TMEM126B
,UBE2E3,RNF138
,UBE2E2,SH3RF1
,POU2F1,UBE2E3
,PHAX,UBE2E2
,SMAD1,POU2F1
,SRSF11,PHAX
,PACSIN1,SMAD1
,WASF2,SRSF11
,CCDC94,PACSIN1
,SLC2A13,WASF2
,NOL12,CCDC94
,NUFIP1,SLC2A13
,MARK4,NOL12
,ZFYVE19,NUFIP1
,WNK2,MARK4
,DACH1,ZFYVE19
,GAN,WNK2
,MED8,DACH1
,HPRT1,GAN
,CLIC4,MED8
,GABPA,HPRT1
,CCDC6,CLIC4
,DHX16,GABPA
,WIPF2,CCDC6
,G6PC3,DHX16
,WARS,WIPF2
,RANBP1,G6PC3
,C20orf27,WARS
,PDAP1,RANBP1
,SNW1,C20orf27
,PRC1,PDAP1
,TCEAL4,SNW1
,ALKBH5,PRC1
,AURKA,TCEAL4
,RBM10,ALKBH5
,PCDH11Y,AURKA
,PCDH11X,RBM10
,NOTCH4,PCDH11Y
,GUCY1A2,PCDH11X
,FAM220A,NOTCH4
,KCNH6,GUCY1A2
,DNAH3,FAM220A
,PSD2,KCNH6
,XIRP1,DNAH3
,AXIN1,PSD2
,DUX4,XIRP1
,TPH2,AXIN1
,CACNA1E,DUX4
,LMTK3,TPH2
,FAM71E2,CACNA1E
,BSN,LMTK3
,ZFPM1,FAM71E2
,ENAH,BSN
,SLCO6A1,ZFPM1
,MTL5,ENAH
,TEX28,SLCO6A1
,RPS6KA4,MTL5
,CASZ1,TEX28
,NPC1L1,RPS6KA4
,LTK,CASZ1
,MEF2D,NPC1L1
,FBXO40,LTK
,SLC45A4,MEF2D
,SIX5,FBXO40
,UAP1L1,SLC45A4
,ZNF653,SIX5
,SIRT4,UAP1L1
,LBX2,ZNF653
,MAP2K5,SIRT4
,DFNB31,LBX2
,PLEKHH1,MAP2K5
,HSF1,DFNB31
,SPATA31D4,PLEKHH1
,SPATA31D3,HSF1
,HIVEP1,SPATA31D4
,DAP3,SPATA31D3
,MAPK8IP2,HIVEP1
,CCDC17,DAP3
,PRDM7,MAPK8IP2
,TRIM22,CCDC17
,RGL3,PRDM7
,SYBU,TRIM22
,SHANK3,RGL3
,PDZD7,SYBU
,ZFAT,SHANK3
,HSPA12B,PDZD7
,PRICKLE2,ZFAT
,PRDM4,HSPA12B
,MYH13,PRICKLE2
,SEPT8,PRDM4
,ETV5,MYH13
,ZNF282,SEPT8
,ZNF322,ETV5
,STARD9,ZNF282
,FRAT1,ZNF322
,MCM9,STARD9
,SLC18A3,FRAT1
,PTF1A,MCM9
,PTGIS,SLC18A3
,KIRREL2,PTF1A
,LPIN1,PTGIS
,HIPK1,KIRREL2
,CRAMP1L,LPIN1
,GPR63,HIPK1
,CEP41,CRAMP1L
,PAN3,GPR63
,SORBS3,CEP41
,ZNF330,PAN3
,SRA1,SORBS3
,CKS1B,ZNF330
,LGALSL,SRA1
,PPP3CB,CKS1B
,DBNL,LGALSL
,C21orf59,PPP3CB
,COPZ1,DBNL
,PDLIM3,C21orf59
,TXNDC9,COPZ1
,AKT1S1,PDLIM3
,C1orf198,TXNDC9
,EYA3,AKT1S1
,FRG1,C1orf198
,RPP38,EYA3
,ASF1B,FRG1
,GTF2E2,RPP38
,ZNF362,ASF1B
,NSMCE2,GTF2E2
,NELFE,ZNF362
,GPATCH4,NSMCE2
,IRF2BP1,NELFE
,VPS72,GPATCH4
,RNF113A,IRF2BP1
,C9orf78,VPS72
,MNAT1,RNF113A
,FAM192A,C9orf78
,RBBP5,MNAT1
,CETN2,FAM192A
,CDC40,RBBP5
,NOSIP,CETN2
,PDDC1,CDC40
,RBPJ,NOSIP
,SNRNP40,PDDC1
,COPS7A,RBPJ
,NRBF2,SNRNP40
,UBE2T,COPS7A
,RBM7,NRBF2
,DNAJC8,UBE2T
,GATAD2A,RBM7
,TAF9B,DNAJC8
,GTF2B,GATAD2A
,GPALPP1,TAF9B
,GPS2,GTF2B
,MRFAP1,GPALPP1
,SUB1,GPS2
,ZCCHC9,MRFAP1
,ZMAT2,SUB1
,SYF2,ZCCHC9
,DSN1,ZMAT2
,MAGOHB,SYF2
,MEA1,DSN1
,GABPB1,MAGOHB
,HDGF,MEA1
,BCL10,GABPB1
,NANP,HDGF
,DNTTIP2,BCL10
,LYPLAL1,NANP
,NUDT4,DNTTIP2
,PPP1R10,LYPLAL1
,RAD51AP1,NUDT4
,HEY1,PPP1R10
,OTUD5,RAD51AP1
,RTFDC1,HEY1
,CHEK1,OTUD5
,C18orf25,RTFDC1
,ZNF207,CHEK1
,SLAIN2,C18orf25
,C12orf45,ZNF207
,CWF19L1,SLAIN2
,TRIM33,C12orf45
,KIAA0907,CWF19L1
,ZNF384,TRIM33
,ZNF830,KIAA0907
,EIF4EBP1,ZNF384
,FAM195A,ZNF830
,ATG4C,EIF4EBP1
,BPNT1,FAM195A
,KIAA1143,ATG4C
,DNAJC17,BPNT1
,TMSB10,KIAA1143
,CDX2,DNAJC17
,TLE4,TMSB10
,NUDT3,CDX2
,FAM122B,TLE4
,IGBP1,NUDT3
,C2orf49,FAM122B
,PBK,IGBP1
,NUDT11,C2orf49
,RP9,PBK
,ELL,NUDT11
,TRIM6,RP9
,NTAN1,ELL
,,TRIM6
,,NTAN1
