Protein Virus,Protein Người,Protein Chung
nsp1,SLC30A7,SLC30A7
ORF6,TUBGCP3,TUBGCP3
,RRP9,RRP9
,POLA1,nsp1
,PRIM1,POLA1
,PRIM2,PRIM1
,POLA2,PRIM2
,COLGALT1,POLA2
,PKP2,COLGALT1
,LARP4B,PKP2
,ATP6AP1,LARP4B
,MTCH1,ATP6AP1
,CS,ORF6
,TMEM57,MTCH1
,ACAT1,CS
,MCM3AP,TMEM57
,DNAJB2,ACAT1
,HSPA9,MCM3AP
,PISD,DNAJB2
,TIMELESS,HSPA9
,UBIAD1,PISD
,RHBDD3,TIMELESS
,COPG2,UBIAD1
,RAB32,RHBDD3
,COG2,COPG2
,TMEM159,RAB32
,SLC33A1,COG2
,TRIM47,TMEM159
,CLU,SLC33A1
,DSC3,TRIM47
,PPA1,CLU
,NDFIP1,DSC3
,BLVRA,PPA1
,NUP93,NDFIP1
,ELMO2,BLVRA
,SRPR,NUP93
,PNPLA2,ELMO2
,PLIN2,SRPR
,PRAF2,PNPLA2
,SQLE,PLIN2
,ABHD16A,PRAF2
,CKAP4,SQLE
,ST7,ABHD16A
,SRPK1,CKAP4
,ERGIC3,ST7
,SLC3A2,SRPK1
,TRAP1,ERGIC3
,ABCC4,SLC3A2
,SEC24A,TRAP1
,PRDX3,ABCC4
,RER1,SEC24A
,CHP1,PRDX3
,NUP35,RER1
,DHCR7,CHP1
,ALDOA,NUP35
,SYNE2,DHCR7
,ESYT1,ALDOA
,AMFR,SYNE2
,GLG1,ESYT1
,ITPR2,AMFR
,ITPR3,GLG1
,PCNXL3,ITPR2
,NME4,ITPR3
,RPS27L,PCNXL3
,MKS1,NME4
,RCC2,RPS27L
,RIC1,MKS1
,CYP4F11,RCC2
,SLC1A5,RIC1
,DDX39B,CYP4F11
,EIF2AK3,SLC1A5
,SEC23B,DDX39B
,ARPC1A,EIF2AK3
,POP1,SEC23B
,EIF2S3,ARPC1A
,EIF4A1,POP1
,NUP160,EIF2S3
,SEC61A1,EIF4A1
,HSD17B10,NUP160
,APLP2,SEC61A1
,UBAC2,HSD17B10
,LDHA,APLP2
,MYO5A,UBAC2
,RPL10A,LDHA
,NOP2,MYO5A
,PA2G4,RPL10A
,WDR44,NOP2
,HEATR1,PA2G4
,NAT10,WDR44
,C19orf10,HEATR1
,RAN,NAT10
,ABCE1,C19orf10
,RPL6,RAN
,RPL11,ABCE1
,RPS7,RPL6
,RPS23,RPL11
