Protein Virus,Protein Người,Protein Chung
,SEC13,RPS7
,ST13,RPS23
,YWHAZ,SEC13
,SLC35E1,ST13
,EIF3B,YWHAZ
,RAB11B,SLC35E1
,SEC24C,EIF3B
,IQCE,RAB11B
,FMR1,SEC24C
,EIF2AK2,IQCE
,SECISBP2,FMR1
,DDX60L,EIF2AK2
,KPRP,SECISBP2
,PRSS1,DDX60L
,RPS10,KPRP
,RPS12,PRSS1
,EIF3A,RPS10
,CEP131,RPS12
,FAM83H,EIF3A
,ITPR1,CEP131
,GORAB,FAM83H
,NSUN2,ITPR1
,LAS1L,GORAB
,CEBPZ,NSUN2
,FTSJ3,LAS1L
,DKC1,CEBPZ
,GTPBP4,FTSJ3
,PRPF6,DKC1
,DDX27,GTPBP4
,TSR1,PRPF6
,UBTF,DDX27
,BMP2K,TSR1
,PCDHB13,UBTF
,FAM91A1,BMP2K
,NXF1,PCDHB13
,DAB2,FAM91A1
,CLEC16A,NXF1
,LDLRAP1,DAB2
,KIF11,CLEC16A
,KPNB1,LDLRAP1
,ITSN2,KIF11
,DDX19A,KPNB1
,ODF2L,ITSN2
,DENND1A,DDX19A
,ABCD3,ODF2L
,NAA25,DENND1A
,HIP1R,ABCD3
,SEC24D,NAA25
,VMA21,HIP1R
,CDH2,SEC24D
,CRTAP,VMA21
,SEMA3C,CDH2
,MAN2B1,CRTAP
,P4HA1,SEMA3C
,PRCP,MAN2B1
,CACNA2D1,P4HA1
,CALR,PRCP
,TSFM,CACNA2D1
,PDE12,CALR
,GOT2,TSFM
,OPA1,PDE12
,PYCR1,GOT2
,MYO19,OPA1
,ANP32A,PYCR1
,DDX54,MYO19
,DGAT1,ANP32A
,EMC6,DDX54
,ISCA1,DGAT1
,MAD2L1,EMC6
,SYAP1,ISCA1
,USP7,MAD2L1
,C1orf21,SYAP1
,CCDC8,USP7
,EFCAB3,C1orf21
,FARP1,CCDC8
,KCNQ5,EFCAB3
,PHACTR4,FARP1
,SH3GL3,KCNQ5
,TTC7B,PHACTR4
,UBE4A,SH3GL3
,CCT8,TTC7B
,DPCD,UBE4A
,EIF3C,CCT8
,EIF3F,DPCD
,EIF3H,EIF3C
,EIF3I,EIF3F
,EIF3K,EIF3H
,HABP4,EIF3I
,MKRN2,EIF3K
,SLC4A1AP,HABP4
,TANC1,MKRN2
,ZNF451,SLC4A1AP
,KIAA1671,TANC1
,UBE2S,ZNF451
,GLUL,KIAA1671
,CTNNB1,UBE2S
,EFHD1,GLUL
,KIF14,CTNNB1
,FBXL20,EFHD1
,NUP153,KIF14
,RABAC1,FBXL20
,RABL6,NUP153
,RPL7L1,RABAC1
,ZDHHC17,RABL6
,DDX51,RPL7L1
,RPS19,ZDHHC17
,CLNS1A,DDX51
,ANKRD13A,RPS19
,C17orf59,CLNS1A
,CENPK,ANKRD13A
,PDXP,C17orf59
,NUP205,CENPK
,CCDC124,PDXP
,AHCY,NUP205
,AK2,CCDC124
,TMEM263,AHCY
,COMMD7,AK2
,EXOC1,TMEM263
,EMC9,COMMD7
,INF2,EXOC1
,ISCA2,EMC9
,MIF,INF2
,NME1,ISCA2
,NOB1,MIF
,NUP85,NME1
,NXT1,NOB1
,PGK1,NUP85
,SLC1A3,NXT1
,TRA2A,PGK1
,NOP58,SLC1A3
,MARS,TRA2A
,CFL1,NOP58
,MVK,MARS
,FAM114A2,CFL1
,RUFY1,MVK
,ABT1,FAM114A2
,TUBGCP4,RUFY1
,PEBP1,ABT1
,DDX60,TUBGCP4
,NDE1,PEBP1
,SIKE1,DDX60
,PCYT1B,NDE1
,RUFY3,SIKE1
,NDEL1,PCYT1B
,RFWD3,RUFY3
,IFRD1,NDEL1
,EIF1AX,RFWD3
,AHSG,IFRD1
,XRCC6,EIF1AX
,SIPA1L1,AHSG
,SIPA1L3,XRCC6
,KRT8,SIPA1L1
,GNAO1,SIPA1L3
,KRT9,KRT8
,MAGOH,GNAO1
,TWF1,KRT9
,MPRIP,MAGOH
,PPP1R9B,TWF1
,RACGAP1,MPRIP
,PARK7,PPP1R9B
,ACTN4,RACGAP1
,HIST4H4,PARK7
,SPTAN1,ACTN4
,HSPH1,HIST4H4
,NACA,SPTAN1
,KPNA5,HSPH1
,DHX15,NACA
,LANCL1,KPNA5
,KHDRBS3,DHX15
,SSB,LANCL1
,TMOD1,KHDRBS3
,CAPZA1,SSB
,SUCLG1,TMOD1
,RPS15A,CAPZA1
,ETF1,SUCLG1
,RPS21,RPS15A
,HIST1H3A,ETF1
,NCBP1,RPS21
,RBM39,HIST1H3A
,PLEC,NCBP1
,FAHD1,RBM39
,PHF5A,PLEC
,SYNE1,FAHD1
,SH3BGRL3,PHF5A
,BCCIP,SYNE1
,YARS2,SH3BGRL3
,NOC2L,BCCIP
,PDCD5,YARS2
,HSP90AA1,NOC2L
,PRDX2,PDCD5
,MTX2,HSP90AA1
,TARS,PRDX2
,PRDX6,MTX2
,TUBAL3,TARS
,LYAR,PRDX6
,KHSRP,TUBAL3
,SMN1,LYAR
,RNA18S5,KHSRP
,MAT2A,SMN1
,SF3B3,RNA18S5
,SRRM2,MAT2A
,ATAD3B,SF3B3
,ZBTB24,SRRM2
,RANGAP1,ATAD3B
,TRAT1,ZBTB24
,TAB3,RANGAP1
,SPIN1,TRAT1
,SNRPF,TAB3
,SNRPA1,SPIN1
,SMA5,SNRPF
,SF3B6,SNRPA1
,RPS29,SMA5
,RANBP2,SF3B6
,PSMA7,RPS29
,FOLH1,RANBP2
,PRDX1,PSMA7
,PEX3,FOLH1
,PCGF6,PRDX1
,NOM1,PEX3
,IVNS1ABP,PCGF6
,GEMIN6,NOM1
,GEMIN4,IVNS1ABP
,FLNA,GEMIN6
,FBXW5,GEMIN4
,FAM3A,FLNA
,EIF5,FBXW5
,EIF2B3,FAM3A
,CEP83,EIF5
,GSTP1,EIF2B3
,PMVK,CEP83
,RPF1,GSTP1
,INTS6,PMVK
,UEVLD,RPF1
,APTX,INTS6
,ACSM3,UEVLD
,MRPS14,APTX
,CENPB,ACSM3
,TSPYL1,MRPS14
,ERI3,CENPB
,GTPBP8,TSPYL1
,UROD,ERI3
,SMARCD2,GTPBP8
,PLGRKT,UROD
,KCTD17,SMARCD2
,AGL,PLGRKT
,KLHL28,KCTD17
,TEX11,AGL
,TRIM29,KLHL28
,NFKBIE,TEX11
,CALM3,TRIM29
,CACNA1A,NFKBIE
,VIL1,CALM3
,LOC113230,CACNA1A
,KIAA1211,VIL1
,TKT,LOC113230
,NAP1L1,KIAA1211
,NASP,TKT
,MTA2,NAP1L1
,DNAH7,NASP
,AKNA,MTA2
,FOXR1,DNAH7
,IQSEC1,AKNA
,TBC1D8B,FOXR1
,ZFP90,IQSEC1
,ZNF529,TBC1D8B
,DNAH11,ZFP90
,KIF26A,ZNF529
,KLHDC10,DNAH11
,SAMSN1,KIF26A
,MAST1,KLHDC10
,MAGEE1,SAMSN1
,UNKL,MAST1
,KMT2E,MAGEE1
,KMT2C,UNKL
,PERM1,KMT2E
,FEZF1,KMT2C
,ANKZF1,PERM1
,ATXN7,FEZF1
,PHF21B,ANKZF1
,FDX1L,ATXN7
,HOXD13,PHF21B
,HOXC13,FDX1L
,HOXA13,HOXD13
,ZNF878,HOXC13
,MRGPRG,HOXA13
,INPP5B,ZNF878
,PPP3CA,MRGPRG
,GDI1,INPP5B
,MARS2,PPP3CA
,GSTM3,GDI1
,FAM47E-STBD1,MARS2
,FER,GSTM3
,U2AF1,FAM47E-STBD1
,SF3A1,FER
,PTMA,U2AF1
,ZNFX1,SF3A1
,GARS,PTMA
,CPSF4,ZNFX1
,RBM17,GARS
,POLR3D,CPSF4
,PCF11,RBM17
,SNRPC,POLR3D
,CMTR1,PCF11
,YBX2,SNRPC
,LSMEM1,CMTR1
,DGAT2,YBX2
,TRF-GAA1-5,LSMEM1
,DCAF5,DGAT2
,WDR26,TRF-GAA1-5
,WDR83,DCAF5
,,WDR26
,,WDR83
