Protein Virus,Protein Người,Protein Chung
S,AAR2,AAR2
nsp2,RAP1GDS1,S
,KIAA1033,nsp2
,WHSC1,RAP1GDS1
,NOL10,KIAA1033
,TIMM8B,WHSC1
,STOML2,NOL10
,PLOD2,TIMM8B
,PLAT,STOML2
,HYOU1,PLOD2
,TMPRSS2,PLAT
,CLEC10A,HYOU1
,CD33,TMPRSS2
,SIGLEC9,CLEC10A
,SIGLEC10,CD33
,TTF1,SIGLEC9
,LTN1,SIGLEC10
,FOCAD,TTF1
,TMUB1,LTN1
,LSS,FOCAD
,ITGA6,TMUB1
,CLIP1,LSS
,PI4K2A,ITGA6
,TOM1L1,CLIP1
,HOOK3,PI4K2A
,IGF2R,TOM1L1
,FKBP3,HOOK3
,STX7,IGF2R
,ACO1,FKBP3
,ANXA5,STX7
,SPAG9,ACO1
,MTX1,ANXA5
,TMEM199,SPAG9
,CALML5,MTX1
,RNF170,TMEM199
,CLEC4M,CALML5
,MRC1,RNF170
,CDKAL1,CLEC4M
,FOXK1,MRC1
,MLEC,CDKAL1
,DDX58,FOXK1
,CD207,MLEC
,ASGR1,DDX58
,KREMEN1,CD207
,KREMEN2,ASGR1
,LILRB2,KREMEN1
,DPP4,KREMEN2
,PROM1,LILRB2
,GPC3,DPP4
,NAALAD2,PROM1
,CEACAM7,GPC3
,RTN4RL2,NAALAD2
,CEACAM5,CEACAM7
,ARL6IP5,RTN4RL2
,CYP51A1,CEACAM5
,NNT,ARL6IP5
,ARHGAP1,CYP51A1
,MRPS35,NNT
,RRBP1,ARHGAP1
,DNAJB14,MRPS35
,RBBP9,RRBP1
,WDR3,DNAJB14
,MPC2,RBBP9
,HSD17B4,WDR3
,ASNS,MPC2
,NARS,HSD17B4
,VPS36,ASNS
,SLC12A9,NARS
,PWP2,VPS36
,RPS8,SLC12A9
,VDAC2,PWP2
,RPF2,RPS8
,MTDH,VDAC2
,HNRNPLL,RPF2
,PAIP1,MTDH
,FAM179B,HNRNPLL
,SPATS2L,PAIP1
,STAU2,FAM179B
,TRIM26,SPATS2L
,RPL14,STAU2
,SRSF6,TRIM26
,COIL,RPL14
,SNX12,SRSF6
,PHACTR2,COIL
,TACC1,SNX12
,SENP3,PHACTR2
,PSMA6,TACC1
,USO1,SENP3
,AVEN,PSMA6
,RAPGEF6,USO1
,BCKDHA,AVEN
,RRP7A,RAPGEF6
,NOL8,BCKDHA
,DDX55,RRP7A
,SCAF1,NOL8
,SET,DDX55
,DDX50,SCAF1
,NOP14,SET
,EPN2,DDX50
,NUMB,NOP14
,ZFYVE9,EPN2
,RBSN,NUMB
,PDIA6,ZFYVE9
,ROBO1,RBSN
,LIFR,PDIA6
,ATP1B3,ROBO1
,DNAJC10,LIFR
,TACO1,ATP1B3
,BANF1,DNAJC10
,BSDC1,TACO1
,LEMD2,BANF1
,NDUFAF3,BSDC1
,AREL1,LEMD2
,C2CD4C,NDUFAF3
,IFIT1,AREL1
,JUP,C2CD4C
,PTK7,IFIT1
,RFTN1,JUP
,SH3D19,PTK7
,SNX6,RFTN1
,SNX9,SH3D19
,TNIK,SNX6
,TRAPPC12,SNX9
,ANKRD17,TNIK
,FAM193A,TRAPPC12
,GEN1,ANKRD17
,GKAP1,FAM193A
,HDLBP,GEN1
,IFIT3,GKAP1
,IFIT5,HDLBP
,SRP68,IFIT3
,TDRD3,IFIT5
,USP16,SRP68
,EIF4G2,TDRD3
,RUVBL1,USP16
,KIAA1244,EIF4G2
,ARHGAP29,RUVBL1
,ARHGEF10,KIAA1244
,HAUS2,ARHGAP29
,HOMER1,ARHGEF10
,KIAA1191,HAUS2
,STON1,HOMER1
,USP15,KIAA1191
,INPP5F,STON1
,KIAA1804,USP15
,MTMR1,INPP5F
,PARP9,KIAA1804
,KIAA0196,MTMR1
,AKTIP,PARP9
,ARFGAP1,KIAA0196
,ARHGEF1,AKTIP
,C11orf49,ARFGAP1
,CASP8,ARHGEF1
,CCDC102A,C11orf49
,CCDC66,CASP8
,DCTN5,CCDC102A
,DCTN6,CCDC66
,DMTN,DCTN5
,DNAJC12,DCTN6
,EEF2K,DMTN
,EEFSEC,DNAJC12
,EFTUD1,EEF2K
,GLT8D1,EEFSEC
,GPBP1,EFTUD1
,GPBP1L1,GLT8D1
,HEATR5B,GPBP1
,ITPKA,GPBP1L1
,KIZ,HEATR5B
,MAP1LC3B,ITPKA
,ZAK,KIZ
,MAP9,MAP1LC3B
,NAA30,ZAK
,NAA35,MAP9
,NFATC3,NAA30
,NME7,NAA35
,NPHP4,NFATC3
,POLR2M,NME7
,PPP6R2,NPHP4
,RAB11FIP5,POLR2M
,RALBP1,PPP6R2
,RPGRIP1L,RAB11FIP5
,SEPT3,RALBP1
,SESN2,RPGRIP1L
,SH3KBP1,SEPT3
,SSH3,SESN2
,SWAP70,SH3KBP1
,TACC3,SSH3
,TCHP,SWAP70
,TRAPPC11,TACC3
,USP47,TCHP
,CCDC53,TRAPPC11
,WIPI2,USP47
,ZFAND5,CCDC53
,ZNF428,WIPI2
,DCTN4,ZFAND5
,FKBP11,ZNF428
,VIPAS39,DCTN4
,N4BP1,FKBP11
,NAV1,VIPAS39
,TJP1,N4BP1
,KRI1,NAV1
,TRAPPC9,TJP1
,DCTN2,KRI1
,TFG,TRAPPC9
,TARBP1,DCTN2
,NSUN5,TFG
,UTP18,TARBP1
,EPHA4,NSUN5
,PLCL2,UTP18
,PTPN14,EPHA4
,ROCK1,PLCL2
,RRAGC,PTPN14
,SUSD5,ROCK1
,ANXA1,RRAGC
,CUTA,SUSD5
,OSBPL2,ANXA1
,TBC1D10B,CUTA
,TMEM120B,OSBPL2
,HAVCR1,TBC1D10B
,TLR4,TMEM120B
,SFTPD,HAVCR1
,MAP3K14,TLR4
,VDAC1,SFTPD
