Protein Virus,Protein Người,Protein Chung
,A2M,MAP3K14
,RBMXL1,VDAC1
,NSA2,A2M
,SRSF10,RBMXL1
,MOCS2,NSA2
,CTSK,SRSF10
,CTSV,MOCS2
,NCF2,CTSK
,COX4I1,CTSV
,COX5A,NCF2
,KIF7,COX4I1
,TXLNA,COX5A
,MSMP,KIF7
,APOA4,TXLNA
,NID1,MSMP
,CLPS,APOA4
,F10,NID1
,CLEC4G,CLPS
,VRK3,F10
,CD3EAP,CLEC4G
,RFC1,VRK3
,MCM2,CD3EAP
,MCM6,RFC1
,EXOSC7,MCM2
,EXOSC6,MCM6
,MSL1,EXOSC7
,TRMT1L,EXOSC6
,ZNF512,MSL1
,RNF2,TRMT1L
,KAT8,ZNF512
,MSL2,RNF2
,UQCRC1,KAT8
,SEPT7,MSL2
,COX6B1,UQCRC1
,MBL2,SEPT7
,XRN2,COX6B1
,CD2,MBL2
,GPR101,XRN2
,MRGPRE,CD2
,LRRC15,GPR101
,LRRC3C,MRGPRE
,CLDN18,LRRC15
,OTOP2,LRRC3C
,SMURF1,CLDN18
,SMURF2,OTOP2
,SRSF7,SMURF1
,RAB4A,SMURF2
,SDR39U1,SRSF7
,ARF3,RAB4A
,DDX1,SDR39U1
,IQGAP1,ARF3
,LCP1,DDX1
,ZC3H14,IQGAP1
,LDLRAD3,LCP1
,HMGB2,ZC3H14
,TTYH2,LDLRAD3
,GLOD4,HMGB2
,SIGLEC1,TTYH2
,ITGB6,GLOD4
,TPD52L3,SIGLEC1
,ENKUR,ITGB6
,CDKL3,TPD52L3
,EPB41L4A,ENKUR
,ESR1,CDKL3
,F8,EPB41L4A
,F9,ESR1
,CFB,F8
,CFI,F9
,NGF,CFB
,TG,CFI
,IRF9,NGF
,AGK,TG
,TFDP1,IRF9
,NMT1,AGK
,IFITM3,TFDP1
,HNRNPCL1,NMT1
,XYLB,IFITM3
,CHMP5,HNRNPCL1
,INTS3,XYLB
,FARSA,CHMP5
,FANCB,INTS3
,WAPAL,FARSA
,NIT2,FANCB
,LACTB2,WAPAL
,WDR60,NIT2
,POLR3F,LACTB2
,XAB2,WDR60
,TRMT112,POLR3F
,ARAP1,XAB2
,MCMBP,TRMT112
,MYH7,ARAP1
,GTF2H2,MCMBP
,RECQL4,MYH7
,RPL22L1,GTF2H2
,KLHL42,RECQL4
,ATP6V1B2,RPL22L1
,APOE,KLHL42
,IL12RB1,ATP6V1B2
,IL1RAPL2,APOE
,MAL2,IL12RB1
,EREG,IL1RAPL2
,HMGA2,MAL2
,EDIL3,EREG
,IGKC,HMGA2
,RIN1,EDIL3
,LRRC14,IGKC
,MRPL23,RIN1
,YBEY,LRRC14
,CEACAM6,MRPL23
,ACO2,YBEY
,ABHD11,CEACAM6
,LCN1,ACO2
,ETHE1,ABHD11
,CASP14,LCN1
,DPEP1,ETHE1
,SCP2,CASP14
,SEMG1,DPEP1
,GNG12,SCP2
,CHCHD2,SEMG1
,ANXA3,GNG12
,SOD1,CHCHD2
,SNRPN,ANXA3
,TALDO1,SOD1
,AAMP,SNRPN
,CCDC127,TALDO1
,NUDT5,AAMP
,PPP1R2,CCDC127
,AKAP13,NUDT5
,PGAM1,PPP1R2
,RWDD4,AKAP13
,SYTL4,PGAM1
,VARS,RWDD4
,ZFAND6,SYTL4
,ETV1,VARS
,ZNF274,ZFAND6
,IGHV3-53,ETV1
,IGHV2-5,ZNF274
,IGHV3-30,IGHV3-53
,IGHV4-39,IGHV2-5
,FLT1,IGHV3-30
,IGHV1-24,IGHV4-39
,SNCA,FLT1
,SCO2,IGHV1-24
,CHORDC1,SNCA
,TUBB8,SCO2
,RNF114,CHORDC1
,KRT25,TUBB8
,DUSP14,RNF114
,WNT1,KRT25
,METAP1,DUSP14
,CRB1,WNT1
,BLMH,METAP1
,LDHC,CRB1
,LYPLA2,BLMH
,CFH,LDHC
,CFP,LYPLA2
,CD46,CFH
,CR2,CFP
,DENND6B,CD46
,TET2,CR2
,RAD54L,DENND6B
,PARG,TET2
,SPINT1,RAD54L
,ULBP3,PARG
,MOXD1,SPINT1
,FREM2,ULBP3
,RNMT,MOXD1
,ARHGAP33,FREM2
,RNF25,RNMT
,AGBL5,ARHGAP33
,ENKD1,RNF25
,RTKN,AGBL5
,MDM1,ENKD1
,SHOX2,RTKN
,HINT3,MDM1
,USP53,SHOX2
,LONRF2,HINT3
,KIAA0101,USP53
,DMRT3,LONRF2
,FBXO6,KIAA0101
,APOBEC3B,DMRT3
,ZBED3,FBXO6
,SLC31A1,APOBEC3B
,HOXD8,ZBED3
,TCEAL8,SLC31A1
,EIF3CL,HOXD8
,OIP5,TCEAL8
,CCSAP,EIF3CL
,C1orf122,OIP5
,FAM120B,CCSAP
,PHRF1,C1orf122
,FBXO31,FAM120B
,C19orf43,PHRF1
,HDAC3,FBXO31
,PTPRK,C19orf43
,HOXC8,HDAC3
,ATAT1,PTPRK
,PRNP,HOXC8
,NELL2,ATAT1
,CXCL16,PRNP
,NARR,NELL2
,LONRF3,CXCL16
,AGAP3,NARR
,MAMLD1,LONRF3
,AGTR1,AGAP3
,HNP1,MAMLD1
,IST1,AGTR1
,STAMBP,HNP1
,PROSER2,IST1
,ALDH16A1,STAMBP
,SDC1,PROSER2
,SDC3,ALDH16A1
,CRP,SDC1
,CACNA1C,SDC3
,AVP,CRP
,AVPR1B,CACNA1C
,C1QA,AVP
,C1QC,AVPR1B
,C1QB,C1QA
,C4BPB,C1QC
,APOD,C1QB
,THAP5,C4BPB
,C4BPA,APOD
,KIF20B,THAP5
,APCS,C4BPA
,KIF4B,KIF20B
,SEPP1,APCS
,HRG,KIF4B
,HABP2,SEPP1
,CDA,HRG
,CPN1,HABP2
,LGALS7,CDA
,RRAD,CPN1
,VPS26B,LGALS7
,ZNHIT2,RRAD
,HOMER3,VPS26B
,CBR3,ZNHIT2
,AMZ2,HOMER3
,PF4,CBR3
,TYMP,AMZ2
,TRA,PF4
,TRB,TYMP
,TGM3,TRA
,APOM,TRB
,DEFA1,TGM3
,SERPINC1,APOM
,AFP,DEFA1
,POSTN,SERPINC1
,ITIH3,AFP
,GSDMA,POSTN
,PKP1,ITIH3
,F5,GSDMA
,CDSN,PKP1
,APOC3,F5
,RBM20,CDSN
,RALGDS,APOC3
,SIK2,RBM20
,OGFOD1,RALGDS
,EYA4,SIK2
,GALNT6,OGFOD1
,UBE3B,EYA4
,TLL1,GALNT6
,IQGAP3,UBE3B
,ARMC5,TLL1
,PIK3R4,IQGAP3
,ADCK3,ARMC5
,PAPLN,PIK3R4
,AP5B1,ADCK3
,AACS,PAPLN
,CDC25B,AP5B1
,ASB3,AACS
,HPS5,CDC25B
,TYK2,ASB3
,KIAA0226,HPS5
,ULK1,TYK2
,SLC22A4,KIAA0226
,PMS1,ULK1
,MFSD12,SLC22A4
,SLC25A32,PMS1
,CDC45,MFSD12
,EFEMP1,SLC25A32
,CUL5,CDC45
,URGCP,EFEMP1
,RIOK2,CUL5
,TMEM62,URGCP
,EZH2,RIOK2
,DSTYK,TMEM62
,RHOBTB3,EZH2
,MAP3K6,DSTYK
,PPP4R1,RHOBTB3
,PRSS21,MAP3K6
,ELP2,PPP4R1
,LONP2,PRSS21
,ALG10B,ELP2
,HELLS,LONP2
,PAM,ALG10B
,GNAT3,HELLS
,KLHL11,PAM
,WASH6P,GNAT3
,ZXDB,KLHL11
,LPL,WASH6P
,NRDE2,ZXDB
,PARP4,LPL
,HEXIM1,NRDE2
,ERCC4,PARP4
,SPATA5,HEXIM1
,UBR1,ERCC4
,CHTF18,SPATA5
,POGK,UBR1
,AP4B1,CHTF18
,ASH2L,POGK
,RNF216,AP4B1
,CUL3,ASH2L
,ZNF143,RNF216
,TUBA4A,CUL3
,EIF2D,ZNF143
,TONSL,TUBA4A
,TBX3,EIF2D
,TMEM14D,TONSL
,DHX34,TBX3
,TAOK3,TMEM14D
,FBRSL1,DHX34
,FIGNL1,TAOK3
,GAPDHS,FBRSL1
,AMBRA1,FIGNL1
,DGKA,GAPDHS
,PRSS2,AMBRA1
,PRSS3P2,DGKA
,SMARCAD1,PRSS2
,MTMR12,PRSS3P2
,CMTR2,SMARCAD1
,DENND5A,MTMR12
,TBC1D17,CMTR2
,PCSK5,DENND5A
,TOP3A,TBC1D17
,DOCK10,PCSK5
,LUC7L2,TOP3A
,PLCE1,DOCK10
,MORC2,LUC7L2
,IFT122,PLCE1
,DROSHA,MORC2
,HNRNPCL4,IFT122
,DMXL2,DROSHA
,MOCOS,HNRNPCL4
,PHKA2,DMXL2
,GPAM,MOCOS
,ARHGEF5,PHKA2
,SUPT5H,GPAM
,DHX38,ARHGEF5
,ARHGEF28,SUPT5H
,CDC42BPG,DHX38
,ECT2,ARHGEF28
,COLGALT2,CDC42BPG
,GTPBP2,ECT2
,COL6A2,COLGALT2
,ARHGEF40,GTPBP2
,ORC3,COL6A2
,GMIP,ARHGEF40
,LIG4,ORC3
,ERF,GMIP
,DHX40,LIG4
,SHCBP1,ERF
,ATN1,DHX40
,GGNBP2,SHCBP1
,SIN3A,ATN1
,SEMA3E,GGNBP2
,RAP1GAP,SIN3A
,SAMD9,SEMA3E
,SAMD4B,RAP1GAP
,DENND3,SAMD9
,RNF128,SAMD4B
,SORL1,DENND3
,ERBB3,RNF128
,RAF1,SORL1
,C12orf56,ERBB3
,HR,RAF1
,HRH1,C12orf56
,FBXO2,HR
,BTN3A1,HRH1
,GALNT3,FBXO2
,HBG1,BTN3A1
,CLEC1B,GALNT3
,ANPEP,HBG1
,CD55,CLEC1B
,ICAM1,ANPEP
,NTRK3,CD55
,CTH,ICAM1
,IVD,NTRK3
,MPST,CTH
,MTAP,IVD
,NEFM,MPST
,PAFAH1B3,MTAP
,PGM3,NEFM
,DDX46,PAFAH1B3
,PQBP1,PGM3
,GPHN,DDX46
,SRRM1,PQBP1
,NUDT21,GPHN
,LARS2,SRRM1
,HTATSF1,NUDT21
,ANKFY1,LARS2
,NANS,HTATSF1
,MRPL40,ANKFY1
,ZC3HAV1L,NANS
,CKMT1A,MRPL40
,CDK11A,ZC3HAV1L
,C6orf211,CKMT1A
,KIAA1429,CDK11A
,CECR5,C6orf211
,C21orf33,KIAA1429
,ANXA4,CECR5
,CTSG,C21orf33
,IGHA1,ANXA4
,IGLC3,CTSG
,LCN2,IGHA1
,MPO,IGLC3
,PRTN3,LCN2
,S100A6,MPO
,SPOCK2,PRTN3
,HMGB1P1,S100A6
,CORO1A,SPOCK2
,UGT1A6,HMGB1P1
,MRPL57,CORO1A
,IGLL5,UGT1A6
,AGER,MRPL57
,RABL2A,IGLL5
,RPA4,AGER
,FABP6,RABL2A
,PAIP2,RPA4
,PAK1,FABP6
,TPPP2,PAIP2
,IL18,PAK1
,PVALB,TPPP2
,TTYH1,IL18
,RALYL,PVALB
,TMPRSS11D,TTYH1
,FAM136A,RALYL
,,TMPRSS11D
,,FAM136A
