Protein Virus,Protein Người,Protein Chung
M,PMPCB,M
nsp8,SLC30A9,PMPCB
ORF9b,SLC25A21,SLC30A9
ORF1a,AASS,SLC25A21
,RBM28,AASS
,RPL36,RBM28
,PRKAR2A,RPL36
,PRKAR2B,PRKAR2A
,CDK5RAP2,PRKAR2B
,TBK1,CDK5RAP2
,POR,TBK1
,DNAJC11,POR
,RHOA,DNAJC11
,LMAN2,RHOA
,MPHOSPH10,LMAN2
,SRP72,nsp8
,ATE1,MPHOSPH10
,SRP19,SRP72
,SRP54,ATE1
,MRPS25,SRP19
,DDX10,SRP54
,LARP7,MRPS25
,MEPCE,DDX10
,NGDN,LARP7
,EXOSC8,MEPCE
,NARS2,NGDN
,CCDC86,EXOSC8
,SEPSECS,NARS2
,EXOSC5,CCDC86
,EXOSC3,SEPSECS
,HECTD1,EXOSC5
,MRPS2,EXOSC3
,EXOSC2,HECTD1
,MRPS27,MRPS2
,PLD3,EXOSC2
,CHMP2A,MRPS27
,TOMM70A,PLD3
,MARK3,ORF9b
,MARK2,CHMP2A
,DCTPP1,TOMM70A
,MARK1,MARK3
,PTBP2,MARK2
,NDUFB9,DCTPP1
,ABCC10,MARK1
,KIAA1147,PTBP2
,PLEKHG4,NDUFB9
,VPS13A,ABCC10
,SLC29A3,KIAA1147
,ACSF2,PLEKHG4
,HOOK2,VPS13A
,ATP2A3,SLC29A3
,RNF145,ACSF2
,ACADS,HOOK2
,FPGS,ATP2A3
,TMTC4,RNF145
,MTFR1L,ACADS
,NR2C2,FPGS
,PPA2,TMTC4
,C14orf159,MTFR1L
,SGSM3,NR2C2
,ORC4,PPA2
,MALL,C14orf159
,MIPEP,SGSM3
,ATP8B2,ORC4
,PRPF39,MALL
,UNC50,MIPEP
,SPG11,ATP8B2
,MTHFD1L,PRPF39
,SLC45A1,UNC50
,FANCI,SPG11
,SLC46A1,MTHFD1L
,WDFY3,SLC45A1
,HARS2,FANCI
,C6orf120,SLC46A1
,NR5A2,WDFY3
