Protein Virus,Protein Người,Protein Chung
,ARID1B,PPHLN1
,IRF2BPL,ATRX
,SAP130,ARID1B
,ASRGL1,IRF2BPL
,ARID1A,SAP130
,FNIP1,ASRGL1
,SPECC1L,ARID1A
,MARCKSL1,FNIP1
,RHOG,SPECC1L
,AP2A1,MARCKSL1
,MCM7,RHOG
,CLSPN,AP2A1
,NKRF,MCM7
,PRPF4B,CLSPN
,LRP4,NKRF
,C1orf106,PRPF4B
,TBC1D24,LRP4
,SERPINB12,C1orf106
,PIKFYVE,TBC1D24
,GLE1,SERPINB12
,MTFR2,PIKFYVE
,LACTB,GLE1
,SAMM50,MTFR2
,IDH3B,LACTB
,NDUFS3,SAMM50
,ALDH7A1,IDH3B
,ALDH18A1,NDUFS3
,PPP1R9A,ALDH7A1
,TBC1D10A,ALDH18A1
,COG6,PPP1R9A
,PACSIN3,TBC1D10A
,PCDH19,COG6
,AKAP12,PACSIN3
,ANKH,PCDH19
,AP2B1,AKAP12
,ARVCF,ANKH
,CDK16,AP2B1
,EFNB3,ARVCF
,EPB41L1,CDK16
,EPB41L2,EFNB3
,EPHB4,EPB41L1
,FAM171B,EPB41L2
,FCHO2,EPHB4
,FERMT2,FAM171B
,FRS2,FCHO2
,GAB1,FERMT2
,LIN7C,FRS2
,MLF2,GAB1
,FAM129B,LIN7C
,PALM,MLF2
,PIP5K1C,FAM129B
,PLEKHA1,PALM
,RASAL2,PIP5K1C
,ROBO2,PLEKHA1
,TMEM51,RASAL2
,KIAA0195,ROBO2
,TULP3,TMEM51
,UNC5B,KIAA0195
,USP6NL,TULP3
,WDR48,UNC5B
,ELP4,USP6NL
,AASDH,WDR48
,AZI2,ELP4
,BBS2,AASDH
,DIAPH2,AZI2
,GSE1,BBS2
,HIRA,DIAPH2
,KANSL3,GSE1
,KDELR2,HIRA
,LIMA1,KANSL3
,LSM4,KDELR2
,MAP2K7,LIMA1
,MLLT6,LSM4
,MORC3,MAP2K7
,PHC2,MLLT6
,PSMA3,MORC3
,FAM101B,PHC2
,THAP11,PSMA3
,THOC5,FAM101B
,TSHZ3,THAP11
,ZMYM1,THOC5
,ZNF217,TSHZ3
,DIABLO,ZMYM1
,PPP1R12A,ZNF217
,MAST4,DIABLO
,MIB2,PPP1R12A
,NDUFV1,MAST4
,SRP9,MIB2
,TOLLIP,NDUFV1
,POLD1,SRP9
,NDUFA5,TOLLIP
,ATP13A2,POLD1
,BRK1,NDUFA5
,C7orf43,ATP13A2
,MGAT1,BRK1
,MKLN1,C7orf43
,NLGN2,MGAT1
,RPS6KC1,MKLN1
,SNX30,NLGN2
,STON2,RPS6KC1
,STXBP1,SNX30
,TBC1D12,STON2
,TRAPPC10,STXBP1
,TRAPPC2,TBC1D12
,TRAPPC2L,TRAPPC10
,TRAPPC4,TRAPPC2
,TRAPPC6B,TRAPPC2L
,VPS8,TRAPPC4
,CSNK1A1,TRAPPC6B
,GK,VPS8
,ARPC2,CSNK1A1
,INSR,GK
,PPAP2B,ARPC2
,SMARCB1,INSR
,SIK3,PPAP2B
,PPIH,SMARCB1
,TTC19,SIK3
,ZZEF1,PPIH
,HECTD3,TTC19
,PLEKHH2,ZZEF1
,SUOX,HECTD3
,ACP6,PLEKHH2
,FBLN1,SUOX
,GSTCD,ACP6
,RGS19,FBLN1
,MED29,GSTCD
,PRPS1L1,RGS19
,RCL1,MED29
,TUBGCP6,PRPS1L1
,TUBGCP5,RCL1
,RASEF,TUBGCP6
,TUBG2,TUBGCP5
,SYT1,RASEF
,DEK,TUBG2
,TUBA3E,SYT1
,IPCEF1,DEK
,ABCB11,TUBA3E
,PTPRD,IPCEF1
,CCDC109B,ABCB11
,MAN1A1,PTPRD
,HS6ST3,CCDC109B
,KIT,MAN1A1
,TXNDC11,HS6ST3
,ALDOB,KIT
,TXNDC16,TXNDC11
,AASDHPPT,ALDOB
,GALK1,TXNDC16
,CAND1,AASDHPPT
,CDK4,GALK1
,PELO,CAND1
,HK3,CDK4
,TES,PELO
,GSPT2,HK3
,TK1,TES
,ZYX,GSPT2
,TRIP6,TK1
,OSGEP,ZYX
,ZC3H15,TRIP6
,MSH6,OSGEP
,MID2,ZC3H15
,MYO18A,MSH6
,SKIV2L2,MID2
,MYO1D,MYO18A
,RPSA,SKIV2L2
,CALM2,MYO1D
,NBN,RPSA
,SVIL,CALM2
,NTPCR,NBN
,IPO5,SVIL
,NDUFA4,NTPCR
,ARPC3,IPO5
,CD59,NDUFA4
,UQCRB,ARPC3
,ATP5J2,CD59
,NDUFA13,UQCRB
,DNAJA2,ATP5J2
,HIST1H2BK,NDUFA13
,TRA2B,DNAJA2
,MRPL14,HIST1H2BK
,POTEJ,TRA2B
,DBN1,MRPL14
,AHSA1,POTEJ
,RBM11,DBN1
,NCOA5,AHSA1
,NCBP2,RBM11
,MRPL10,NCOA5
,CAPZB,NCBP2
,SAP18,MRPL10
,TUBB4A,CAPZB
,MYL6B,SAP18
,USP4,TUBB4A
,HIST2H3C,MYL6B
,CCDC168,USP4
,SYT4,HIST2H3C
,NKIRAS2,CCDC168
,PDZD3,SYT4
,PARD3B,NKIRAS2
,FRMPD4,PDZD3
,PDZK1,PARD3B
,PRKAR1A,FRMPD4
,IFITM2,PDZK1
,GNAI1,PRKAR1A
,GPNMB,IFITM2
,ZDHHC2,GNAI1
,DNER,GPNMB
,PLEKHB2,ZDHHC2
,GOLGA7B,DNER
,SLAMF7,PLEKHB2
,MICB,GOLGA7B
,SLC6A17,SLAMF7
,NMRAL1,MICB
,LGMN,SLC6A17
,CLDN23,NMRAL1
,DDAH1,LGMN
,DDAH2,CLDN23
,CLCN5,DDAH1
,NPDC1,DDAH2
,ABHD17A,CLCN5
,SYT13,NPDC1
,MCOLN1,ABHD17A
,LAMP1,SYT13
,S100A8,MCOLN1
,KAT2A,LAMP1
,MXRA8,S100A8
,ARNT2,KAT2A
,VPS4B,MXRA8
,SLC35D1,ARNT2
,DYRK4,VPS4B
,ITGB1BP2,SLC35D1
,MEI4,DYRK4
,MISP,ITGB1BP2
,ZNF579,MEI4
,PCBD1,MISP
,KRAS,ZNF579
,DPF2,PCBD1
,ALDOC,KRAS
,KRT71,DPF2
,PTK2,ALDOC
,PGS1,KRT71
,POLR2G,PTK2
,CDK17,PGS1
,FGFR3,POLR2G
,CDK7,CDK17
,CAMK1G,FGFR3
,TRIB3,CDK7
,UVRAG,CAMK1G
,NR3C1,TRIB3
,DDX11L8,UVRAG
,CLPP,NR3C1
,HIBADH,DDX11L8
,GLIPR2,CLPP
,SERP1,HIBADH
,SLC7A3,GLIPR2
,CNEP1R1,SERP1
,TBC1D2B,SLC7A3
,THSD1,CNEP1R1
,KIAA0040,TBC1D2B
,SHISA8,THSD1
,SNX29,KIAA0040
,ATG16L1,SHISA8
,ZNF385A,SNX29
,C5orf34,ATG16L1
,ARMCX5,ZNF385A
,EML3,C5orf34
,RFC2,ARMCX5
,ACOX1,EML3
,RAB2B,RFC2
,NRAS,ACOX1
,DNMT3B,RAB2B
,MINA,NRAS
,GAA,DNMT3B
,MBLAC2,MINA
,RAC3,GAA
,NR2F6,MBLAC2
,CA2,RAC3
,DRAP1,NR2F6
,,CA2
,,DRAP1
