Protein Virus,Protein Người,Protein Chung
nsp10,TARS2,TARS2
ORF3a,GOLGA7,GOLGA7
,AP2A2,nsp10
,GFER,AP2A2
,ERGIC1,GFER
,AP2M1,ERGIC1
,GRPEL1,AP2M1
,RBM41,GRPEL1
,TLE1,RBM41
,GRIPAP1,TLE1
,IMPDH2,GRIPAP1
,RAB8A,IMPDH2
,RAB2A,RAB8A
,VPS39,RAB2A
,VPS11,ORF3a
,PRPF40A,VPS39
,TRIM7,VPS11
,NCAPH2,PRPF40A
,NDUFS2,TRIM7
,NDUFS8,NCAPH2
,NDUFA10,NDUFS2
,ADPGK,NDUFS8
,EFHD2,NDUFA10
,CHPT1,ADPGK
,ADCY6,EFHD2
,ATP8B1,CHPT1
,RHEB,ADCY6
,ACVR2A,ATP8B1
,PROCR,RHEB
,CD99L2,ACVR2A
,LDLR,PROCR
,SLC4A10,CD99L2
,BMPR1A,LDLR
,PMEPA1,SLC4A10
,SHC1,BMPR1A
,HPCAL1,PMEPA1
,SELK,SHC1
,MGLL,HPCAL1
,GSK3A,SELK
,NRSN2,MGLL
,TSKU,GSK3A
,SLC4A4,NRSN2
,FLRT3,TSKU
,DDT,SLC4A4
,LTBR,FLRT3
,KIAA0930,DDT
,MICA,LTBR
,LMCD1,KIAA0930
,UGCG,MICA
,PPIC,LMCD1
,PLP2,UGCG
,ZNRF3,PPIC
,GNAQ,PLP2
,DLGAP4,ZNRF3
,PTPRF,GNAQ
,LRP11,DLGAP4
,CDH16,PTPRF
,CD38,LRP11
,ZDHHC20,CDH16
,PTPRA,CD38
,TGFBR2,ZDHHC20
,LRFN4,PTPRA
,TNFRSF1A,TGFBR2
,C16orf45,LRFN4
,PCDHGC3,TNFRSF1A
,SLC16A6,C16orf45
,KIAA0319,PCDHGC3
,UBL3,SLC16A6
,AKR7A2,KIAA0319
,TREX1,UBL3
,IL6ST,AKR7A2
,IL13RA1,TREX1
,OPN3,IL6ST
,DAK,IL13RA1
,TRIM16,OPN3
,TPBG,DAK
,TMEM30B,TRIM16
,GAL3ST1,TPBG
,PLXND1,TMEM30B
,CDH17,GAL3ST1
,LRRN2,PLXND1
,MMP15,CDH17
,TMEM206,LRRN2
,PHPT1,MMP15
,RNF130,TMEM206
,ZDHHC9,PHPT1
,FXYD2,RNF130
,STEAP2,ZDHHC9
,HLA-G,FXYD2
,BROX,STEAP2
,MFAP3L,HLA-G
,TBCB,BROX
,NAPG,MFAP3L
,RAB5A,TBCB
,AHCYL1,NAPG
,IFITM1,RAB5A
,EPHB3,AHCYL1
,GABARAPL2,IFITM1
,SRXN1,EPHB3
,STEAP1B,GABARAPL2
,PTPRM,SRXN1
,TNFRSF10D,STEAP1B
,TNFSF9,PTPRM
,PTPN11,TNFRSF10D
,IL10RB,TNFSF9
,CMIP,PTPN11
,FKBP1A,IL10RB
,TMEM55A,CMIP
,RAB9A,FKBP1A
,LGALS3,TMEM55A
,IDH1,RAB9A
,TNFRSF10A,LGALS3
,HMGCS2,IDH1
,GCLC,TNFRSF10A
,EPCAM,HMGCS2
,RNPEP,GCLC
,WWP1,EPCAM
,FGFR1,RNPEP
,DDR1,WWP1
,PTPRS,FGFR1
,SULT1A3,DDR1
,IPO11,PTPRS
,XPOT,SULT1A3
,XPO5,IPO11
,RANBP6,XPOT
,B4GALT7,XPO5
,TMEM248,RANBP6
,GINM1,B4GALT7
,SORT1,TMEM248
,DIS3,GINM1
,TMEM192,SORT1
,TMEM56,DIS3
,CUX1,TMEM192
,ERLIN2,TMEM56
,MAZ,CUX1
,TFRC,ERLIN2
,EGFR,MAZ
,CLPX,TFRC
,DLD,EGFR
,NDUFA9,CLPX
,ATP1A1,DLD
,PDHA1,NDUFA9
,RPN2,ATP1A1
,DNAJC7,PDHA1
,MBOAT7,RPN2
,ABCB6,DNAJC7
,DDX39A,MBOAT7
,CARM1,ABCB6
,CNP,DDX39A
,FLOT2,CARM1
,LDHB,CNP
,NMD3,FLOT2
,FERMT1,LDHB
,WDR11,NMD3
,PSAP,FERMT1
,RAB6A,WDR11
,RECQL,PSAP
,RPS16,RAB6A
,DYNLL1,RECQL
,CLASRP,RPS16
,PHGDH,DYNLL1
,PPHLN1,CLASRP
,ATRX,PHGDH
